YEAR,MonthYear,SubEventType,Record Count
2015,201501,1,5
2015,201501,6,17
2015,201502,1,5
2015,201502,2,15
2015,201502,3,8
2015,201502,4,24
2015,201502,5,4
2015,201502,6,66
2015,201503,1,22
2015,201503,2,8
2015,201503,3,30
2015,201503,4,29
2015,201503,5,15
2015,201503,6,287
2015,201504,1,11
2015,201504,2,5
2015,201504,3,50
2015,201504,4,75
2015,201504,5,18
2015,201504,6,298
2015,201505,1,6
2015,201505,2,24
2015,201505,3,53
2015,201505,4,65
2015,201505,5,14
2015,201505,6,314
2015,201506,1,43
2015,201506,2,30
2015,201506,3,52
2015,201506,4,95
2015,201506,5,18
2015,201506,6,311
2015,201507,1,19
2015,201507,2,23
2015,201507,3,71
2015,201507,4,65
2015,201507,5,30
2015,201507,6,372
2015,201508,1,5
2015,201508,2,14
2015,201508,3,72
2015,201508,4,76
2015,201508,5,32
2015,201508,6,256
2015,201509,1,15
2015,201509,2,14
2015,201509,3,60
2015,201509,4,54
2015,201509,5,13
2015,201509,6,352
2015,201510,1,13
2015,201510,2,19
2015,201510,3,52
2015,201510,4,37
2015,201510,5,15
2015,201510,6,317
2015,201511,1,59
2015,201511,2,6
2015,201511,3,92
2015,201511,4,53
2015,201511,5,14
2015,201511,6,294
2015,201512,1,12
2015,201512,2,12
2015,201512,3,96
2015,201512,4,28
2015,201512,5,14
2015,201512,6,477
2016,201601,1,52
2016,201601,2,11
2016,201601,3,57
2016,201601,4,70
2016,201601,5,22
2016,201601,6,229
2016,201602,1,30
2016,201602,2,14
2016,201602,3,70
2016,201602,4,99
2016,201602,5,11
2016,201602,6,716
2016,201603,1,35
2016,201603,2,21
2016,201603,3,96
2016,201603,4,126
2016,201603,5,8
2016,201603,6,519
2016,201604,1,84
2016,201604,2,6
2016,201604,3,138
2016,201604,4,75
2016,201604,5,13
2016,201604,6,571
2016,201605,1,38
2016,201605,2,22
2016,201605,3,70
2016,201605,4,32
2016,201605,5,5
2016,201605,6,335
2016,201606,1,15
2016,201606,2,20
2016,201606,3,123
2016,201606,4,65
2016,201606,5,17
2016,201606,6,260
2016,201607,1,32
2016,201607,2,12
2016,201607,3,81
2016,201607,4,56
2016,201607,5,15
2016,201607,6,534
2016,201608,1,201
2016,201608,2,21
2016,201608,3,129
2016,201608,4,59
2016,201608,5,124
2016,201608,6,1006
2016,201609,1,115
2016,201609,2,14
2016,201609,3,98
2016,201609,4,88
2016,201609,5,38
2016,201609,6,713
2016,201610,1,26
2016,201610,2,7
2016,201610,3,139
2016,201610,4,341
2016,201610,5,25
2016,201610,6,627
2016,201611,1,25
2016,201611,2,27
2016,201611,3,95
2016,201611,4,201
2016,201611,5,45
2016,201611,6,360
2016,201612,1,31
2016,201612,2,6
2016,201612,3,62
2016,201612,4,96
2016,201612,5,24
2016,201612,6,314
2017,201701,1,69
2017,201701,2,13
2017,201701,3,101
2017,201701,4,49
2017,201701,5,13
2017,201701,6,481
2017,201702,1,17
2017,201702,2,5
2017,201702,3,94
2017,201702,4,56
2017,201702,5,4
2017,201702,6,283
2017,201703,1,50
2017,201703,2,34
2017,201703,3,72
2017,201703,4,101
2017,201703,5,136
2017,201703,6,599
2017,201704,1,52
2017,201704,2,19
2017,201704,3,79
2017,201704,4,107
2017,201704,5,45
2017,201704,6,376
2017,201705,1,36
2017,201705,2,9
2017,201705,3,42
2017,201705,4,53
2017,201705,5,16
2017,201705,6,425
2017,201706,1,28
2017,201706,2,19
2017,201706,3,180
2017,201706,4,199
2017,201706,5,38
2017,201706,6,711
2017,201707,1,23
2017,201707,2,9
2017,201707,3,60
2017,201707,4,57
2017,201707,5,41
2017,201707,6,391
2017,201708,1,23
2017,201708,2,7
2017,201708,3,34
2017,201708,4,78
2017,201708,5,29
2017,201708,6,422
2017,201709,1,8
2017,201709,2,15
2017,201709,3,58
2017,201709,4,32
2017,201709,5,12
2017,201709,6,240
2017,201710,1,31
2017,201710,2,19
2017,201710,3,90
