YEAR,MonthYear,SubEventType,Record Count
2015,201501,战争武装冲突,3
2015,201502,战争武装冲突,23
2015,201503,战争武装冲突,40
2015,201504,战争武装冲突,48
2015,201505,战争武装冲突,64
2015,201506,战争武装冲突,44
2015,201507,战争武装冲突,68
2015,201508,战争武装冲突,60
2015,201509,战争武装冲突,74
2015,201510,战争武装冲突,119
2015,201511,战争武装冲突,58
2015,201512,战争武装冲突,84
2016,201601,战争武装冲突,76
2016,201602,战争武装冲突,86
2016,201603,战争武装冲突,85
2016,201604,战争武装冲突,239
2016,201605,战争武装冲突,59
2016,201606,战争武装冲突,85
2016,201607,战争武装冲突,89
2016,201608,战争武装冲突,65
2016,201609,战争武装冲突,98
2016,201610,战争武装冲突,88
2016,201611,战争武装冲突,90
2016,201612,战争武装冲突,53
2017,201701,战争武装冲突,107
2017,201702,战争武装冲突,68
2017,201703,战争武装冲突,108
2017,201704,战争武装冲突,40
2017,201705,战争武装冲突,68
2017,201706,战争武装冲突,78
2017,201707,战争武装冲突,83
2017,201708,战争武装冲突,82
2017,201709,战争武装冲突,70
2017,201710,战争武装冲突,50
2017,201711,战争武装冲突,64
2017,201712,战争武装冲突,54
2018,201801,战争武装冲突,56
2018,201802,战争武装冲突,43
2018,201803,战争武装冲突,38
2018,201804,战争武装冲突,40
2018,201805,战争武装冲突,55
2018,201806,战争武装冲突,36
2018,201807,战争武装冲突,66
2018,201808,战争武装冲突,61
2018,201809,战争武装冲突,86
2018,201810,战争武装冲突,87
2018,201811,战争武装冲突,86
2018,201812,战争武装冲突,106
2019,201901,战争武装冲突,42
2019,201902,战争武装冲突,56
2019,201903,战争武装冲突,94
2019,201904,战争武装冲突,102
2019,201905,战争武装冲突,83
2019,201906,战争武装冲突,106
2019,201907,战争武装冲突,96
2019,201908,战争武装冲突,88
2019,201909,战争武装冲突,107
2019,201910,战争武装冲突,135
2019,201911,战争武装冲突,167
2019,201912,战争武装冲突,64
2020,202001,战争武装冲突,119
2020,202002,战争武装冲突,145
2020,202003,战争武装冲突,68
2020,202004,战争武装冲突,123
2020,202005,战争武装冲突,138
2020,202006,战争武装冲突,157
2020,202007,战争武装冲突,429
2020,202008,战争武装冲突,58
2020,202009,战争武装冲突,101
2020,202010,战争武装冲突,50
2020,202011,战争武装冲突,54
2020,202012,战争武装冲突,47
2015,201501,治安冲突,1
2015,201502,治安冲突,12
2015,201503,治安冲突,76
2015,201504,治安冲突,35
2015,201505,治安冲突,39
2015,201506,治安冲突,89
2015,201507,治安冲突,333
2015,201508,治安冲突,55
2015,201509,治安冲突,35
2015,201510,治安冲突,215
2015,201511,治安冲突,65
2015,201512,治安冲突,65
2016,201601,治安冲突,212
2016,201602,治安冲突,274
2016,201603,治安冲突,87
2016,201604,治安冲突,139
2016,201605,治安冲突,103
2016,201606,治安冲突,95
2016,201607,治安冲突,61
2016,201608,治安冲突,99
2016,201609,治安冲突,156
2016,201610,治安冲突,45
2016,201611,治安冲突,146
2016,201612,治安冲突,50
2017,201701,治安冲突,48
2017,201702,治安冲突,46
2017,201703,治安冲突,49
2017,201704,治安冲突,56
2017,201705,治安冲突,68
2017,201706,治安冲突,82
2017,201707,治安冲突,59
2017,201708,治安冲突,72
2017,201709,治安冲突,60
2017,201710,治安冲突,73
2017,201711,治安冲突,53
2017,201712,治安冲突,24
2018,201801,治安冲突,60
2018,201802,治安冲突,32
2018,201803,治安冲突,32
2018,201804,治安冲突,38
2018,201805,治安冲突,23
2018,201806,治安冲突,77
2018,201807,治安冲突,44
2018,201808,治安冲突,26
2018,201809,治安冲突,45
2018,201810,治安冲突,75
2018,201811,治安冲突,68
2018,201812,治安冲突,169
2019,201901,治安冲突,94
2019,201902,治安冲突,44
2019,201903,治安冲突,39
2019,201904,治安冲突,97
2019,201905,治安冲突,92
2019,201906,治安冲突,108
2019,201907,治安冲突,289
2019,201908,治安冲突,499
2019,201909,治安冲突,71
2019,201910,治安冲突,615
2019,201911,治安冲突,441
2019,201912,治安冲突,172
2020,202001,治安冲突,139
2020,202002,治安冲突,148
2020,202003,治安冲突,30
2020,202004,治安冲突,103
2020,202005,治安冲突,169
2020,202006,治安冲突,211
2020,202007,治安冲突,328
2020,202008,治安冲突,91
2020,202009,治安冲突,80
2020,202010,治安冲突,60
2020,202011,治安冲突,148
2020,202012,治安冲突,138
2015,201501,经济冲突,4
2015,201502,经济冲突,80
2015,201503,经济冲突,289
2015,201504,经济冲突,128
2015,201505,经济冲突,98
2015,201506,经济冲突,160
2015,201507,经济冲突,168
2015,201508,经济冲突,148
2015,201509,经济冲突,295
2015,201510,经济冲突,481
2015,201511,经济冲突,316
2015,201512,经济冲突,137
2016,201601,经济冲突,268
2016,201602,经济冲突,208
2016,201603,经济冲突,185
2016,201604,经济冲突,217
2016,201605,经济冲突,139
2016,201606,经济冲突,178
2016,201607,经济冲突,205
2016,201608,经济冲突,312
2016,201609,经济冲突,380
2016,201610,经济冲突,224
2016,201611,经济冲突,271
2016,201612,经济冲突,133
2017,201701,经济冲突,283
2017,201702,经济冲突,231
2017,201703,经济冲突,150
2017,201704,经济冲突,177
2017,201705,经济冲突,123
2017,201706,经济冲突,179
2017,201707,经济冲突,80
2017,201708,经济冲突,222
2017,201709,经济冲突,211
2017,201710,经济冲突,147
2017,201711,经济冲突,216
2017,201712,经济冲突,223
2018,201801,经济冲突,242
2018,201802,经济冲突,347
2018,201803,经济冲突,180
2018,201804,经济冲突,227
2018,201805,经济冲突,174
2018,201806,经济冲突,233
2018,201807,经济冲突,137
2018,201808,经济冲突,145
2018,201809,经济冲突,94
2018,201810,经济冲突,180
2018,201811,经济冲突,225
2018,201812,经济冲突,121
2019,201901,经济冲突,141
2019,201902,经济冲突,160
2019,201903,经济冲突,162
2019,201904,经济冲突,228
2019,201905,经济冲突,213
2019,201906,经济冲突,217
2019,201907,经济冲突,150
2019,201908,经济冲突,126
2019,201909,经济冲突,109
2019,201910,经济冲突,120
2019,201911,经济冲突,173
2019,201912,经济冲突,88
2020,202001,经济冲突,221
2020,202002,经济冲突,191
2020,202003,经济冲突,162
2020,202004,经济冲突,202
2020,202005,经济冲突,149
2020,202006,经济冲突,222
2020,202007,经济冲突,866
2020,202008,经济冲突,121
2020,202009,经济冲突,112
2020,202010,经济冲突,92
2020,202011,经济冲突,179
2020,202012,经济冲突,180
2015,201501,6,64
2015,201502,6,1286
2015,201503,6,4655
2015,201504,6,2707
2015,201505,6,2413
2015,201506,6,4009
2015,201507,6,5285
2015,201508,6,3434
2015,201509,6,5307
2015,201510,6,12834
2015,201511,6,3308
2015,201512,6,2877
2016,201601,6,3661
2016,201602,6,2717
2016,201603,6,2273
2016,201604,6,3876
2016,201605,6,2883
2016,201606,6,3266
2016,201607,6,3771
2016,201608,6,3673
2016,201609,6,5794
2016,201610,6,2534
2016,201611,6,3422
2016,201612,6,2643
2017,201701,6,3260
2017,201702,6,2603
2017,201703,6,2867
2017,201704,6,2596
2017,201705,6,2171
2017,201706,6,2650
2017,201707,6,3817
2017,201708,6,2298
2017,201709,6,3101
2017,201710,6,3118
2017,201711,6,2166
2017,201712,6,2451
2018,201801,6,3283
2018,201802,6,4293
2018,201803,6,2084
2018,201804,6,2604
2018,201805,6,3766
2018,201806,6,2335
2018,201807,6,3294
2018,201808,6,2274
2018,201809,6,2595
2018,201810,6,2069
2018,201811,6,2443
2018,201812,6,2370
2019,201901,6,2096
2019,201902,6,2170
2019,201903,6,1862
2019,201904,6,2337
2019,201905,6,3271
2019,201906,6,4804
2019,201907,6,5732
2019,201908,6,6416
2019,201909,6,3563
2019,201910,6,3291
2019,201911,6,4239
2019,201912,6,2457
2020,202001,6,6989
2020,202002,6,5631
2020,202003,6,3089
2020,202004,6,3446
2020,202005,6,4879
2020,202006,6,5731
2020,202007,6,9215
2020,202008,6,2398
2020,202009,6,2437
2020,202010,6,1399
2020,202011,6,2012
2020,202012,6,2065
2015,201502,合作沟通冲突,3
2015,201503,合作沟通冲突,53
2015,201504,合作沟通冲突,29
2015,201505,合作沟通冲突,26
2015,201506,合作沟通冲突,96
2015,201507,合作沟通冲突,203
2015,201508,合作沟通冲突,16
2015,201509,合作沟通冲突,30
2015,201510,合作沟通冲突,58
2015,201511,合作沟通冲突,12
2015,201512,合作沟通冲突,13
2016,201601,合作沟通冲突,20
2016,201602,合作沟通冲突,11
2016,201603,合作沟通冲突,8
2016,201604,合作沟通冲突,21
2016,201605,合作沟通冲突,37
2016,201606,合作沟通冲突,19
