YEAR,MonthYear,SubEventType,Record Count
2015,201502,1,3
2015,201502,2,16
2015,201502,3,18
2015,201502,4,17
2015,201502,6,69
2015,201503,1,2
2015,201503,2,26
2015,201503,3,15
2015,201503,4,38
2015,201503,5,11
2015,201503,6,85
2015,201504,1,1
2015,201504,2,19
2015,201504,3,24
2015,201504,4,25
2015,201504,5,2
2015,201504,6,69
2015,201505,1,6
2015,201505,2,22
2015,201505,3,27
2015,201505,4,65
2015,201505,5,3
2015,201505,6,171
2015,201506,1,16
2015,201506,2,6
2015,201506,3,34
2015,201506,4,40
2015,201506,5,19
2015,201506,6,133
2015,201507,1,2
2015,201507,2,10
2015,201507,3,47
2015,201507,4,60
2015,201507,5,16
2015,201507,6,114
2015,201508,1,3
2015,201508,2,10
2015,201508,3,23
2015,201508,4,12
2015,201508,5,11
2015,201508,6,81
2015,201509,1,7
2015,201509,2,5
2015,201509,3,33
2015,201509,4,20
2015,201509,5,11
2015,201509,6,93
2015,201510,1,8
2015,201510,2,11
2015,201510,3,47
2015,201510,4,26
2015,201510,6,118
2015,201511,1,2
2015,201511,2,7
2015,201511,3,17
2015,201511,4,7
2015,201511,5,17
2015,201511,6,69
2015,201512,1,4
2015,201512,2,3
2015,201512,3,9
2015,201512,4,25
2015,201512,5,11
2015,201512,6,95
2016,201601,1,2
2016,201601,2,6
2016,201601,3,9
2016,201601,4,24
2016,201601,5,23
2016,201601,6,102
2016,201602,1,1
2016,201602,2,9
2016,201602,3,13
2016,201602,4,8
2016,201602,5,4
2016,201602,6,73
2016,201603,1,9
2016,201603,2,35
2016,201603,3,38
2016,201603,4,23
2016,201603,5,4
2016,201603,6,96
2016,201604,1,73
2016,201604,2,16
2016,201604,3,79
2016,201604,4,35
2016,201604,5,38
2016,201604,6,253
2016,201605,1,17
2016,201605,2,10
2016,201605,3,62
2016,201605,4,35
2016,201605,5,15
2016,201605,6,172
2016,201606,1,32
2016,201606,2,17
2016,201606,3,59
2016,201606,4,46
2016,201606,5,7
2016,201606,6,213
2016,201607,1,35
2016,201607,2,10
2016,201607,3,76
2016,201607,4,34
2016,201607,5,20
2016,201607,6,247
2016,201608,1,20
2016,201608,2,9
2016,201608,3,62
2016,201608,4,43
2016,201608,5,175
2016,201608,6,250
2016,201609,1,12
2016,201609,2,5
2016,201609,3,44
2016,201609,4,25
2016,201609,5,48
2016,201609,6,132
2016,201610,1,116
2016,201610,2,42
2016,201610,3,71
2016,201610,4,55
2016,201610,5,42
2016,201610,6,238
2016,201611,1,25
2016,201611,2,13
2016,201611,3,30
2016,201611,4,18
2016,201611,5,10
2016,201611,6,131
2016,201612,1,18
2016,201612,2,7
2016,201612,3,53
2016,201612,4,13
2016,201612,5,16
2016,201612,6,172
2017,201701,1,21
2017,201701,2,34
2017,201701,3,44
2017,201701,4,22
2017,201701,5,9
2017,201701,6,136
2017,201702,1,6
2017,201702,2,16
2017,201702,3,43
2017,201702,4,13
2017,201702,5,14
2017,201702,6,148
2017,201703,1,13
2017,201703,2,43
2017,201703,3,23
2017,201703,4,25
2017,201703,5,7
2017,201703,6,340
2017,201704,1,36
2017,201704,2,85
2017,201704,3,62
2017,201704,4,62
2017,201704,5,22
2017,201704,6,664
2017,201705,1,48
2017,201705,2,17
2017,201705,3,34
2017,201705,4,32
2017,201705,5,27
2017,201705,6,202
2017,201706,1,20
2017,201706,2,58
2017,201706,3,220
2017,201706,4,104
2017,201706,5,25
2017,201706,6,471
