YEAR,Actor2CountryCode,GoldsteinScale,Record Count
2003,AFG,-214.3,41
2003,ARG,-18.8,6
2003,ARM,-4,2
2003,ATG,-5,1
2003,AUS,-696.7999999999998,162
2003,AUT,-62.6,11
2003,AZE,-37.6,9
2003,BEL,-170.90000000000003,48
2003,BGD,-39.6,16
2003,BGR,-23,5
2003,BHR,-34.4,6
2003,BLR,-85,17
2003,BMU,-4,2
2003,BRA,-127.19999999999999,31
2003,BRN,-109.80000000000001,18
2003,CAN,-479.19999999999976,101
2003,CHE,-374.2,84
2003,CHL,-13,4
2003,COD,-14.2,3
2003,COL,-2,1
2003,CUB,-15,6
2003,CYP,-20,2
2003,CZE,-151.3,34
2003,DEU,-623.2999999999998,159
2003,DJI,-10,1
2003,DNK,-116.90000000000003,30
2003,DZA,-10,1
2003,EGY,-164,37
2003,ESP,-95,22
2003,ETH,-25,5
2003,FIN,-13,4
2003,FJI,-93,14
2003,FRA,-1350.3000000000009,335
2003,FSM,-28.8,8
2003,GBR,-1512.5000000000002,341
2003,GHA,-70,9
2003,GRC,-97.60000000000002,18
2003,GUY,-9.5,1
2003,HKG,-9,3
2003,HRV,-132.5,23
2003,HUN,-55.89999999999999,17
2003,IDN,-448.6999999999998,88
2003,IND,-813.0999999999995,167
2003,IRL,-5,1
2003,IRN,-205,44
2003,IRQ,-2367.7000000000035,652
2003,ISL,-5,1
2003,ISR,-429.2999999999998,132
2003,ITA,-139,25
2003,JAM,-39,7
2003,JOR,-11.9,3
2003,JPN,-7418.59999999999,1731
2003,KAZ,-428.99999999999994,69
2003,KEN,-45.199999999999996,12
2003,KGZ,-606.9999999999999,112
2003,KHM,-146.00000000000003,32
2003,KOR,-2001.4000000000012,488
2003,KWT,-128.40000000000003,22
2003,LAO,-111,20
2003,LBN,-30.599999999999994,12
2003,LBR,-74.8,12
2003,LKA,-210,37
2003,LTU,-20.699999999999996,5
2003,MAC,-91.8,18
2003,MAR,-61,9
2003,MEX,-67.8,23
2003,MKD,-10.8,4
2003,MLI,-8,2
2003,MMR,-369.29999999999995,76
2003,MNG,-67.8,19
2003,MOZ,-20.8,8
2003,MUS,-21.9,4
2003,MWI,-4,1
2003,MYS,-413.4999999999999,82
2003,NAM,-58.400000000000006,7
2003,NGA,-92,20
2003,NLD,-324.5,67
2003,NOR,-78,23
2003,NPL,-326.79999999999995,59
2003,NZL,-166,44
2003,PAK,-1126.7,219
2003,PAN,-35.199999999999996,16
2003,PER,-2,1
2003,PHL,-1260.9999999999998,268
2003,PNG,-23.200000000000003,11
2003,POL,-58.699999999999996,14
2003,PRK,-6249.699999999992,1395
2003,PRT,-51.5,6
2003,PRY,-8,4
2003,QAT,-27,6
2003,RUS,-5401.699999999996,1270
2003,RWA,-15,3
2003,SAU,-127.4,30
2003,SDN,-29.4,6
2003,SEN,-23.2,4
2003,SGP,-578.9999999999998,120
2003,SRB,-59,8
2003,SVK,-20.4,3
2003,SWE,-107.80000000000001,23
2003,SYR,-135.2,27
2003,TGO,-4,1
2003,THA,-600.9999999999998,131
2003,TJK,-65,15
2003,TKM,-12.8,5
2003,TUR,-246.4,57
2003,UGA,-71.5,18
2003,UKR,-491,105
2003,USA,-10934.29999999997,2729
2003,UZB,-117.2,25
2003,VEN,-5,1
2003,VNM,-1696.2000000000003,257
2003,YEM,-63,9
2003,ZAF,-5,1
2003,ZMB,-54.5,15
2003,ZWE,-50.8,15
2004,AFG,-2486.8000000000006,366
2004,ARE,-5,1
2004,ARG,-50,9
2004,AUS,-280.29999999999995,76
2004,AUT,-37.8,10
2004,AZE,-2.4,2
2004,BEL,-88.4,17
2004,BGD,-40.8,15
2004,BGR,-15,3
2004,BLR,-60,12
2004,BMU,-2,5
2004,BRA,-229.90000000000006,67
2004,BRN,-71.19999999999999,19
2004,BWA,-10.8,5
2004,CAN,-492.59999999999985,116
2004,CHE,-72.2,22
2004,CHL,-32.599999999999994,14
2004,CMR,-15,3
2004,COD,-0.4,1
2004,COG,-4,2
2004,CUB,-124.5,22
2004,CYP,-20,2
2004,CZE,-218.30000000000004,51
2004,DEU,-719.1999999999997,144
2004,DNK,-31.4,7
2004,DOM,-4,2
2004,DZA,-40.199999999999996,12
2004,EGY,-93,15
2004,ESP,-133.00000000000003,33
2004,ETH,-12,3
2004,FIN,-30.9,6
2004,FJI,-15,6
2004,FRA,-1289.8,264
2004,FSM,-8.4,2
2004,GBR,-1859.2000000000014,428
2004,GHA,-16,6
2004,GIN,-4,2
2004,GRC,-23.5,5
2004,GUY,-2.8,3
2004,HKG,-32,7
2004,HND,-18,2
2004,HRV,-43.5,9
2004,HTI,-10.8,7
2004,HUN,-4,1
2004,IDN,-350.6,58
2004,IND,-131.10000000000005,34
2004,IRL,-53.5,7
2004,IRN,-249.4,55
2004,IRQ,-1559.0000000000011,246
2004,ISR,-411.0999999999999,84
2004,ITA,-97.8,22
2004,JAM,-40,4
2004,JOR,-52,9
2004,JPN,-9774.999999999982,2208
2004,KAZ,-114.4,34
2004,KEN,-158.6,29
2004,KGZ,-224.20000000000005,50
2004,KHM,-232.5,45
2004,KOR,-2467.5000000000023,557
2004,KWT,-13.2,4
2004,LAO,-207.40000000000003,38
2004,LBN,-12.4,7
2004,LBR,-22.9,8
2004,LKA,-47.2,14
2004,MAC,-104,24
2004,MAR,-39.199999999999996,13
2004,MDG,-4.4,1
2004,MEX,-90,24
2004,MKD,-11.2,4
2004,MMR,-336.4,50
2004,MNG,-111.2,25
2004,MOZ,-6.4,3
2004,MUS,-4,1
2004,MYS,-380.79999999999984,79
2004,NAM,-45,9
2004,NGA,-160.8,35
2004,NIC,-16,4
2004,NLD,-140.2,27
2004,NOR,-270.2,34
2004,NPL,-385.29999999999995,93
2004,NZL,-28.1,9
2004,PAK,-3288.700000000002,464
2004,PAN,-20,4
2004,PHL,-371.49999999999994,83
2004,PNG,-56.699999999999996,13
2004,POL,-124.4,25
2004,PRK,-5552.999999999997,1121
2004,PRT,-69,12
2004,PRY,-10,3
2004,QAT,-2,1
2004,RUS,-4449.8,920
2004,RWA,-34,5
2004,SAU,-359.4999999999999,57
2004,SDN,-560.3999999999997,95
2004,SEN,-6,3
2004,SGP,-412.6999999999999,102
2004,SLV,-9,3
2004,SOM,-13,3
2004,SRB,-69,12
2004,SUR,-5,1
2004,SVK,-65.4,14
2004,SWE,-20.5,9
2004,SYR,-87.2,17
2004,TCD,-0.4,1
2004,THA,-497.5,74
2004,TJK,-115,28
2004,TKM,-6,3
2004,TUN,-4,1
2004,TUR,-108.60000000000002,17
2004,TZA,-5,1
2004,UGA,-54.599999999999994,19
2004,UKR,-192.60000000000002,35
2004,USA,-9419.399999999983,2352
2004,UZB,-221.90000000000003,42
2004,VEN,-24,6
2004,VNM,-1770.400000000001,295
2004,VUT,-87,18
2004,ZAF,-80.80000000000001,19
2004,ZMB,-20,4
2004,ZWE,-61,14
2005,AFG,-146.20000000000002,21
2005,AGO,-5,1
2005,ARG,-35.2,5
2005,AUS,-853.5999999999999,248
2005,AUT,-6,3
2005,AZE,-2,1
2005,BEL,-92.00000000000001,31
2005,BGD,-70.4,15
2005,BGR,-10,2
2005,BLR,-127,30
2005,BOL,-24,4
2005,BRA,-162.50000000000003,33
