YEAR,Actor2CountryCode,QuadClass,GoldsteinScale,Record Count
2002,AFG,1,-9.600000000000003,24
2002,AFG,4,-332.9,46
2002,AFG,3,-125,41
2002,AGO,4,-5,1
2002,ARG,4,-10,2
2002,ARG,3,-15,3
2002,ARG,2,-4,2
2002,ARM,3,-36,15
2002,ARM,4,-89.4,12
2002,AUS,1,-5.999999999999999,17
2002,AUS,4,-370.2,61
2002,AUS,3,-375.4,96
2002,AUS,2,-12,6
2002,AUT,2,-2,1
2002,AUT,3,-27,9
2002,AUT,4,-30,6
2002,AZE,3,-6.5,1
2002,BEL,4,-15,3
2002,BEL,2,-4,2
2002,BEL,3,-4,2
2002,BEL,1,-1.6,4
2002,BGD,3,-14,4
2002,BGD,1,-1.2000000000000002,3
2002,BGD,4,-40,4
2002,BHR,3,-14,4
2002,BLR,3,-5,1
2002,BRA,3,-10,5
2002,BRA,4,-41,7
2002,BRN,3,-8,4
2002,BRN,4,-92.80000000000001,12
2002,CAN,4,-274,48
2002,CAN,1,-1.1,5
2002,CAN,3,-85.5,21
2002,CHE,3,-189,36
2002,CHE,2,-14,7
2002,CHE,4,-199,35
2002,CHE,1,-2.7,7
2002,CHL,4,-15,3
2002,CHL,3,-4,2
2002,CHL,2,-6,3
2002,COD,4,-20,2
2002,COD,1,-2,5
2002,COG,1,-0.4,1
2002,COL,3,-6,3
2002,COL,4,-20,4
2002,COL,1,-0.3,1
2002,CRI,3,-16,4
2002,CUB,3,-10,4
2002,CUB,1,-7.600000000000001,7
2002,CUB,4,-62,9
2002,CYP,4,-7.2,1
2002,CZE,4,-30,6
2002,CZE,3,-6.5,1
2002,DEU,4,-157.8,27
2002,DEU,1,-6.900000000000001,19
2002,DEU,3,-206,57
2002,DEU,2,-16,8
2002,DNK,4,-18,3
2002,DNK,3,-7,2
2002,DZA,1,-2.8,7
2002,DZA,2,-14,7
2002,DZA,4,-20,2
2002,EGY,3,-44,13
2002,EGY,4,-98.5,12
2002,EGY,1,-5.200000000000001,5
2002,ESP,4,-40,6
2002,ESP,3,-49.5,8
2002,EST,3,-4,2
2002,ETH,3,-5,1
2002,FIN,4,-5,1
2002,FIN,2,-4,2
2002,FIN,3,-2,1
2002,FJI,1,-6,3
2002,FJI,4,-10,1
2002,FRA,1,-3.4,9
2002,FRA,4,-257,39
2002,FRA,2,-12,6
2002,FRA,3,-365.79999999999995,84
2002,FSM,1,-5.200000000000001,5
2002,GBR,4,-600,93
2002,GBR,1,-4.3999999999999995,11
2002,GBR,3,-362.09999999999997,99
2002,GBR,2,-14,7
2002,GIN,4,-8,2
2002,GIN,2,-4,2
2002,GNB,4,-12,3
2002,GRC,3,-4,2
2002,GUY,3,-2,1
2002,HKG,3,-4,2
2002,HRV,3,-58.9,14
2002,HRV,4,-27,6
2002,HTI,2,-8,4
2002,HUN,3,-15,5
2002,HUN,4,-18,3
2002,IDN,3,-348.70000000000005,92
2002,IDN,1,-5.600000000000001,10
2002,IDN,4,-122.2,20
2002,IDN,2,-2,1
2002,IND,4,-205.5,24
2002,IND,3,-119.80000000000001,25
2002,IND,1,-4.7,8
2002,IRL,1,-4.8,4
2002,IRL,3,-30.4,8
2002,IRL,4,-20,3
2002,IRN,3,-71,28
2002,IRN,4,-75,11
2002,IRN,2,-6,3
2002,IRN,1,-3.5999999999999996,9
2002,IRQ,2,-178,89
2002,IRQ,3,-627.7999999999998,153
2002,IRQ,1,-12.800000000000006,36
2002,IRQ,4,-314.79999999999995,39
2002,ISL,3,-12,3
2002,ISR,3,-400,152
2002,ISR,4,-730.5,90
2002,ISR,1,-23.400000000000013,68
2002,ISR,2,-18,9
2002,ITA,3,-35,7
