YEAR,Actor2CountryCode,GoldsteinScale,Record Count
2002,AFG,-467.4999999999998,111
2002,AGO,-5,1
2002,ARE,0,0
2002,ARG,-29,7
2002,ARM,-145.4,31
2002,ATG,0,0
2002,AUS,-769.5999999999995,183
2002,AUT,-59,16
2002,AZE,-13,2
2002,BEL,-24.6,11
2002,BGD,-55.199999999999996,11
2002,BGR,0,0
2002,BHR,-14,4
2002,BIH,0,0
2002,BLR,-5,1
2002,BMU,0,0
2002,BOL,0,0
2002,BRA,-51,12
2002,BRN,-100.8,16
2002,BWA,0,0
2002,CAN,-364.6,76
2002,CHE,-424.69999999999993,87
2002,CHL,-25,8
2002,CMR,0,0
2002,COD,-21.999999999999993,7
2002,COG,-0.4,1
2002,COL,-26.3,8
2002,CRI,-16,4
2002,CUB,-79.6,20
2002,CYM,0,0
2002,CYP,-7.2,1
2002,CZE,-36.5,7
2002,DEU,-396.1999999999998,112
2002,DJI,0,0
2002,DNK,-25,5
2002,DOM,0,0
2002,DZA,-36.8,16
2002,ECU,0,0
2002,EGY,-147.70000000000002,30
2002,ESP,-89.5,14
2002,EST,-4,2
2002,ETH,-5,1
2002,FIN,-11,4
2002,FJI,-16,4
2002,FRA,-643.3999999999997,141
2002,FSM,-5.2,5
2002,GAB,0,0
2002,GBR,-980.4999999999998,210
2002,GEO,0,0
2002,GHA,0,0
2002,GIN,-12,4
2002,GNB,-12,3
2002,GRC,-4,2
2002,GUY,-2,1
2002,HKG,-4,2
2002,HND,0,0
2002,HRV,-85.9,20
2002,HTI,-8,4
2002,HUN,-33,8
2002,IDN,-478.4999999999998,123
2002,IND,-329.99999999999994,57
2002,IRL,-55.199999999999996,15
2002,IRN,-155.60000000000002,51
2002,IRQ,-1133.3999999999999,317
2002,ISL,-12,3
2002,ISR,-1181.8999999999996,321
2002,ITA,-216,29
2002,JAM,0,0
2002,JOR,-33.5,5
2002,JPN,-4911.4000000000015,1259
2002,KAZ,-199.60000000000005,46
2002,KEN,-66,15
2002,KGZ,-1709.8000000000002,238
2002,KHM,-144.8,33
2002,KOR,-1928.300000000001,452
2002,KWT,-23,4
2002,LAO,-8.8,6
2002,LBN,-35,7
2002,LBR,0,0
2002,LKA,-23.599999999999994,7
2002,LTU,-61,9
2002,LUX,0,0
2002,LVA,-30,6
2002,MAC,-45.199999999999996,15
2002,MAR,-38.6,15
2002,MDA,-88,19
2002,MDG,-5.8,3
2002,MEX,-52.99999999999999,16
2002,MKD,-18,4
2002,MLI,0,0
2002,MLT,0,0
2002,MMR,-300.5,58
2002,MNE,0,0
2002,MNG,-201.99999999999997,59
2002,MOZ,0,0
2002,MUS,0,0
2002,MWI,0,0
2002,MYS,-248.30000000000007,65
2002,NAM,-103.5,17
2002,NER,0,0
2002,NGA,-94.00000000000001,30
2002,NIC,-2,1
2002,NLD,-220.39999999999998,53
2002,NOR,-21,6
2002,NPL,-173.10000000000002,35
2002,NZL,-167.6,35
2002,OMN,0,0
2002,PAK,-616.2999999999997,149
2002,PAN,-43.599999999999994,13
2002,PER,0,0
2002,PHL,-948.4999999999997,226
2002,PNG,-19,4
2002,POL,-30,6
2002,PRK,-3388.100000000002,773
2002,PRT,-5,1
2002,PRY,-4,2
2002,QAT,-6,3
2002,ROM,0,0
2002,RUS,-2690.700000000004,675
2002,RWA,0,0
2002,SAU,-61.5,9
2002,SDN,-2,1
2002,SEN,0,0
2002,SGP,-123.2,37
2002,SLE,0,0
2002,SLV,0,0
2002,SOM,0,0
2002,SRB,-28,4
2002,SUR,-5,1
2002,SVK,-31,8
2002,SVN,0,0
2002,SWE,-35.8,9
2002,SYR,-6,3
2002,TCD,-9,2
2002,TGO,0,0
2002,THA,-238.9,53
2002,TJK,-98.60000000000001,18
2002,TKM,-65,12
2002,TTO,0,0
2002,TUN,-39.8,14
2002,TUR,-163.20000000000002,34
2002,TZA,-20,5
2002,UGA,-46.4,13
2002,UKR,-160.4,47
2002,URY,-4,2
2002,USA,-8092.19999999999,2057
2002,UZB,-146.50000000000003,33
2002,VEN,-19,5
2002,VNM,-1286.2,208
2002,VUT,0,0
2002,YEM,-5,1
2002,ZAF,-90.5,17
2002,ZMB,-24,6
2002,ZWE,-89.3,22
