YEAR,Actor2CountryCode,GoldsteinScale,Record Count
2021,AFG,-13954.700000000004,3427
2021,AGO,-203.4,30
2021,ARE,-1783.7,300
2021,ARG,-879.2,161
2021,ARM,-225.2,36
2021,ATG,-19,5
2021,AUS,-52016.40000000002,13023
2021,AUT,-468.5,121
2021,AZE,-280.9,39
2021,BEL,-1720.4999999999998,475
2021,BGD,-3149.3,730
2021,BGR,-164,34
2021,BHR,-553,77
2021,BLR,-835.6,161
2021,BOL,-212.2,38
2021,BRA,-4735.5,971
2021,BRN,-11419.699999999999,2486
2021,BWA,-99.2,22
2021,CAN,-41696.80000000002,9908
2021,CHE,-2364.8,679
2021,CHL,-850.6,172
2021,CMR,-53.5,14
2021,COD,-502.19999999999993,80
2021,COG,-319.2,58
2021,COL,-140.3,25
2021,CRI,-138,32
2021,CUB,-1785.2,335
2021,CYM,-33,7
2021,CYP,-46.8,10
2021,CZE,-433.49999999999994,114
2021,DEU,-7229.3,1752
2021,DJI,-285.90000000000003,71
2021,DNK,-619.2,184
2021,DOM,-87.4,14
2021,DZA,-1087,119
2021,ECU,-288.90000000000003,68
2021,EGY,-1497.1000000000001,301
2021,ESP,-746.9,169
2021,EST,-295.90000000000003,79
2021,ETH,-783.0999999999999,144
2021,FIN,-325.99999999999994,90
2021,FJI,-181.39999999999998,48
2021,FRA,-7516.800000000001,2093
2021,FSM,-10.8,4
2021,GAB,-259,26
2021,GBR,-38672.19999999999,8776
2021,GHA,-995.6999999999998,247
2021,GIN,-98.9,36
2021,GNB,-2,1
2021,GRC,-682.6,151
2021,GUY,-268.2,62
2021,HKG,-72.2,27
2021,HND,-95.4,38
2021,HRV,-9,2
2021,HTI,-184.8,29
2021,HUN,-2923.9999999999995,576
2021,IDN,-5380.999999999999,1146
2021,IND,-10033.9,1942
2021,IRL,-1502.6999999999996,355
2021,IRN,-7604.000000000001,1704
2021,IRQ,-2652.9999999999995,374
2021,ISL,-133.4,26
2021,ISR,-2682.6000000000004,730
2021,ITA,-2471.5000000000005,700
2021,JAM,-67.5,16
2021,JOR,-294.5,60
2021,JPN,-27200.499999999985,7000
2021,KAZ,-1047.1000000000001,185
2021,KEN,-1411.6000000000001,259
2021,KGZ,-984.3,194
2021,KHM,-3008.6999999999994,590
2021,KOR,-7183.700000000003,1622
2021,KWT,-154,29
2021,LAO,-813.6,202
2021,LBN,-839.5,118
2021,LBR,-101.1,24
2021,LKA,-4484.600000000001,1071
2021,LTU,-5180.199999999998,1358
2021,LUX,-51,12
2021,LVA,-93.39999999999999,27
2021,MAC,-232.1,65
2021,MAR,-348.79999999999995,92
2021,MDA,-9,3
2021,MDG,-32.8,11
2021,MEX,-1351.1000000000001,265
2021,MKD,-18,9
2021,MLI,-384.6,58
2021,MLT,-239.7,42
2021,MMR,-7635.399999999999,1620
2021,MNG,-1170.3,205
2021,MOZ,-217.8,48
2021,MUS,-104.8,23
2021,MWI,-292.9,68
2021,MYS,-4494.900000000001,1173
2021,NAM,-237.2,32
2021,NER,-298,40
2021,NGA,-2804.6,499
2021,NIC,-127,25
2021,NLD,-1786.0000000000002,546
2021,NOR,-696.9999999999999,188
2021,NPL,-2325.1999999999994,421
2021,NZL,-3776.5,1308
2021,OMN,-60,19
2021,PAK,-26415.600000000002,4731
2021,PAN,-75,24
2021,PER,-461.8,96
2021,PHL,-28095.600000000017,7085
2021,PNG,-117.7,38
2021,POL,-977.2,247
2021,PRK,-7324.9,1472
2021,PRT,-393.6,96
2021,PRY,-129.8,31
2021,QAT,-505.20000000000005,108
2021,RUS,-37885.9,8491
2021,RWA,-203.60000000000002,39
2021,SAU,-1159.9,274
2021,SDN,-121.3,44
2021,SEN,-280.4,38
2021,SGP,-3015.5000000000005,744
2021,SLE,-289.09999999999997,46
2021,SLV,-237.5,41
2021,SOM,-318.9,71
2021,SRB,-793.1,124
2021,SVK,-173.00000000000003,31
2021,SWE,-1732.6999999999998,412
2021,SYR,-1311.3999999999999,305
2021,TCD,-199,46
2021,TGO,-4,2
2021,THA,-6663.399999999999,1222
2021,TJK,-589.3000000000001,107
2021,TKM,-124.3,30
2021,TTO,-136,28
2021,TUN,-52,9
2021,TUR,-3677.7,782
2021,TZA,-306.2,80
2021,UGA,-491.4,111
2021,UKR,-1731.7000000000005,389
2021,URY,-118,22
2021,USA,-204442.39999999976,49330
2021,UZB,-310,63
2021,VEN,-585.0999999999999,165
2021,VNM,-9867.699999999999,1926
2021,VUT,-150.6,46
2021,YEM,-356.90000000000003,83
2021,ZAF,-924.5999999999999,180
2021,ZMB,-534,136
2021,ZWE,-1962.1,383
