YEAR,Actor2CountryCode,RecordCount
2021,USA,9864
2021,AUS,2251
2021,CAN,1863
2021,GBR,1462
2021,PHL,1265
2021,PAK,1135
2021,JPN,753
2021,IND,624
2021,RUS,551
2021,MMR,315
2021,PRK,267
2021,LTU,255
2021,MYS,220
2021,AFG,218
2021,VNM,211
2021,LKA,198
2021,DEU,181
2021,NGA,179
2021,BRA,167
2021,NPL,153
2021,KOR,151
2021,BRN,149
2021,THA,132
2021,HUN,131
2021,IRQ,128
2021,IDN,125
2021,FRA,120
2021,IRN,120
2021,ITA,112
2021,TUR,96
2021,GHA,94
2021,BGD,91
2021,DZA,79
2021,SWE,79
2021,KHM,78
2021,SGP,76
2021,ZWE,72
2021,CUB,67
2021,CHE,65
2021,IRL,64
2021,NZL,58
2021,KAZ,47
2021,MNG,45
2021,KEN,43
2021,ISR,41
2021,POL,38
2021,MEX,38
2021,ARE,38
2021,ESP,37
2021,KGZ,35
2021,UKR,31
2021,DNK,29
2021,LBN,29
2021,EGY,27
2021,ZMB,26
2021,ARG,25
2021,MWI,25
2021,BEL,25
2021,MOZ,25
2021,NOR,23
2021,NLD,22
2021,LAO,22
2021,GRC,18
2021,SYR,18
2021,GAB,17
2021,AUT,16
2021,PER,16
2021,SAU,16
2021,COD,15
2021,ETH,15
2021,ZAF,15
2021,FIN,13
2021,EST,13
2021,YEM,12
2021,JAM,11
2021,ECU,11
2021,VEN,10
2021,SLV,10
2021,UGA,10
2021,BLR,9
2021,MLT,9
2021,QAT,9
2021,FJI,8
2021,ISL,8
2021,MAR,8
2021,MLI,8
2021,NAM,7
2021,VUT,7
2021,SLE,7
2021,SRB,7
2021,LBR,6
2021,TJK,6
2021,PRT,6
2021,CZE,6
2021,JOR,6
2021,SOM,5
2021,TZA,5
2021,UZB,5
2021,CHL,5
2021,COG,5
2021,GUY,4
2021,AZE,4
2021,NER,4
2021,TTO,4
2021,LVA,3
2021,GIN,3
2021,KWT,3
2021,SEN,2
2021,TUN,2
2021,CYP,2
2021,SVK,2
2021,CYM,2
2021,PNG,2
2021,NIC,2
2021,TKM,2
2021,RWA,2
2021,BGR,1
2021,COL,1
2021,BOL,1
2021,BWA,1
2021,CMR,1
2021,OMN,1
2021,HTI,1
