YEAR,Actor2CountryCode,GoldsteinScale,RecordCount
2021,USA,-65979.99999999997,9838
2021,AUS,-13922.600000000002,2235
2021,CAN,-10048,1841
2021,GBR,-9233.699999999997,1439
2021,PHL,-7663.600000000001,1259
2021,PAK,-8714.199999999995,1135
2021,JPN,-4967.2,752
2021,IND,-4677.799999999997,624
2021,RUS,-4133.899999999999,547
2021,MMR,-2363.6,315
2021,PRK,-1832.9000000000008,258
2021,LTU,-1102.8,254
2021,MYS,-1307.1999999999998,220
2021,AFG,-1260.2999999999997,215
2021,VNM,-1334.5,199
2021,LKA,-1067,198
2021,DEU,-1263,181
2021,NGA,-1359.2,179
2021,BRA,-1218,167
2021,NPL,-1119.1,153
2021,KOR,-1152.7,150
2021,BRN,-1219.3000000000002,149
2021,THA,-962,132
2021,HUN,-834.2,131
2021,IRQ,-1221.3,128
2021,IDN,-875.0999999999999,125
2021,FRA,-793.1999999999999,120
2021,IRN,-810.5,120
2021,ITA,-635.3,112
2021,TUR,-601.3,96
2021,GHA,-489,94
2021,BGD,-574.7,91
2021,SWE,-458.6,79
2021,DZA,-790,79
2021,KHM,-481.79999999999995,78
2021,SGP,-454.9,73
2021,ZWE,-604.3,72
2021,CUB,-610,67
2021,CHE,-369.6,65
2021,IRL,-392.4,64
2021,NZL,-369.2,57
2021,KAZ,-265.5,47
2021,MNG,-315,45
2021,ISR,-266,41
2021,KEN,-262.7,39
2021,POL,-140.9,38
2021,ARE,-242,38
2021,MEX,-259,38
2021,ESP,-177,37
2021,KGZ,-264,35
2021,UKR,-189.6,31
2021,DNK,-232,29
2021,LBN,-285,29
2021,EGY,-243,27
2021,ZMB,-185.6,26
2021,MOZ,-125,25
2021,ARG,-186.4,25
2021,BEL,-166.5,25
2021,MWI,-133,25
2021,NOR,-134.5,23
2021,LAO,-122,22
2021,NLD,-107.5,21
2021,GRC,-151,18
2021,SYR,-91.79999999999998,18
2021,GAB,-170,17
2021,AUT,-86.5,16
2021,SAU,-92,16
2021,PER,-144,16
2021,ZAF,-114,15
2021,COD,-112.6,15
2021,ETH,-120.5,15
2021,EST,-60.5,13
2021,FIN,-31,13
2021,YEM,-61.800000000000004,12
2021,ECU,-68.5,11
2021,JAM,-104.2,11
2021,UGA,-70.7,10
2021,VEN,-48,10
2021,SLV,-59,10
2021,BLR,-62,9
2021,QAT,-57.2,9
2021,MLI,-73,8
2021,ISL,-64,8
2021,MAR,-40,8
2021,SRB,-45,7
2021,SLE,-51,7
2021,FJI,-43,7
2021,VUT,-35,7
2021,NAM,-60,7
2021,TJK,-34,6
2021,LBR,-50,6
2021,PRT,-38.5,6
2021,CZE,-32.5,6
2021,JOR,-50,6
2021,MLT,-49.5,5
2021,COG,-37.5,5
2021,UZB,-31,5
2021,CHL,-40,5
2021,TZA,-41,5
2021,SOM,-45,5
2021,AZE,-37.5,4
2021,NER,-36,4
2021,GUY,-25,4
2021,TTO,-40,4
2021,KWT,-24,3
2021,GIN,-10.6,3
2021,LVA,-30,3
2021,PNG,-10,2
2021,SEN,-20,2
2021,NIC,-8,2
2021,TKM,-14.5,2
2021,TUN,-20,2
2021,RWA,-19,2
2021,CYP,-20,2
2021,CYM,-20,2
2021,SVK,-13,2
2021,BWA,-5,1
2021,CMR,-9.5,1
2021,BGR,-10,1
2021,HTI,-10,1
2021,OMN,-2,1
2021,COL,-9.5,1
2021,BOL,-10,1
2020,USA,-135425.59999999995,22374
2020,AUS,-31253.49999999999,5215
2020,GBR,-17698.299999999992,3122
2020,CAN,-13987.799999999996,2566
2020,IND,-17014.500000000007,2287
2020,JPN,-8966.199999999997,1513
2020,PHL,-8565.499999999998,1462
2020,RUS,-7916.8,1309
2020,PAK,-8461.199999999999,1232
2020,IDN,-3813.8999999999996,718
2020,KOR,-4570.099999999999,685
2020,VNM,-3826.4999999999986,671
2020,NPL,-3934,588
2020,MYS,-3177.2999999999997,566
2020,NGA,-2826.8999999999996,470
2020,NZL,-2442.6,451
2020,FRA,-2075.3,410
2020,PRK,-2729.4,394
2020,ITA,-2426.5,371
2020,SGP,-1888.5,356
2020,KEN,-1956.4,353
2020,DEU,-1940.6,349
2020,IRN,-2467.6,343
2020,UKR,-1806.8999999999999,301
2020,MNG,-1727.6,279
2020,THA,-1728.2,279
2020,SWE,-1360.1999999999998,271
2020,ISR,-1747.4,264
2020,BRN,-1901.6000000000006,235
2020,TUR,-1008.8,204
2020,BGD,-1286.6000000000001,195
2020,KAZ,-1026.6,192
2020,CZE,-931.4,189
2020,BRA,-1187.7,188
2020,LKA,-1044.9,162
2020,KHM,-979.1,161
2020,IRL,-1025.9,152
2020,MMR,-955.4,146
2020,GHA,-813.6,134
2020,CHE,-850.8000000000001,127
2020,IRQ,-1004.8,121
2020,ZWE,-825.4,112
2020,SAU,-604.4,101
2020,JOR,-927.5,99
2020,ECU,-546.8,95
2020,EGY,-586.8,89
2020,ZMB,-687,84
2020,ESP,-481,82
2020,DZA,-770,78
2020,CUB,-743,76
2020,UGA,-476.5,75
2020,ETH,-433.4,73
2020,LAO,-384.7,67
2020,LBN,-609.9,65
2020,ARM,-284,62
2020,ARE,-322,58
2020,MEX,-369.5,55
2020,BEL,-347.5,54
2020,AFG,-437,52
2020,NOR,-318.5,50
2020,MAR,-209,49
2020,SRB,-452.4,47
2020,FJI,-316.6,46
2020,KGZ,-285,43
2020,PER,-220.7,41
2020,PNG,-202.5,40
2020,MWI,-235,37
2020,ARG,-287.5,34
2020,GRC,-199.5,31
2020,AUT,-207,30
2020,JAM,-202,29
2020,FIN,-188,28
2020,NLD,-120,27
2020,QAT,-173,27
2020,SYR,-229.9,27
2020,DNK,-162.5,26
2020,ZAF,-156,23
2020,TTO,-155.5,23
2020,POL,-128,22
2020,SDN,-146.4,21
2020,TJK,-100.5,21
2020,LBR,-145,21
2020,HUN,-91,21
2020,LTU,-106.19999999999999,20
2020,KWT,-102.5,19
2020,UZB,-79,18
2020,NAM,-125.60000000000001,17
2020,SOM,-130,17
2020,AZE,-88,17
2020,COL,-82,16
2020,BLR,-83.5,16
2020,VEN,-107.19999999999999,15
2020,TZA,-84,14
2020,MKD,-112,13
2020,OMN,-68,11
2020,CMR,-65,10
2020,PRT,-78.5,10
2020,AGO,-82.4,10
2020,BWA,-42.5,9
2020,MLT,-39,9
2020,COD,-85,9
2020,CHL,-62.2,8
2020,GAB,-63,8
2020,TKM,-37.5,7
2020,YEM,-40,7
2020,ISL,-57.5,7
2020,MUS,-34,7
2020,GUY,-40,7
2020,SLE,-42,7
2020,BHR,-35.4,6
2020,TUN,-41,6
2020,CYM,-48.5,6
2020,SEN,-36.5,6
2020,BGR,-18,5
2020,DOM,-20,5
2020,CYP,-37,5
2020,RWA,-21,5
2020,VUT,-32,5
2020,PAN,-28.8,4
2020,MOZ,-22.2,4
2020,GIN,-37.5,4
2020,LUX,-17,3
2020,DJI,-16.7,2
2020,BOL,-15,2
2020,FSM,-10,2
2020,COG,-15,2
2020,BMU,-4,2
2020,EST,-10,2
2020,HTI,-10,1
2020,HRV,-5,1
2020,LVA,-5,1
2020,SLV,-4,1
2019,USA,-100055.80000000002,15412
2019,CAN,-34721.59999999999,6345
2019,PHL,-13587.099999999999,2282
2019,GBR,-14371.1,2272
2019,AUS,-13076.4,2206
2019,PAK,-7163.999999999998,1072
2019,JPN,-7120.699999999998,1060
2019,IND,-3637.5999999999995,579
2019,RUS,-4138.9,544
2019,VNM,-3243.7999999999997,520
2019,MYS,-2807.7999999999993,443
2019,NPL,-2034.4,380
2019,IDN,-2321,358
2019,KOR,-2462.8,318
2019,PRK,-2415.6000000000004,316
2019,FRA,-1622,289
2019,NZL,-1796.3,278
2019,IRN,-1850.2,270
2019,GHA,-1476.8,258
2019,KAZ,-1414.4,253
2019,KHM,-1400.9,242
2019,DEU,-1341.9,236
2019,THA,-1518.1,230
2019,KEN,-1412.8000000000002,226
2019,BGD,-1974,225
2019,POL,-1194.7,221
2019,LKA,-1510.9,200
2019,TUR,-930.7,177
2019,NGA,-1150.3000000000002,151
2019,MMR,-891.5,144
2019,KGZ,-971.8,136
2019,SWE,-576,118
2019,LAO,-945.9,105
2019,SGP,-694.6,102
2019,TZA,-528,102
2019,ESP,-735.3,100
2019,BRN,-692.5999999999999,95
2019,BRA,-470,84
2019,MNG,-432,84
2019,CHE,-510.4,82
2019,CZE,-472,79
2019,MEX,-507.4,75
2019,EGY,-462,71
2019,ZWE,-484.4,69
2019,VEN,-370,67
2019,ZMB,-398,65
2019,ITA,-411.3,65
2019,UKR,-373.5,64
2019,MWI,-297.2,61
2019,NAM,-525.5,61
2019,CUB,-608.5,61
2019,ISR,-353.3,52
2019,PER,-340.3,48
2019,NOR,-353.69999999999993,48
2019,SAU,-298,46
2019,VUT,-230,46
2019,UGA,-309.2,46
2019,IRL,-248.5,43
2019,PRT,-246.6,41
2019,ARG,-321,39
2019,BEL,-203.3,36
2019,JOR,-290,34
2019,NLD,-204,32
2019,FJI,-184.4,31
2019,AFG,-212.89999999999998,31
2019,PNG,-172,30
2019,DNK,-165,30
2019,CMR,-214,29
2019,SYR,-160.70000000000002,28
2019,JAM,-184.6,27
2019,MOZ,-187.5,22
2019,ECU,-137.5,22
2019,GAB,-189.4,21
2019,ETH,-118,21
2019,SOM,-188,20
2019,LTU,-132.1,19
2019,ARE,-81.2,17
2019,ZAF,-83.2,15
2019,CHL,-75.7,14
2019,DJI,-116,14
2019,YEM,-88,12
2019,GUY,-87,12
2019,FIN,-79,11
2019,CYM,-56,11
2019,AUT,-68.5,11
2019,SDN,-89.5,10
2019,SUR,-66,10
2019,BWA,-68,10
2019,IRQ,-80,10
2019,QAT,-61.599999999999994,9
2019,GRC,-49,9
2019,COL,-47.5,8
2019,OMN,-80,8
2019,DZA,-61.5,7
2019,HUN,-35,7
2019,TTO,-49,6
2019,DOM,-12,6
2019,SLE,-20,6
2019,MDG,-30,5
2019,ARM,-45,5
2019,MLT,-25,4
2019,TJK,-28.8,4
2019,BLR,-24,4
2019,HRV,-30,4
2019,BHR,-36,4
2019,LBN,-29,4
2019,SVK,-29,4
2019,CYP,-17.2,3
2019,COD,-30,3
2019,PRY,-12,3
2019,MAR,-21,3
2019,LVA,-19.5,3
2019,EST,-30,3
2019,PAN,-23.2,3
2019,AGO,-14,2
2019,CRI,-10,2
2019,COG,-11.2,2
2019,TUN,-20,2
2019,ISL,-10,2
2019,MKD,-10,2
2019,SRB,-12.2,2
2019,BOL,-18,2
2019,TGO,-5,1
2019,TCD,-4,1
2019,NIC,-6.5,1
2018,USA,-96526.60000000006,14426
2018,CAN,-14044.600000000002,2551
2018,PAK,-14435.899999999998,1800
2018,JPN,-8696.899999999998,1362
2018,PHL,-7639.899999999998,1297
2018,AUS,-6929.000000000001,1198
2018,PRK,-5776.300000000001,825
2018,RUS,-5895.999999999996,774
2018,GBR,-5096.399999999999,773
