YEAR,Actor2CountryCode,QuadClass,SubEventType,GoldsteinScale,Record Count
2015,AFG,4,3,-1292.2,131
2015,AFG,3,2,-90,15
2015,AFG,4,5,-114.4,17
2015,AFG,3,1,-55,11
2015,AFG,4,4,-748.3000000000001,122
2015,AFG,4,1,-430,67
2015,AFG,3,4,-20,7
2015,AFG,3,3,-153,26
2015,AGO,4,4,-65,9
2015,AGO,3,1,-5.8,1
2015,AGO,3,2,-52,8
2015,AGO,4,2,-5,1
2015,AGO,4,5,-43.400000000000006,7
2015,AGO,4,3,-116.40000000000002,15
2015,ARE,4,4,-479,93
2015,ARE,3,2,-32.5,5
2015,ARE,4,3,-508.5,51
2015,ARE,3,1,-5.8,1
2015,ARE,4,5,-47.599999999999994,7
2015,ARE,3,3,-18,4
2015,ARE,4,1,-4,1
2015,ARG,4,3,-400.59999999999997,43
2015,ARG,4,1,-29,4
2015,ARG,3,1,-17.4,3
2015,ARG,3,4,-14,4
2015,ARG,4,4,-75,15
2015,ARG,4,5,-40,8
2015,ARG,3,2,-26,4
2015,ARM,3,2,-58.5,9
2015,ARM,4,1,-20,4
2015,ARM,3,1,-20.8,4
2015,ARM,3,5,-4,1
2015,ARM,4,4,-90,18
2015,ARM,3,3,-7,1
2015,ARM,4,3,-20,2
2015,ARM,3,4,-6,3
2015,ATG,4,4,-10,2
2015,ATG,3,4,-5,1
2015,AUS,4,4,-2972.4999999999995,548
2015,AUS,3,5,-90,30
2015,AUS,4,1,-1151,195
2015,AUS,1,2,-0.6,2
2015,AUS,1,5,-0.8999999999999999,3
2015,AUS,4,5,-1065.2000000000003,187
2015,AUS,3,3,-314,66
2015,AUS,4,3,-5593.899999999993,586
2015,AUS,3,4,-326,85
2015,AUS,4,2,-80,16
2015,AUS,3,1,-164.8,33
2015,AUS,3,2,-985,153
2015,AUT,4,1,-92,16
2015,AUT,4,4,-92.5,12
2015,AUT,4,3,-60,6
2015,AUT,3,4,-20,4
2015,AUT,4,5,-25,5
2015,AZE,3,2,-6.5,1
2015,AZE,4,1,-30,5
2015,AZE,4,3,-40,4
2015,AZE,3,5,-16,4
2015,AZE,4,4,-20,4
2015,AZE,1,5,-1.8,6
2015,BEL,4,4,-176.2,24
2015,BEL,4,3,-209,21
2015,BEL,3,4,-8,4
2015,BEL,3,1,-40,8
2015,BEL,4,2,-10,2
2015,BEL,2,5,-2,1
2015,BEL,4,5,-92.60000000000001,16
2015,BEL,4,1,-32,8
2015,BEL,3,2,-39,6
2015,BGD,4,2,-5,1
2015,BGD,3,2,-36.5,6
2015,BGD,4,3,-999.1000000000001,101
2015,BGD,3,3,-42,16
2015,BGD,4,5,-34.2,6
2015,BGD,4,1,-30,7
2015,BGD,4,4,-397,72
2015,BGR,3,2,-26,4
2015,BGR,4,3,-80,8
2015,BGR,4,4,-55,11
2015,BHR,4,4,-10,2
2015,BHR,4,1,-51,9
2015,BHR,4,3,-20,2
2015,BLR,4,4,-110,22
2015,BLR,3,1,-5,1
2015,BLR,4,1,-32,8
2015,BLR,1,3,-0.6,2
2015,BLR,4,2,-25,5
2015,BLR,3,4,-2,1
2015,BLR,4,3,-594.4,60
2015,BLR,3,2,-214.5,33
2015,BOL,4,3,-108,11
2015,BOL,4,1,-12,3
2015,BRA,4,4,-306.19999999999993,47
2015,BRA,4,3,-423.4,45
2015,BRA,3,2,-122.5,20
2015,BRA,3,4,-32,10
2015,BRA,4,1,-145,25
2015,BRA,4,2,-5,1
2015,BRA,4,5,-130,26
2015,BRA,2,5,-4,2
2015,BRN,3,2,-986.5,156
2015,BRN,4,2,-20,4
2015,BRN,2,5,-42,21
2015,BRN,4,3,-6216.89999999999,666
2015,BRN,3,3,-357,56
2015,BRN,3,4,-329,100
2015,BRN,3,1,-590.6,117
2015,BRN,4,1,-424,92
2015,BRN,1,2,-0.3,1
2015,BRN,4,5,-360.19999999999993,67
2015,BRN,4,4,-849.6000000000005,134
2015,BWA,4,4,-30,6
2015,BWA,4,3,-59.5,6
2015,BWA,4,1,-5,1
2015,BWA,3,4,-6,3
2015,BWA,4,5,-10,2
2015,BWA,3,1,-10,2
2015,CAN,3,1,-148.60000000000002,29
2015,CAN,4,1,-384,88
2015,CAN,3,4,-240,72
2015,CAN,3,2,-304,49
2015,CAN,3,3,-48,19
2015,CAN,4,5,-1668.0000000000005,321
2015,CAN,1,5,-0.3,1
2015,CAN,3,5,-26,7
2015,CAN,4,2,-125,25
2015,CAN,4,4,-2077,379
2015,CAN,4,3,-2577.5,261
2015,CHE,4,2,-20,4
2015,CHE,3,3,-86,13
2015,CHE,3,5,-16,4
2015,CHE,3,1,-50,10
2015,CHE,4,3,-641.5,65
2015,CHE,4,5,-222.6,42
2015,CHE,3,4,-43,20
2015,CHE,3,2,-144,22
2015,CHE,4,1,-446,73
2015,CHE,4,4,-965.6000000000001,156
2015,CHL,4,1,-12,3
2015,CHL,3,2,-6.5,1
2015,CHL,4,3,-170,17
2015,CHL,4,4,-42.5,5
2015,CHL,3,4,-16,5
2015,CMR,4,3,-110,11
2015,CMR,3,3,-7,1
2015,CMR,3,4,-4,2
2015,CMR,3,5,-5,1
2015,CMR,4,5,-10,2
2015,CMR,4,4,-81,11
2015,COD,4,4,-33,4
2015,COD,4,1,-16,2
2015,COD,4,3,-29.5,3
2015,COD,4,5,-15,3
2015,COD,3,3,-8,4
2015,COD,3,2,-201.5,27
2015,COG,4,4,-115,19
2015,COG,4,5,-25,5
2015,COG,4,1,-8,1
2015,COG,3,2,-7.5,1
2015,COG,3,3,-4,2
2015,COG,4,3,-830,83
2015,COL,4,3,-368.2,39
2015,COL,4,1,-14,2
2015,COL,4,4,-278,54
2015,COL,3,2,-65,10
2015,COL,4,5,-60.2,7
2015,COL,3,3,-4,2
2015,COL,3,5,-8,2
2015,CRI,4,4,-20,4
2015,CRI,4,1,-5,1
2015,CRI,4,3,-20,2
2015,CUB,3,2,-52,8
2015,CUB,1,5,-0.6,2
2015,CUB,3,1,-10,2
2015,CUB,4,5,-75,15
2015,CUB,4,4,-94,18
2015,CUB,4,2,-30,6
2015,CUB,4,1,-171,36
2015,CUB,4,3,-187.79999999999998,20
2015,CYM,3,4,-2,1
2015,CYM,4,5,-5,1
2015,CYM,4,4,-40,8
2015,CYP,4,3,-20,2
2015,CYP,4,4,-5,1
2015,CZE,3,2,-45.5,7
2015,CZE,4,1,-8,2
2015,CZE,4,4,-25,5
2015,CZE,3,1,-20,4
2015,CZE,4,3,-70,7
2015,DEU,4,5,-214.2,42
2015,DEU,3,4,-185,61
2015,DEU,4,2,-110,22
2015,DEU,3,5,-15,3
2015,DEU,4,1,-1238,192
2015,DEU,3,2,-346.5,54
2015,DEU,4,4,-950.8000000000001,158
2015,DEU,4,3,-2309.5,238
2015,DEU,1,5,-2.6999999999999997,9
2015,DEU,3,1,-60.8,12
2015,DEU,3,3,-690,100
2015,DJI,4,1,-44,11
2015,DJI,4,4,-78.2,13
2015,DJI,4,3,-274.39999999999986,34
2015,DJI,3,3,-35,5
2015,DJI,3,2,-45.5,7
2015,DNK,3,4,-95,37
2015,DNK,3,1,-55,11
2015,DNK,4,5,-55,11
2015,DNK,4,3,-148.5,15
2015,DNK,4,1,-79,16
2015,DNK,4,4,-196.19999999999996,32
2015,DNK,3,2,-58.5,9
2015,DNK,4,2,-25,5
2015,DOM,4,4,-5,1
2015,DZA,4,4,-25,5
2015,DZA,3,2,-13,2
2015,DZA,4,3,-67,7
2015,DZA,3,4,-5,1
2015,DZA,4,5,-10,2
2015,ECU,3,3,-7,1
2015,ECU,1,5,-0.6,2
2015,ECU,4,1,-24,6
2015,ECU,4,4,-250,29
2015,ECU,3,4,-16,5
2015,ECU,4,5,-10,2
2015,ECU,3,2,-45.5,7
2015,EGY,3,3,-16,8
2015,EGY,4,3,-815.5999999999999,83
2015,EGY,4,5,-76.8,12
2015,EGY,4,1,-144,36
2015,EGY,4,2,-5,1
2015,EGY,4,4,-511.99999999999994,73
2015,EGY,3,4,-16,8
2015,EGY,3,2,-40,6
2015,ESP,3,1,-10,2
2015,ESP,4,5,-106.80000000000001,18
2015,ESP,4,1,-123,24
2015,ESP,3,5,-8,4
2015,ESP,3,2,-58.5,9
2015,ESP,4,3,-998.2,101
2015,ESP,3,3,-81,13
2015,ESP,3,4,-24,12
2015,ESP,4,4,-1080.3000000000002,187
2015,EST,4,4,-43,7
2015,EST,4,3,-19,2
2015,ETH,3,1,-15,3
2015,ETH,4,3,-120,12
2015,ETH,3,2,-71.5,11
2015,ETH,4,5,-10,2
2015,ETH,4,1,-26,5
2015,ETH,4,4,-150,30
2015,FIN,4,3,-49.5,5
2015,FIN,4,4,-69,10
2015,FIN,4,1,-10,2
2015,FIN,4,5,-35,7
2015,FJI,4,3,-37,4
2015,FJI,3,3,-28,4
2015,FJI,3,2,-4,1
2015,FJI,4,4,-82.2,16
2015,FRA,2,5,-6,3
2015,FRA,3,5,-18,9
2015,FRA,1,5,-0.8999999999999999,3
2015,FRA,4,4,-1453.2000000000007,244
2015,FRA,4,2,-95,19
2015,FRA,3,3,-488,89
2015,FRA,3,4,-136,59
2015,FRA,3,2,-625.5,91
2015,FRA,3,1,-163.20000000000002,32
2015,FRA,4,3,-5421.099999999999,549
2015,FRA,4,1,-903,141
2015,FRA,4,5,-455.99999999999994,87
2015,GAB,4,4,-10,2
2015,GAB,4,3,-20,2
2015,GBR,4,1,-2304,423
2015,GBR,3,2,-1480,229
2015,GBR,4,3,-5618.799999999999,570
2015,GBR,4,2,-90,18
2015,GBR,1,5,-4.199999999999998,14
2015,GBR,3,5,-49,13
2015,GBR,1,2,-3.2999999999999994,11
2015,GBR,4,4,-4725.699999999999,867
2015,GBR,3,4,-326,130
2015,GBR,3,3,-509,87
2015,GBR,4,5,-1207.0000000000005,212
2015,GBR,3,1,-492.8000000000001,96
2015,GHA,4,4,-270,54
2015,GHA,3,4,-20,4
2015,GHA,4,3,-457,46
2015,GHA,4,1,-14,3
2015,GHA,3,2,-42,6
2015,GHA,4,5,-10,2
2015,GIN,3,2,-10,2
2015,GIN,4,3,-40,4
2015,GRC,3,4,-5,1
2015,GRC,4,1,-245,44
2015,GRC,3,1,-25,5
2015,GRC,3,3,-77,11
2015,GRC,4,2,-10,2
2015,GRC,4,4,-261,46
2015,GRC,3,2,-83,13
2015,GRC,4,3,-228.5,23
2015,GRC,4,5,-32.599999999999994,4
2015,GUY,4,3,-131.5,14
2015,GUY,3,1,-10,2
2015,GUY,3,3,-7,1
2015,GUY,3,4,-8,4
