MonthYear,Actor2CountryCode,QuadClass,SubEventType,GoldsteinScale,Record Count
202101,AFG,4,4,-209.4,41
202101,AFG,4,3,-195.5,20
202101,AFG,4,1,-30,6
202101,AFG,2,3,-4,2
202101,AGO,4,3,-96,10
202101,ARE,4,1,-40,5
202101,ARE,4,4,-10,2
202101,ARG,4,3,-20,2
202101,AUS,1,5,-0.3,1
202101,AUS,3,1,-11.6,2
202101,AUS,4,2,-135,27
202101,AUS,2,3,-24,12
202101,AUS,4,5,-895,179
202101,AUS,4,3,-1016.4,105
202101,AUS,3,2,-148,24
202101,AUS,3,5,-17,4
202101,AUS,4,4,-259.5,51
202101,AUS,3,4,-28,11
202101,AUS,4,1,-640,106
202101,AUS,3,3,-32,6
202101,AUT,3,1,-25,5
202101,AZE,4,3,-30,3
202101,BEL,4,3,-19,2
202101,BEL,3,2,-6.5,1
202101,BEL,4,2,-10,2
202101,BEL,4,4,-25,5
202101,BEL,3,3,-7,1
202101,BGD,4,3,-59,6
202101,BGD,3,2,-71.5,11
202101,BGD,4,5,-10,2
202101,BLR,3,4,-20,4
202101,BLR,3,2,-6.5,1
202101,BRA,3,1,-10,2
202101,BRA,3,5,-8,2
202101,BRA,4,3,-1119,112
202101,BRA,3,4,-46,23
202101,BRA,4,5,-120,24
202101,BRA,4,1,-48,11
202101,BRN,3,2,-19.5,3
202101,BRN,4,1,-85,11
202101,BRN,3,4,-26,10
202101,BRN,4,3,-827.9,88
202101,BRN,4,4,-132.40000000000000,18
202101,BRN,3,3,-41,8
202101,CAN,4,1,-49,10
202101,CAN,3,5,-15,3
202101,CAN,2,5,-2,1
202101,CAN,4,3,-223.4,23
202101,CAN,3,1,-11.6,2
202101,CAN,3,2,-51,9
202101,CAN,4,2,-10,2
202101,CAN,4,4,-862,152
202101,CAN,1,5,-3.3000000000000000,11
202101,CAN,3,4,-4,2
202101,CAN,4,5,-95,19
202101,CHE,4,4,-10,2
202101,CHE,3,3,-70,10
202101,CHE,4,1,-24,4
202101,CHE,4,5,-5,1
202101,CHE,4,2,-10,2
202101,CHE,3,4,-8,4
202101,CHE,4,3,-30,3
202101,CHL,4,1,-8,1
202101,CHL,4,3,-20,2
202101,COL,4,4,-18,2
202101,CUB,4,3,-110,11
202101,CUB,4,1,-24,4
202101,CUB,3,5,-8,2
202101,DEU,4,3,-91.1,10
202101,DEU,4,5,-48.4,8
202101,DEU,4,4,-15,3
202101,DEU,4,1,-80,11
202101,DEU,3,4,-10,5
202101,DEU,3,2,-39,6
202101,DJI,4,3,-47.5,5
202101,DNK,4,4,-10,2
202101,DNK,4,5,-10,2
202101,DNK,4,3,-40,4
202101,DZA,4,3,-260,26
202101,EGY,4,4,-20,2
202101,EGY,4,3,-128.5,13
202101,ESP,4,3,-30,3
202101,ESP,3,4,-4,2
202101,ETH,4,5,-15,3
202101,ETH,3,4,-4,2
202101,FJI,4,4,-5,1
202101,FJI,4,1,-8,1
202101,FRA,3,4,-18,9
202101,FRA,4,2,-5,1
202101,FRA,4,4,-34,5
202101,FRA,3,2,-13,2
202101,FRA,4,3,-150,15
202101,FRA,3,1,-11.6,2
202101,FRA,4,1,-68,11
202101,FRA,4,5,-15,3
202101,GBR,4,3,-1120.8,114
202101,GBR,3,1,-20,4
202101,GBR,1,5,-0.6,2
