MonthYear,Actor2CountryCode,QuadClass,SubEventType,GoldsteinScale,RecordCount
200301,AFG,4,1,-4,1
200301,AFG,4,4,-5,1
200301,AUS,4,4,-135,27
200301,CAN,4,3,-50,5
200301,CHE,4,4,-5,1
200301,DEU,3,2,-13,2
200301,EGY,4,4,-5,1
200301,FRA,4,1,-16,4
200301,FRA,4,3,-10,1
200301,FRA,4,4,-5,1
200301,GBR,4,4,-43.2,6
200301,GBR,3,3,-21,3
200301,HRV,4,3,-40,4
200301,IND,4,3,-20,2
200301,IRL,4,4,-5,1
200301,IRQ,2,3,-2,1
200301,IRQ,4,4,-67.6,10
200301,ISR,4,4,-9.5,1
200301,ISR,4,3,-69.5,7
200301,ISR,3,4,-8,4
200301,JPN,4,4,-74.4,14
200301,JPN,1,5,-1.2,4
200301,JPN,3,2,-91,14
200301,JPN,3,4,-4,2
200301,JPN,4,1,-40,10
200301,KGZ,4,5,-5,1
200301,KGZ,4,4,-5,1
200301,KHM,4,1,-12,3
200301,KOR,4,4,-128,24
200301,KOR,3,2,-4,1
200301,KOR,4,1,-4,1
200301,LKA,4,4,-5,1
200301,MMR,4,5,-5,1
200301,MUS,4,4,-9,1
200301,MUS,3,2,-6.5,1
200301,MYS,4,3,-40,4
200301,NLD,4,4,-10,2
200301,PAK,4,4,-135,15
200301,PAK,4,3,-90,9
200301,PHL,4,4,-75,13
200301,PHL,3,5,-20,4
200301,POL,4,3,-20,2
200301,POL,3,3,-4,2
200301,PRK,3,3,-14,2
200301,PRK,3,2,-39,6
200301,PRK,4,4,-350,70
200301,PRK,4,3,-148,18
200301,PRK,4,5,-40,8
200301,PRK,4,1,-41,10
200301,RUS,4,1,-35,5
200301,RUS,3,4,-6,3
200301,RUS,3,1,-5,1
200301,RUS,4,4,-50,10
200301,RUS,3,2,-39,6
200301,RUS,4,3,-20,2
200301,RUS,4,5,-5,1
200301,RUS,3,3,-4,2
200301,SGP,4,3,-21.6,3
200301,THA,4,3,-21.6,3
200301,THA,4,4,-10,2
200301,TUR,4,4,-25,5
200301,UKR,4,4,-50,10
200301,UKR,3,4,-2,1
200301,USA,4,5,-5,1
200301,USA,3,5,-5,1
200301,USA,3,2,-25,5
200301,USA,4,2,-10,2
200301,USA,4,4,-256.6,50
200301,USA,3,4,-8,4
200301,USA,4,1,-76,11
200301,USA,4,3,-115.5,13
200301,VNM,4,3,-58,6
200301,VNM,4,4,-20,4
200301,YEM,3,3,-2,1
200302,AUS,4,4,-10,2
200302,AUS,4,3,-40,4
200302,AUT,4,4,-20,2
200302,BLR,4,4,-40,8
200302,CAN,4,3,-27,3
200302,CHE,4,4,-14.4,2
200302,DEU,3,2,-19.5,3
200302,DEU,3,3,-7,1
200302,FRA,3,2,-6.5,1
200302,GBR,3,4,-5,1
200302,GBR,4,3,-40,4
200302,GRC,4,1,-12,3
200302,HKG,4,5,-5,1
200302,IDN,4,3,-110,11
200302,IDN,4,4,-70,14
200302,IND,4,3,-87.2,9
200302,IRQ,3,2,-13,2
200302,IRQ,3,1,-5,1
200302,IRQ,3,4,-8,4
200302,IRQ,4,1,-44,11
200302,IRQ,2,3,-4,2
200302,IRQ,4,3,-20,2
200302,IRQ,3,3,-37,6
200302,ISR,4,3,-10,1
200302,JOR,3,2,-6.5,1
200302,JPN,4,1,-15,3
200302,JPN,4,4,-40,8
200302,JPN,4,5,-51,6
200302,JPN,4,3,-118,12
200302,JPN,3,4,-6,3
200302,JPN,3,2,-13,2
200302,KGZ,4,4,-9.5,1
200302,KHM,4,1,-4,1
200302,KOR,1,5,-0.3,1
200302,KOR,4,3,-34.4,4
200302,KOR,4,1,-4,1
200302,KOR,4,4,-14.5,2
200302,KOR,3,4,-2,1
200302,KWT,4,1,-8,2
200302,MYS,4,5,-10,2
200302,NAM,4,5,-18.4,2
200302,NPL,4,3,-20,2
200302,PAK,4,1,-4,1
200302,PAK,4,3,-60,6
200302,PHL,4,4,-20,4
200302,PRK,3,4,-6,3
200302,PRK,3,1,-5.8,1
200302,PRK,4,1,-16,2
200302,PRK,4,3,-143.5,15
200302,PRK,4,4,-10,2
200302,RUS,4,4,-45,9
200302,RUS,4,3,-20,2
200302,SAU,4,4,-5,1
200302,SEN,4,3,-14.4,2
200302,THA,3,3,-21,3
200302,THA,4,3,-10,1
200302,THA,4,1,-20,5
200302,USA,3,4,-13,5
200302,USA,4,1,-44,8
200302,USA,4,3,-130,13
200302,USA,3,2,-17,3
200302,USA,4,4,-120.6,22
200302,USA,4,5,-25,5
200302,USA,3,5,-8,2
200302,UZB,4,3,-10,1
200302,VNM,4,3,-10,1
200302,VNM,4,4,-63,7
200302,ZMB,4,4,-10,2
200303,AFG,3,4,-4,2
200303,AFG,4,3,-10,1
200303,AUS,3,2,-13,2
200303,AUS,4,3,-21.6,3
200303,AUT,4,4,-7.2,1
200303,BEL,4,3,-10,1
200303,BEL,4,4,-15,3
200303,BEL,3,2,-6.5,1
200303,BHR,4,4,-14.4,2
200303,BRA,4,4,-15,3
200303,CAN,4,3,-10,1
200303,CAN,4,4,-10,2
200303,CHE,4,1,-4,1
200303,CHE,4,3,-10,1
200303,DEU,3,2,-6.5,1
200303,DNK,4,1,-24,6
200303,DNK,3,2,-13,2
200303,ESP,3,2,-13,2
200303,FRA,3,3,-7,1
200303,FRA,4,3,-30,3
200303,FRA,4,1,-20,5
200303,FRA,2,3,-6,3
200303,FRA,3,2,-19.5,3
200303,GBR,4,1,-20,5
200303,GBR,4,4,-34.4,6
200303,GBR,3,2,-13,2
200303,HUN,4,3,-28.5,3
200303,IDN,3,2,-13,2
200303,IND,3,2,-6.5,1
200303,IRQ,3,1,-15,3
200303,IRQ,1,3,-1.8,6
200303,IRQ,3,2,-78,12
200303,IRQ,4,1,-76,19
200303,IRQ,3,3,-133,19
200303,IRQ,4,5,-18.4,2
200303,IRQ,3,4,-12,6
200303,IRQ,2,3,-16,8
200303,IRQ,4,3,-297.4,31
200303,ISR,4,4,-10,2
200303,JPN,4,3,-20,2
200303,JPN,3,2,-26,4
200303,JPN,4,1,-20,5
200303,JPN,4,5,-11.2,2
200303,JPN,3,4,-8,4
200303,JPN,4,4,-38,6
200303,KGZ,4,3,-108,11
200303,KHM,4,4,-5,1
200303,KOR,4,3,-20,2
200303,KOR,3,4,-2,1
200303,KOR,4,4,-10,2
200303,KOR,3,5,-4,2
200303,KWT,4,4,-10,1
200303,KWT,4,3,-60,6
200303,KWT,4,1,-4,1
200303,LKA,3,2,-26,4
200303,LKA,3,4,-8,4
200303,LKA,4,3,-60,6
200303,NLD,4,3,-20,2
200303,NLD,4,4,-30,6
200303,PAK,4,3,-20,2
200303,PHL,4,4,-30,6
200303,PRK,4,1,-12,3
200303,PRK,3,2,-26,4
200303,PRK,4,4,-25,5
200303,PRK,3,4,-6,3
200303,RUS,4,2,-15,3
200303,RUS,3,1,-15,3
200303,RUS,4,4,-30,6
200303,RUS,4,1,-37,5
200303,RUS,4,3,-104.3,12
200303,RUS,1,3,-0.6,2
200303,RUS,3,2,-6.5,1
200303,SGP,4,1,-8,2
200303,SRB,4,4,-30,3
200303,THA,3,2,-26,4
200303,USA,3,2,-91,14
200303,USA,4,3,-238.8,25
200303,USA,3,4,-21,9
200303,USA,4,4,-110,21
200303,USA,3,3,-28,4
200303,USA,3,1,-21.6,4
200303,USA,4,5,-10,2
200303,USA,3,5,-19,5
200303,USA,4,1,-63,13
200303,VNM,4,1,-22,4
200303,VNM,4,4,-25,5
200303,VNM,4,3,-49.5,5
200304,AFG,4,3,-10,1
200304,ATG,4,5,-5,1
200304,AUS,4,4,-40,8
200304,AUT,4,1,-16,4
200304,AZE,4,1,-8,2
200304,AZE,4,4,-21.6,3
200304,BEL,4,1,-8,2
200304,BGR,4,1,-8,2
200304,BHR,4,5,-10,2
200304,BLR,4,4,-5,1
200304,BRN,4,3,-40,4
200304,CAN,4,3,-50,5
200304,CAN,4,1,-40,10
200304,CAN,3,2,-4,1
200304,CAN,3,4,-10,5
200304,CHE,4,1,-4,1
200304,CHE,4,4,-5,1
200304,CHE,4,5,-65,13
200304,CZE,4,4,-5,1
200304,CZE,4,1,-16,4
200304,DEU,4,1,-4,1
200304,DEU,4,5,-27.6,3
200304,DEU,4,4,-15,3
200304,DEU,4,3,-19,2
200304,DJI,4,3,-10,1
200304,DNK,4,1,-8,2
200304,EGY,4,1,-20,5
200304,ETH,4,4,-5,1
200304,FIN,4,1,-7,1
200304,FRA,4,5,-25,5
200304,GBR,3,2,-6.5,1
200304,GBR,4,1,-36,9
200304,GBR,4,4,-10,1
200304,HRV,4,3,-28.5,3
200304,HRV,4,1,-5,1
200304,IDN,4,5,-15,3
200304,IDN,3,2,-6.5,1
200304,IND,4,3,-90,9
200304,IRQ,3,3,-21,3
200304,IRQ,4,1,-16,4
200304,IRQ,4,4,-22.2,4
200304,IRQ,4,3,-108.5,11
200304,IRQ,1,3,-0.6,2
200304,IRQ,3,2,-15,2
200304,ISR,4,1,-8,2
200304,ISR,3,4,-4,2
200304,ITA,4,1,-4,1
200304,ITA,4,2,-15,3
200304,ITA,4,5,-15,3
200304,JPN,4,5,-9.2,1
200304,JPN,4,4,-86,10
200304,JPN,4,3,-80,8
200304,JPN,3,3,-14,2
200304,JPN,3,4,-14,7
200304,JPN,3,1,-16.6,3
200304,JPN,4,1,-149,35
200304,KAZ,4,1,-30,6
200304,KAZ,4,3,-30,3
200304,KGZ,4,3,-98,10
200304,KGZ,4,4,-5,1
200304,KGZ,4,5,-10,2
200304,KHM,4,3,-30,3
200304,KOR,4,1,-42,9
200304,KOR,4,5,-25,5
200304,KOR,3,4,-20,4
200304,KOR,3,3,-7,1
200304,KOR,3,1,-10.8,2
200304,KWT,4,3,-40,4
200304,LKA,4,3,-60,6
200304,LKA,4,1,-36,6
200304,LTU,4,3,-9.5,1
200304,MAC,4,1,-4,1
200304,MMR,4,3,-28.5,3
200304,MYS,4,3,-48.8,6
200304,MYS,4,1,-4,1
200304,MYS,4,5,-60,12
200304,MYS,3,2,-19.5,3
200304,NAM,3,4,-5,1
200304,NOR,4,1,-4,1
200304,NZL,3,1,-10,2
200304,NZL,4,3,-20,2
200304,PAK,4,5,-9.2,1
200304,PHL,4,1,-24,6
200304,PRK,3,1,-35,7
200304,PRK,4,4,-57.2,11
200304,PRK,3,3,-35,5
200304,PRK,4,3,-276,28
200304,PRK,3,4,-19,5
200304,PRK,4,1,-159,24
200304,PRK,4,5,-18.4,2
200304,PRT,4,3,-30,3
200304,QAT,4,5,-5,1
200304,RUS,4,5,-140,28
200304,RUS,4,4,-81.6,15
200304,RUS,3,2,-32,8
200304,RUS,4,3,-110.9,12
200304,RUS,4,2,-10,2
200304,RUS,4,1,-83,20
200304,SAU,4,5,-90,18
200304,SDN,4,5,-9.2,1
200304,SGP,3,2,-23.5,4
200304,SGP,4,3,-71.6,8
200304,SGP,4,4,-5,1
200304,SGP,4,1,-112,28
200304,SGP,4,5,-5,1
200304,SVK,4,5,-18.4,2
200304,SWE,4,1,-4,1
