YEAR,Actor2CountryCode,GoldsteinScale,Record Count
2003,AFG,-4,27
2004,AFG,-27,264
2005,AFG,-20,14
2006,AFG,-10,39
2007,AFG,-50,57
2008,AFG,-5,145
2009,AFG,-235,300
2010,AFG,-10,229
2011,AFG,-100,303
2012,AFG,-115,327
2013,AFG,-1,293
2014,AFG,-10,334
2015,AFG,-28,396
2016,AFG,-20,512
2017,AFG,-13,510
2018,AFG,-40,556
2019,AFG,-28,285
2020,AFG,-4,406
2021,AFG,-6,1401
2022,AFG,-40,511
2023,AFG,-38,468
2005,AGO,-5,1
2006,AGO,-8,6
2007,AGO,-10,5
2008,AGO,-5,2
2009,AGO,-209,37
2010,AGO,-20,11
2011,AGO,-5,16
2012,AGO,-15,54
2013,AGO,-9,28
2014,AGO,-83,23
2015,AGO,-58,41
2016,AGO,-10,59
2017,AGO,-5,26
2018,AGO,-5,16
2019,AGO,-10,16
2020,AGO,-70,44
2021,AGO,-14,17
2022,AGO,-35,10
2023,AGO,-20,9
2004,ARE,-5,1
2006,ARE,-4,2
2007,ARE,-10,14
2008,ARE,-5,11
2009,ARE,-7,79
2010,ARE,-20,60
2011,ARE,-5,32
2012,ARE,-20,57
2013,ARE,-73,53
2014,ARE,-7,30
2015,ARE,-80,162
2016,ARE,-70,149
2017,ARE,-10,158
2018,ARE,-2,109
2019,ARE,-30,82
2020,ARE,-24,208
2021,ARE,-90,229
2022,ARE,-5,73
2023,ARE,-20,95
2003,ARG,-10,2
2004,ARG,-5,6
2005,ARG,-28,5
2007,ARG,-15,3
2008,ARG,-13,14
2009,ARG,-2,45
2010,ARG,-8,111
2011,ARG,-30,28
2012,ARG,-2,85
2013,ARG,-15,69
2014,ARG,-15,59
2015,ARG,-19,81
2016,ARG,-19,203
2017,ARG,-150,65
2018,ARG,-36,308
2019,ARG,-5,221
2020,ARG,-50,130
2021,ARG,-15,86
2022,ARG,-6,81
2023,ARG,-40,118
2007,ARM,-36,11
2008,ARM,-10,1
2009,ARM,-20,3
2010,ARM,-40,16
2011,ARM,-15,38
2012,ARM,-20,19
2013,ARM,-10,16
2014,ARM,-20,36
2015,ARM,-26,42
2016,ARM,-20,37
2017,ARM,-10,16
2018,ARM,-13,13
2019,ARM,-20,38
2020,ARM,-50,99
2021,ARM,-80,19
2022,ARM,-20,15
2023,ARM,-10,7
2003,ATG,-5,1
2010,ATG,-10,2
2012,ATG,-20,9
2015,ATG,-10,3
2016,ATG,-5,5
2017,ATG,-20,7
2018,ATG,-10,13
2020,ATG,-5,4
2021,ATG,-15,5
2022,ATG,-2,1
2003,AUS,-26,104
2004,AUS,-20,23
2005,AUS,-10,51
2006,AUS,-10,80
2007,AUS,-59,300
2008,AUS,-10,632
2009,AUS,-28,1606
2010,AUS,-219,1173
2011,AUS,-380,747
2012,AUS,-4,1064
2013,AUS,-95,919
2014,AUS,-18,2021
2015,AUS,-20,1904
2016,AUS,-345,3470
2017,AUS,-311,2782
2018,AUS,-36,3024
2019,AUS,-335,4797
2020,AUS,-4,10847
2021,AUS,-1033,5207
2022,AUS,-2,2842
2023,AUS,-455,4332
2003,AUT,-20,8
2004,AUT,-5,1
2005,AUT,-2,1
2006,AUT,-5,13
2007,AUT,-30,13
2008,AUT,-10,37
2009,AUT,-10,26
2010,AUT,-40,26
2011,AUT,-7,24
2012,AUT,-5,25
2013,AUT,-5,27
2014,AUT,-28,93
2015,AUT,-20,43
2016,AUT,-7,103
2017,AUT,-20,78
2018,AUT,-20,60
2019,AUT,-26,51
2020,AUT,-190,165
2021,AUT,-5,57
2022,AUT,-13,43
2023,AUT,-10,31
2003,AZE,-8,5
2006,AZE,-10,2
2007,AZE,-15,3
2008,AZE,-10,4
2009,AZE,-10,17
2010,AZE,-10,35
2011,AZE,-8,19
2012,AZE,-5,12
2013,AZE,-4,6
2014,AZE,-5,6
2015,AZE,-16,24
2016,AZE,-30,20
2017,AZE,-10,42
2018,AZE,-20,35
2019,AZE,-5,27
2020,AZE,-20,71
2021,AZE,-30,31
2022,AZE,-5,9
2023,AZE,-2,7
2003,BEL,-5,31
2004,BEL,-16,10
2005,BEL,-8,9
2006,BEL,-8,8
2007,BEL,-10,66
2008,BEL,-76,125
2009,BEL,-7,86
2010,BEL,-5,69
2011,BEL,-28,45
2012,BEL,-14,81
2013,BEL,-5,70
2014,BEL,-10,90
2015,BEL,-43,90
2016,BEL,-5,386
2017,BEL,-5,118
2018,BEL,-7,354
2019,BEL,-22,204
2020,BEL,-48,237
2021,BEL,-2,206
2022,BEL,-5,97
2023,BEL,-22,186
2003,BGD,-10,2
2004,BGD,-4,8
2005,BGD,-30,10
2006,BGD,-25,9
2007,BGD,-20,33
2008,BGD,-14,42
2009,BGD,-40,97
2010,BGD,-20,49
2011,BGD,-10,53
2012,BGD,-4,54
2013,BGD,-2,68
2014,BGD,-34,131
2015,BGD,-8,209
2016,BGD,-5,230
2017,BGD,-30,230
2018,BGD,-5,205
2019,BGD,-35,428
2020,BGD,-5,572
2021,BGD,-18,260
2022,BGD,-10,170
2023,BGD,-91,178
2003,BGR,-8,2
2004,BGR,-15,3
2005,BGR,-10,2
2007,BGR,-5,2
2008,BGR,-4,3
2009,BGR,-5,7
2010,BGR,-10,4
2011,BGR,-120,26
2012,BGR,-10,24
2013,BGR,-15,22
2014,BGR,-10,20
2015,BGR,-10,23
2016,BGR,-10,25
2017,BGR,-18,12
2018,BGR,-15,80
2019,BGR,-10,19
2020,BGR,-19,14
2021,BGR,-80,11
2022,BGR,-7,1
2023,BGR,-20,10
2003,BHR,-10,6
2006,BHR,-14,2
2008,BHR,-10,3
2009,BHR,-10,8
2010,BHR,-20,16
2011,BHR,-16,15
2012,BHR,-20,42
2013,BHR,-10,23
2014,BHR,-70,44
2015,BHR,-21,13
2016,BHR,-20,35
2017,BHR,-9,15
2018,BHR,-15,16
2019,BHR,-12,34
2020,BHR,-38,36
2021,BHR,-230,51
2023,BHR,-30,8
2003,BLR,-10,17
2004,BLR,-10,12
2005,BLR,-15,20
2006,BLR,-5,5
2007,BLR,-15,9
2008,BLR,-15,5
2009,BLR,-10,2
2010,BLR,-20,8
2011,BLR,-20,18
2012,BLR,-10,17
2013,BLR,-7,22
2014,BLR,-15,17
2015,BLR,-46,132
2016,BLR,-16,54
2017,BLR,-20,60
2018,BLR,-20,48
2019,BLR,-10,34
2020,BLR,-20,101
2021,BLR,-15,83
2022,BLR,-5,90
2023,BLR,-16,73
2008,BMU,-20,2
2009,BMU,-1,31
2010,BMU,-15,8
2011,BMU,-20,11
2012,BMU,-9,4
2014,BMU,-4,1
2017,BMU,-42,10
2018,BMU,-9,1
2019,BMU,-12,5
2020,BMU,-4,2
2005,BOL,-20,2
2006,BOL,-30,3
2007,BOL,-10,2
2008,BOL,-10,2
2009,BOL,-50,9
2010,BOL,-50,19
2011,BOL,-30,20
2012,BOL,-9,20
2013,BOL,-10,8
2014,BOL,-21,21
2015,BOL,-12,14
2016,BOL,-10,15
2017,BOL,-5,23
2018,BOL,-10,20
2019,BOL,-30,10
2020,BOL,-40,36
2021,BOL,-4,18
2022,BOL,-18,4
2023,BOL,-40,7
2003,BRA,-12,19
2004,BRA,-10,13
2005,BRA,-27,5
2006,BRA,-5,11
2007,BRA,-2,12
2008,BRA,-10,63
2009,BRA,-5,129
2010,BRA,-53,128
2011,BRA,-20,140
2012,BRA,-30,194
2013,BRA,-60,114
2014,BRA,-20,173
2015,BRA,-40,176
2016,BRA,-20,228
2017,BRA,-40,315
2018,BRA,-13,196
2019,BRA,-20,321
2020,BRA,-55,572
2021,BRA,-40,513
2022,BRA,-10,123
2023,BRA,-36,361
2003,BRN,-7,17
2004,BRN,-10,6
2005,BRN,-9,4
2006,BRN,-7,17
2007,BRN,-13,22
2008,BRN,-10,24
2009,BRN,-25,107
2010,BRN,-8,110
2011,BRN,-30,257
2012,BRN,-65,431
2013,BRN,-14,180
2014,BRN,-5,790
2015,BRN,-104,1414
2016,BRN,-37,3291
2017,BRN,-5,1299
2018,BRN,-27,1277
2019,BRN,-49,759
2020,BRN,-11,1455
2021,BRN,-12,1022
2022,BRN,-15,496
2023,BRN,-8,675
2005,BWA,-13,2
2006,BWA,-50,5
2007,BWA,-10,5
2008,BWA,-5,7
2009,BWA,-8,12
2010,BWA,-20,26
2011,BWA,-4,4
2012,BWA,-10,1
2013,BWA,-20,5
2014,BWA,-20,7
2015,BWA,-10,20
2016,BWA,-5,44
2017,BWA,-5,97
2018,BWA,-10,44
2019,BWA,-22,30
2020,BWA,-10,22
2021,BWA,-30,16
2023,BWA,-7,1
2003,CAN,-40,56
2004,CAN,-20,54
2005,CAN,-9,45
2006,CAN,-4,142
2007,CAN,-40,529
2008,CAN,-12,515
2009,CAN,-50,527
2010,CAN,-55,359
2011,CAN,-10,815
2012,CAN,-4,1282
2013,CAN,-8,542
2014,CAN,-50,2058
2015,CAN,-33,1251
2016,CAN,-1,2114
2017,CAN,-447,1286
2018,CAN,-447,6816
2019,CAN,-34,14611
2020,CAN,-343,6590
2021,CAN,-16,5477
2022,CAN,-6,1597
2023,CAN,-77,3175
2003,CHE,-4,46
2004,CHE,-16,6
2005,CHE,-7,11
2006,CHE,-10,8
2007,CHE,-17,47
2008,CHE,-5,126
2009,CHE,-21,188
2010,CHE,-6,170
2011,CHE,-40,158
2012,CHE,-37,120
2013,CHE,-28,201
2014,CHE,-33,164
2015,CHE,-20,409
2016,CHE,-5,330
2017,CHE,-14,582
2018,CHE,-7,345
2019,CHE,-99,293
2020,CHE,-25,415
2021,CHE,-20,201
2022,CHE,-33,158
2023,CHE,-7,164
2003,CHL,-7,1
2004,CHL,-7,3
2006,CHL,-10,2
2007,CHL,-10,1
2009,CHL,-5,13
2010,CHL,-9,29
2011,CHL,-2,6
2012,CHL,-2,35
2013,CHL,-13,14
2014,CHL,-8,25
2015,CHL,-20,31
2016,CHL,-4,66
2017,CHL,-59,76
2018,CHL,-26,112
2019,CHL,-14,87
2020,CHL,-20,73
2021,CHL,-110,55
2022,CHL,-15,37
2023,CHL,-2,20
2004,CMR,-5,3
2005,CMR,-30,6
2006,CMR,-10,1
2008,CMR,-29,8
2009,CMR,-25,26
2010,CMR,-9,27
2011,CMR,-4,1
2012,CMR,-40,17
2013,CMR,-5,6
2014,CMR,-60,186
2015,CMR,-18,28
2016,CMR,-4,40
2017,CMR,-16,30
2018,CMR,-15,62
2019,CMR,-162,49
2020,CMR,-15,11
2021,CMR,-20,3
2022,CMR,-9,1
2023,CMR,-29,25
2003,COD,-7,2
2006,COD,-67,13
2007,COD,-19,5
2008,COD,-7,10
2009,COD,-15,12
2010,COD,-25,9
2011,COD,-5,15
2012,COD,-40,24
2013,COD,-25,11
2014,COD,-9,9
2015,COD,-37,43
2016,COD,-10,32
