MonthYear,Actor2CountryCode,RecordCount
201501,AUS,4
201502,AUS,11
201503,AUS,37
201504,AUS,43
201505,AUS,58
201506,AUS,107
201507,AUS,54
201508,AUS,66
201509,AUS,67
201510,AUS,33
201511,AUS,50
201512,AUS,81
201601,AUS,84
201602,AUS,105
201603,AUS,73
201604,AUS,103
201605,AUS,81
201606,AUS,94
201607,AUS,75
201608,AUS,247
201609,AUS,141
201610,AUS,307
201611,AUS,237
201612,AUS,100
201701,AUS,55
201702,AUS,57
201703,AUS,191
201704,AUS,72
201705,AUS,52
201706,AUS,268
201707,AUS,65
201708,AUS,92
201709,AUS,45
201710,AUS,55
201711,AUS,75
201712,AUS,173
201801,AUS,42
201802,AUS,60
201803,AUS,83
201804,AUS,60
201805,AUS,82
201806,AUS,178
201807,AUS,89
201808,AUS,218
201809,AUS,143
201810,AUS,79
201811,AUS,122
201812,AUS,42
201901,AUS,213
201902,AUS,313
201903,AUS,60
201904,AUS,145
201905,AUS,70
201906,AUS,80
201907,AUS,236
201908,AUS,481
201909,AUS,116
201910,AUS,135
201911,AUS,218
201912,AUS,139
202001,AUS,192
202002,AUS,659
202003,AUS,148
202004,AUS,332
202005,AUS,597
202006,AUS,528
202007,AUS,235
202008,AUS,388
202009,AUS,858
202010,AUS,175
202011,AUS,290
202012,AUS,813
202101,AUS,183
202102,AUS,282
202103,AUS,183
202104,AUS,264
202105,AUS,431
202106,AUS,273
202107,AUS,129
202108,AUS,55
202109,AUS,117
202110,AUS,147
202111,AUS,85
202112,AUS,95
201502,BRN,3
201503,BRN,5
201504,BRN,10
201505,BRN,30
201506,BRN,14
201507,BRN,35
201508,BRN,13
201509,BRN,2
201510,BRN,23
201511,BRN,37
201512,BRN,22
201601,BRN,18
201602,BRN,19
201603,BRN,34
201604,BRN,17
201605,BRN,91
201606,BRN,112
201607,BRN,265
201608,BRN,60
201609,BRN,34
201610,BRN,28
201611,BRN,17
201612,BRN,72
201701,BRN,74
201702,BRN,27
201703,BRN,24
201704,BRN,15
201705,BRN,6
201706,BRN,12
201707,BRN,5
201708,BRN,24
201709,BRN,5
201710,BRN,8
201711,BRN,5
201712,BRN,6
201801,BRN,1
201802,BRN,9
201803,BRN,73
201804,BRN,49
201805,BRN,33
201806,BRN,29
201807,BRN,9
201808,BRN,9
201809,BRN,23
201810,BRN,11
201811,BRN,20
201812,BRN,6
201901,BRN,2
201902,BRN,4
201903,BRN,1
201904,BRN,19
201905,BRN,17
201906,BRN,2
201907,BRN,8
201908,BRN,21
201909,BRN,7
201910,BRN,3
201911,BRN,4
201912,BRN,7
202001,BRN,10
202002,BRN,1
202003,BRN,6
202004,BRN,10
202005,BRN,28
202006,BRN,16
202007,BRN,34
202008,BRN,57
202009,BRN,38
202010,BRN,14
202011,BRN,4
202012,BRN,17
202101,BRN,26
202102,BRN,9
202103,BRN,18
202104,BRN,20
202105,BRN,26
202106,BRN,10
202107,BRN,3
202108,BRN,5
202109,BRN,5
202110,BRN,6
202111,BRN,8
202112,BRN,13
201502,CAN,40
201503,CAN,11
201504,CAN,66
201505,CAN,41
201506,CAN,39
201507,CAN,31
201508,CAN,63
201509,CAN,34
201510,CAN,19
201511,CAN,123
201512,CAN,34
201601,CAN,115
201602,CAN,32
201603,CAN,25
201604,CAN,31
201605,CAN,20
201606,CAN,140
201607,CAN,28
201608,CAN,171
201609,CAN,241
201610,CAN,70
201611,CAN,52
201612,CAN,37
201701,CAN,44
201702,CAN,31
201703,CAN,17
201704,CAN,34
201705,CAN,59
201706,CAN,68
201707,CAN,71
201708,CAN,15
201709,CAN,13
201710,CAN,54
201711,CAN,42
201712,CAN,87
201801,CAN,62
201802,CAN,26
201803,CAN,54
201804,CAN,77
201805,CAN,51
201806,CAN,54
201807,CAN,68
201808,CAN,46
201809,CAN,28
201810,CAN,14
201811,CAN,104
201812,CAN,1967
201901,CAN,1768
201902,CAN,306
201903,CAN,949
201904,CAN,267
201905,CAN,639
201906,CAN,515
201907,CAN,526
201908,CAN,222
201909,CAN,333
201910,CAN,282
201911,CAN,306
201912,CAN,232
202001,CAN,275
202002,CAN,334
202003,CAN,116
202004,CAN,62
202005,CAN,265
202006,CAN,466
202007,CAN,227
202008,CAN,253
202009,CAN,56
202010,CAN,183
202011,CAN,145
202012,CAN,184
202101,CAN,101
202102,CAN,168
202103,CAN,319
202104,CAN,117
202105,CAN,35
202106,CAN,69
202107,CAN,88
202108,CAN,394
202109,CAN,340
202110,CAN,100
202111,CAN,15
202112,CAN,96
201502,DEU,1
201503,DEU,5
201504,DEU,21
201505,DEU,8
201506,DEU,11
201507,DEU,15
201508,DEU,19
201509,DEU,16
201510,DEU,7
201511,DEU,14
201512,DEU,9
201601,DEU,8
201602,DEU,11
201603,DEU,14
201604,DEU,40
201605,DEU,37
201606,DEU,14
201607,DEU,36
201608,DEU,27
201609,DEU,7
201610,DEU,22
201611,DEU,75
201612,DEU,36
201701,DEU,26
201702,DEU,7
201703,DEU,28
201704,DEU,4
201705,DEU,21
201706,DEU,11
201707,DEU,59
201708,DEU,234
201709,DEU,15
201710,DEU,3
201711,DEU,9
201712,DEU,7
201801,DEU,11
201802,DEU,13
201803,DEU,14
201804,DEU,2
201805,DEU,24
201806,DEU,18
201807,DEU,40
201808,DEU,28
201809,DEU,18
201810,DEU,8
201811,DEU,14
201812,DEU,35
201901,DEU,24
201902,DEU,20
201903,DEU,19
201904,DEU,9
201905,DEU,20
201906,DEU,7
201907,DEU,11
201908,DEU,22
201909,DEU,32
201910,DEU,11
201911,DEU,29
201912,DEU,32
202001,DEU,46
202002,DEU,85
202003,DEU,19
202004,DEU,15
202005,DEU,28
202006,DEU,16
202007,DEU,36
202008,DEU,11
202009,DEU,33
202010,DEU,38
202011,DEU,13
202012,DEU,9
202101,DEU,1
202102,DEU,6
202103,DEU,26
202104,DEU,17
202105,DEU,4
202106,DEU,5
202107,DEU,33
202108,DEU,10
202109,DEU,41
202110,DEU,21
202111,DEU,11
202112,DEU,6
201502,FRA,2
201503,FRA,21
201504,FRA,39
201505,FRA,17
201506,FRA,10
201507,FRA,16
201508,FRA,27
201509,FRA,32
201510,FRA,12
201511,FRA,70
201512,FRA,122
201601,FRA,75
201602,FRA,20
201603,FRA,33
201604,FRA,16
201605,FRA,12
201606,FRA,12
201607,FRA,23
201608,FRA,86
201609,FRA,80
201610,FRA,28
201611,FRA,43
201612,FRA,17
201701,FRA,29
201702,FRA,13
201703,FRA,333
201704,FRA,90
201705,FRA,17
201706,FRA,29
201707,FRA,23
201708,FRA,21
201709,FRA,26
201710,FRA,11
201711,FRA,45
201712,FRA,7
201801,FRA,22
201802,FRA,20
201803,FRA,13
201804,FRA,27
201805,FRA,43
201806,FRA,75
201807,FRA,33
201808,FRA,8
201809,FRA,11
201810,FRA,41
201811,FRA,30
201812,FRA,14
201901,FRA,19
201902,FRA,11
201903,FRA,70
201904,FRA,48
201905,FRA,41
201906,FRA,18
201907,FRA,19
201908,FRA,9
201909,FRA,10
201910,FRA,18
201911,FRA,13
201912,FRA,13
202001,FRA,122
202002,FRA,95
202003,FRA,20
202004,FRA,38
202005,FRA,28
202006,FRA,9
202007,FRA,38
202008,FRA,18
202009,FRA,6
202010,FRA,20
202011,FRA,7
202012,FRA,9
202101,FRA,4
202102,FRA,11
202103,FRA,21
202104,FRA,3
202105,FRA,2
202106,FRA,6
202107,FRA,20
202108,FRA,11
202109,FRA,6
202110,FRA,16
202111,FRA,17
202112,FRA,5
201501,GBR,1
201502,GBR,31
201503,GBR,55
201504,GBR,33
201505,GBR,56
201506,GBR,82
201507,GBR,271
201508,GBR,54
201509,GBR,37
201510,GBR,252
201511,GBR,57
201512,GBR,76
201601,GBR,164
201602,GBR,192
201603,GBR,58
201604,GBR,208
201605,GBR,70
201606,GBR,60
201607,GBR,64
201608,GBR,79
201609,GBR,156
201610,GBR,71
201611,GBR,112
201612,GBR,34
201701,GBR,45
201702,GBR,62
201703,GBR,48
201704,GBR,30
201705,GBR,65
201706,GBR,100
201707,GBR,69
201708,GBR,132
201709,GBR,60
201710,GBR,91
201711,GBR,83
201712,GBR,64
201801,GBR,53
201802,GBR,57
201803,GBR,55
201804,GBR,42
201805,GBR,46
201806,GBR,104
201807,GBR,75
201808,GBR,44
201809,GBR,42
201810,GBR,94
201811,GBR,79
201812,GBR,82
201901,GBR,45
201902,GBR,73
201903,GBR,33
201904,GBR,103
201905,GBR,93
201906,GBR,201
201907,GBR,313
201908,GBR,405
201909,GBR,129
201910,GBR,381
201911,GBR,399
201912,GBR,97
202001,GBR,410
202002,GBR,470
202003,GBR,75
202004,GBR,113
202005,GBR,186
202006,GBR,260
202007,GBR,1005
202008,GBR,98
202009,GBR,79
202010,GBR,104
202011,GBR,179
202012,GBR,143
202101,GBR,136
202102,GBR,252
202103,GBR,250
202104,GBR,143
202105,GBR,75
202106,GBR,94
202107,GBR,60
202108,GBR,50
202109,GBR,172
202110,GBR,59
202111,GBR,62
202112,GBR,97
201502,GHA,12
201503,GHA,32
201504,GHA,4
201505,GHA,13
201506,GHA,2
201507,GHA,5
201509,GHA,2
201601,GHA,17
201602,GHA,15
201603,GHA,1
201604,GHA,4
201605,GHA,3
201606,GHA,4
201607,GHA,1
201608,GHA,2
201609,GHA,3
201610,GHA,4
201611,GHA,6
201612,GHA,7
201701,GHA,8
201702,GHA,1
201703,GHA,33
201704,GHA,56
201705,GHA,71
201706,GHA,54
201707,GHA,23
201708,GHA,12
201709,GHA,3
201710,GHA,56
201711,GHA,14
201712,GHA,20
201801,GHA,9
201802,GHA,15
201803,GHA,4
201804,GHA,18
201805,GHA,21
201806,GHA,19
201807,GHA,15
201808,GHA,10
201809,GHA,27
201810,GHA,15
201812,GHA,44
201901,GHA,17
201902,GHA,19
201903,GHA,14
201904,GHA,46
201905,GHA,39
201906,GHA,17
201907,GHA,19
201908,GHA,22
201909,GHA,33
201910,GHA,16
201911,GHA,5
201912,GHA,11
202001,GHA,37
202002,GHA,52
202003,GHA,3
202004,GHA,5
202005,GHA,2
202006,GHA,6
202007,GHA,3
202008,GHA,4
202009,GHA,5
202010,GHA,10
202011,GHA,6
202012,GHA,1
202101,GHA,9
202102,GHA,9
202103,GHA,5
202104,GHA,9
202105,GHA,10
202106,GHA,26
202107,GHA,2
202108,GHA,3
202109,GHA,2
202110,GHA,7
202111,GHA,10
202112,GHA,2
201501,IDN,1
201502,IDN,6
201503,IDN,27
201504,IDN,16
201505,IDN,67
201506,IDN,19
201507,IDN,21
201508,IDN,52
201509,IDN,22
201510,IDN,15
201511,IDN,32
201512,IDN,15
201601,IDN,23
201602,IDN,11
201603,IDN,359
201604,IDN,174
201605,IDN,201
201606,IDN,614
201607,IDN,60
201608,IDN,90
201609,IDN,39
201610,IDN,67
201611,IDN,96
201612,IDN,60
201701,IDN,53
201702,IDN,16
201703,IDN,26
201704,IDN,43
201705,IDN,84
201706,IDN,10
201707,IDN,43
201708,IDN,59
201709,IDN,21
201710,IDN,21
201711,IDN,14
201712,IDN,34
201801,IDN,11
201802,IDN,13
201803,IDN,13
201804,IDN,15
201805,IDN,40
201806,IDN,12
201807,IDN,16
201808,IDN,37
201809,IDN,19
201810,IDN,8
201811,IDN,25
201812,IDN,39
201901,IDN,21
201902,IDN,23
201903,IDN,29
201904,IDN,26
201905,IDN,45
201906,IDN,14
201907,IDN,6
201908,IDN,19
201909,IDN,13
201910,IDN,37
201911,IDN,49
201912,IDN,76
202001,IDN,190
202002,IDN,294
202003,IDN,27
202004,IDN,15
202005,IDN,18
202006,IDN,24
202007,IDN,59
202008,IDN,29
202009,IDN,41
202010,IDN,10
202011,IDN,2
202012,IDN,9
202101,IDN,21
202102,IDN,7
202103,IDN,6
202104,IDN,17
202105,IDN,15
202106,IDN,9
202107,IDN,15
202108,IDN,2
202109,IDN,15
202110,IDN,6
202111,IDN,3
202112,IDN,10
201502,IND,31
201503,IND,58
201504,IND,25
201505,IND,61
201506,IND,47
201507,IND,43
201508,IND,30
201509,IND,9
201510,IND,24
201511,IND,17
201512,IND,34
201601,IND,28
201602,IND,16
201603,IND,40
201604,IND,114
201605,IND,59
201606,IND,71
201607,IND,109
201608,IND,195
201609,IND,70
201610,IND,142
201611,IND,33
201612,IND,37
201701,IND,48
201702,IND,28
201703,IND,64
201704,IND,119
201705,IND,54
201706,IND,248
201707,IND,463
201708,IND,259
201709,IND,38
201710,IND,49
201711,IND,36
201712,IND,60
201801,IND,42
201802,IND,61
201803,IND,61
201804,IND,72
201805,IND,13
201806,IND,70
201807,IND,59
201808,IND,26
201809,IND,28
201810,IND,24
201811,IND,21
201812,IND,18
201901,IND,14
201902,IND,37
201903,IND,22
201904,IND,119
201905,IND,20
201906,IND,39
201907,IND,33
201908,IND,43
201909,IND,28
201910,IND,123
201911,IND,31
201912,IND,70
202001,IND,99
202002,IND,152
202003,IND,57
202004,IND,38
202005,IND,202
202006,IND,829
202007,IND,287
202008,IND,169
202009,IND,283
202010,IND,69
202011,IND,57
202012,IND,45
202101,IND,193
202102,IND,45
202103,IND,62
202104,IND,27
202105,IND,25
202106,IND,72
202107,IND,47
202108,IND,31
202109,IND,8
202110,IND,54
202111,IND,28
202112,IND,35
201502,IRN,1
201503,IRN,5
201504,IRN,17
201505,IRN,6
201506,IRN,8
201507,IRN,11
201508,IRN,30
201509,IRN,8
201510,IRN,2
201511,IRN,9
201512,IRN,1
201601,IRN,27
201602,IRN,6
201603,IRN,16
201604,IRN,2
201605,IRN,10
201606,IRN,19
201607,IRN,1
201608,IRN,9
201609,IRN,10
201610,IRN,9
201611,IRN,23
201612,IRN,10
201701,IRN,5
201702,IRN,18
201703,IRN,55
201704,IRN,5
201705,IRN,15
201706,IRN,9
201707,IRN,16
201708,IRN,9
201709,IRN,6
201710,IRN,4
201711,IRN,4
201712,IRN,3
201801,IRN,70
201802,IRN,3
201804,IRN,25
201805,IRN,29
201806,IRN,16
201807,IRN,10
201808,IRN,34
201809,IRN,44
201810,IRN,8
201811,IRN,23
201812,IRN,21
201901,IRN,15
