YEAR,MonthYear,SubEventType,Record Count
2015,201501,合作冲突,5
2015,201502,合作冲突,5
2015,201503,合作冲突,22
2015,201504,合作冲突,11
2015,201505,合作冲突,6
2015,201506,合作冲突,43
2015,201507,合作冲突,19
2015,201508,合作冲突,5
2015,201509,合作冲突,15
2015,201510,合作冲突,13
2015,201511,合作冲突,59
2015,201512,合作冲突,12
2016,201601,合作冲突,52
2016,201602,合作冲突,30
2016,201603,合作冲突,35
2016,201604,合作冲突,84
2016,201605,合作冲突,38
2016,201606,合作冲突,15
2016,201607,合作冲突,32
2016,201608,合作冲突,201
2016,201609,合作冲突,115
2016,201610,合作冲突,26
2016,201611,合作冲突,25
2016,201612,合作冲突,31
2017,201701,合作冲突,69
2017,201702,合作冲突,17
2017,201703,合作冲突,50
2017,201704,合作冲突,52
2017,201705,合作冲突,36
2017,201706,合作冲突,28
2017,201707,合作冲突,23
2017,201708,合作冲突,23
2017,201709,合作冲突,8
2017,201710,合作冲突,31
2017,201711,合作冲突,15
2017,201712,合作冲突,45
2018,201801,合作冲突,11
2018,201802,合作冲突,22
2018,201803,合作冲突,28
2018,201804,合作冲突,20
2018,201805,合作冲突,75
2018,201806,合作冲突,52
2018,201807,合作冲突,27
2018,201808,合作冲突,56
2018,201809,合作冲突,37
2018,201810,合作冲突,7
2018,201811,合作冲突,44
2018,201812,合作冲突,48
2019,201901,合作冲突,44
2019,201902,合作冲突,216
2019,201903,合作冲突,37
2019,201904,合作冲突,20
2019,201905,合作冲突,45
2019,201906,合作冲突,15
2019,201907,合作冲突,9
2019,201908,合作冲突,74
2019,201909,合作冲突,19
2019,201910,合作冲突,31
2019,201911,合作冲突,38
2019,201912,合作冲突,34
2020,202001,合作冲突,286
2020,202002,合作冲突,625
2020,202003,合作冲突,93
2020,202004,合作冲突,339
2020,202005,合作冲突,609
2020,202006,合作冲突,238
2020,202007,合作冲突,172
2020,202008,合作冲突,159
2020,202009,合作冲突,319
2020,202010,合作冲突,106
2020,202011,合作冲突,224
2020,202012,合作冲突,415
2015,201501,经济冲突,12
2015,201502,经济冲突,131
2015,201503,经济冲突,233
2015,201504,经济冲突,266
2015,201505,经济冲突,254
2015,201506,经济冲突,610
2015,201507,经济冲突,513
2015,201508,经济冲突,416
2015,201509,经济冲突,396
2015,201510,经济冲突,328
2015,201511,经济冲突,516
2015,201512,经济冲突,365
2016,201601,经济冲突,288
2016,201602,经济冲突,283
2016,201603,经济冲突,238
2016,201604,经济冲突,357
2016,201605,经济冲突,326
2016,201606,经济冲突,221
2016,201607,经济冲突,213
2016,201608,经济冲突,455
2016,201609,经济冲突,405
2016,201610,经济冲突,324
2016,201611,经济冲突,308
2016,201612,经济冲突,251
2017,201701,经济冲突,328
2017,201702,经济冲突,288
2017,201703,经济冲突,485
2017,201704,经济冲突,283
2017,201705,经济冲突,249
2017,201706,经济冲突,303
2017,201707,经济冲突,208
2017,201708,经济冲突,249
2017,201709,经济冲突,235
2017,201710,经济冲突,284
2017,201711,经济冲突,322
2017,201712,经济冲突,246
2018,201801,经济冲突,221
2018,201802,经济冲突,242
2018,201803,经济冲突,377
2018,201804,经济冲突,281
2018,201805,经济冲突,324
2018,201806,经济冲突,283
2018,201807,经济冲突,233
2018,201808,经济冲突,459
2018,201809,经济冲突,272
