YEAR,MonthYear,SubEventType,Record Count
2015,201501,3,1
2015,201501,4,3
2015,201501,5,3
2015,201502,1,2
2015,201502,2,2
2015,201502,3,21
2015,201502,4,21
2015,201502,5,12
2015,201502,6,35
2015,201503,1,11
2015,201503,2,5
2015,201503,3,7
2015,201503,4,20
2015,201503,5,1
2015,201503,6,132
2015,201504,1,11
2015,201504,2,3
2015,201504,3,38
2015,201504,4,68
2015,201504,5,21
2015,201504,6,87
2015,201505,1,4
2015,201505,2,11
2015,201505,3,34
2015,201505,4,20
2015,201505,5,8
2015,201505,6,120
2015,201506,1,6
2015,201506,2,4
2015,201506,3,23
2015,201506,4,33
2015,201506,5,10
2015,201506,6,133
2015,201507,1,10
2015,201507,2,18
2015,201507,3,25
2015,201507,4,26
2015,201507,5,8
2015,201507,6,150
2015,201508,1,8
2015,201508,2,9
2015,201508,3,23
2015,201508,4,53
2015,201508,5,9
2015,201508,6,103
2015,201509,1,15
2015,201509,2,1
2015,201509,3,22
2015,201509,4,35
2015,201509,5,9
2015,201509,6,101
2015,201510,1,8
2015,201510,2,3
2015,201510,3,19
2015,201510,4,21
2015,201510,5,14
2015,201510,6,110
2015,201511,1,25
2015,201511,2,15
2015,201511,3,18
2015,201511,4,40
2015,201511,5,159
2015,201511,6,396
2015,201512,1,18
2015,201512,2,10
2015,201512,3,20
2015,201512,4,39
2015,201512,5,62
2015,201512,6,177
2016,201601,1,6
2016,201601,3,69
2016,201601,4,181
2016,201601,5,32
2016,201601,6,384
2016,201602,1,22
2016,201602,2,11
2016,201602,3,27
2016,201602,4,82
2016,201602,5,8
2016,201602,6,155
2016,201603,2,3
2016,201603,3,16
2016,201603,4,53
2016,201603,5,8
2016,201603,6,101
2016,201604,1,4
2016,201604,2,6
2016,201604,3,25
2016,201604,4,42
2016,201604,5,8
2016,201604,6,102
2016,201605,1,4
2016,201605,2,6
2016,201605,3,23
2016,201605,4,13
2016,201605,5,22
2016,201605,6,110
2016,201606,1,5
2016,201606,2,17
2016,201606,3,38
2016,201606,4,181
2016,201606,5,35
2016,201606,6,480
2016,201607,2,9
2016,201607,3,7
2016,201607,4,59
2016,201607,5,4
2016,201607,6,124
2016,201608,1,28
2016,201608,2,34
2016,201608,3,52
2016,201608,4,203
2016,201608,5,10
2016,201608,6,361
2016,201609,1,88
2016,201609,2,19
2016,201609,3,76
2016,201609,4,361
2016,201609,5,41
2016,201609,6,798
2016,201610,1,17
2016,201610,2,10
2016,201610,3,36
2016,201610,4,82
2016,201610,5,20
2016,201610,6,199
2016,201611,1,8
2016,201611,2,14
2016,201611,3,52
2016,201611,4,35
2016,201611,5,15
2016,201611,6,200
2016,201612,1,10
2016,201612,2,8
2016,201612,3,29
2016,201612,4,17
2016,201612,5,20
2016,201612,6,111
2017,201701,1,12
2017,201701,2,7
2017,201701,3,57
2017,201701,4,62
2017,201701,5,7
2017,201701,6,201
2017,201702,1,6
2017,201702,2,2
2017,201702,3,13
2017,201702,4,62
2017,201702,5,12
2017,201702,6,107
2017,201703,1,2
2017,201703,2,7
2017,201703,3,26
2017,201703,4,15
2017,201703,5,4
2017,201703,6,128
2017,201704,1,10
2017,201704,2,11
2017,201704,3,41
2017,201704,4,52
2017,201704,5,21
2017,201704,6,124
2017,201705,1,17
2017,201705,2,8
2017,201705,3,15
2017,201705,4,50
2017,201705,5,44
2017,201705,6,99
2017,201706,1,18
2017,201706,2,9
2017,201706,3,43
2017,201706,4,104
2017,201706,5,27
2017,201706,6,141
2017,201707,2,27
2017,201707,3,47
2017,201707,4,64
2017,201707,5,22
2017,201707,6,152
2017,201708,1,1
2017,201708,2,5
2017,201708,3,17
2017,201708,4,38
2017,201708,5,7
2017,201708,6,120
2017,201709,2,2
2017,201709,3,2
2017,201709,4,30
2017,201709,5,14
2017,201709,6,214
2017,201710,1,5
2017,201710,2,4
2017,201710,3,19
2017,201710,4,38
2017,201710,5,7
2017,201710,6,111
2017,201711,1,13
2017,201711,2,5
2017,201711,3,30
2017,201711,4,39
2017,201711,5,21
2017,201711,6,164
2017,201712,1,18
2017,201712,2,14
2017,201712,3,29
2017,201712,4,124
2017,201712,5,20
2017,201712,6,278
2018,201801,1,75
2018,201801,2,13
2018,201801,3,16
2018,201801,4,98
2018,201801,5,8
2018,201801,6,293
2018,201802,1,6
2018,201802,2,9
2018,201802,3,28
2018,201802,4,21
2018,201802,5,8
2018,201802,6,97
2018,201803,1,6
2018,201803,2,13
2018,201803,3,77
2018,201803,4,47
2018,201803,5,29
2018,201803,6,286
2018,201804,1,14
2018,201804,2,2
2018,201804,3,55
2018,201804,4,53
2018,201804,5,18
2018,201804,6,171
2018,201805,1,17
2018,201805,2,1
2018,201805,3,25
2018,201805,4,93
2018,201805,5,4
2018,201805,6,318
2018,201806,1,13
2018,201806,2,6
2018,201806,3,59
2018,201806,4,71
2018,201806,5,27
2018,201806,6,269
2018,201807,1,9
2018,201807,2,6
2018,201807,3,56
2018,201807,4,70
2018,201807,5,14
2018,201807,6,125
2018,201808,1,14
2018,201808,2,3
2018,201808,3,33
2018,201808,4,85
2018,201808,5,7
2018,201808,6,103
2018,201809,1,18
2018,201809,2,7
2018,201809,3,40
2018,201809,4,41
2018,201809,5,8
2018,201809,6,148
2018,201810,1,11
2018,201810,3,19
2018,201810,4,39
2018,201810,5,24
2018,201810,6,237
2018,201811,1,23
2018,201811,2,10
2018,201811,3,29
2018,201811,4,71
2018,201811,5,75
2018,201811,6,231
2018,201812,1,376
2018,201812,2,237
2018,201812,3,400
2018,201812,4,5165
2018,201812,5,877
2018,201812,6,4079
2019,201901,1,447
2019,201901,2,54
2019,201901,3,320
2019,201901,4,3931
2019,201901,5,668
2019,201901,6,4272
2019,201902,1,52
2019,201902,2,8
2019,201902,3,43
2019,201902,4,673
2019,201902,5,78
2019,201902,6,430
2019,201903,1,277
2019,201903,2,55
2019,201903,3,105
2019,201903,4,1326
2019,201903,5,367
2019,201903,6,1809
2019,201904,1,34
2019,201904,2,5
2019,201904,3,55
2019,201904,4,438
2019,201904,5,90
2019,201904,6,369
2019,201905,1,119
2019,201905,2,50
2019,201905,3,85
2019,201905,4,1268
2019,201905,5,207
2019,201905,6,1126
2019,201906,1,158
2019,201906,2,87
2019,201906,3,119
2019,201906,4,925
2019,201906,5,287
2019,201906,6,909
2019,201907,1,51
2019,201907,2,25
2019,201907,3,55
2019,201907,4,872
2019,201907,5,144
2019,201907,6,565
2019,201908,1,83
2019,201908,2,106
2019,201908,3,39
2019,201908,4,543
2019,201908,5,101
2019,201908,6,668
2019,201909,1,90
2019,201909,2,20
2019,201909,3,30
2019,201909,4,374
2019,201909,5,150
2019,201909,6,326
2019,201910,1,159
2019,201910,2,15
2019,201910,3,42
2019,201910,4,289
2019,201910,5,39
2019,201910,6,221
2019,201911,1,69
2019,201911,2,48
2019,201911,3,17
2019,201911,4,313
2019,201911,5,202
2019,201911,6,405
2019,201912,1,64
2019,201912,2,34
2019,201912,3,63
2019,201912,4,579
2019,201912,5,65
2019,201912,6,566
2020,202001,1,315
2020,202001,2,25
2020,202001,3,109
2020,202001,4,360
2020,202001,5,135
2020,202001,6,725
2020,202002,1,411
2020,202002,2,14
2020,202002,3,43
2020,202002,4,313
2020,202002,5,77
2020,202002,6,478
2020,202003,1,100
2020,202003,2,43
2020,202003,3,39
2020,202003,4,85
2020,202003,5,55
2020,202003,6,268
2020,202004,1,31
2020,202004,2,3
2020,202004,3,26
2020,202004,4,139
2020,202004,5,31
2020,202004,6,289
2020,202005,1,95
2020,202005,2,28
2020,202005,3,149
2020,202005,4,439
2020,202005,5,91
2020,202005,6,970
2020,202006,1,88
2020,202006,2,37
2020,202006,3,100
2020,202006,4,941
2020,202006,5,140
2020,202006,6,1417
2020,202007,1,132
2020,202007,2,78
2020,202007,3,46
2020,202007,4,442
2020,202007,5,46
2020,202007,6,670
2020,202008,1,50
2020,202008,2,19
2020,202008,3,22
2020,202008,4,597
2020,202008,5,99
2020,202008,6,478
2020,202009,1,46
2020,202009,2,11
2020,202009,3,25
2020,202009,4,166
2020,202009,5,35
2020,202009,6,216
2020,202010,1,75
2020,202010,2,19
2020,202010,3,32
2020,202010,4,361
2020,202010,5,15
2020,202010,6,546
2020,202011,1,27
2020,202011,2,14
2020,202011,3,34
2020,202011,4,301
2020,202011,5,53
2020,202011,6,394
2020,202012,1,55
2020,202012,2,3
2020,202012,3,29
2020,202012,4,486
2020,202012,5,76
2020,202012,6,441
