YEAR,MonthYear,SubEventType,Record Count
2015,201501,3,3
2015,201501,4,1
2015,201501,6,9
2015,201502,1,3
2015,201502,2,8
2015,201502,3,23
2015,201502,4,12
2015,201502,5,4
2015,201502,6,170
2015,201503,1,53
2015,201503,2,23
2015,201503,3,40
2015,201503,4,76
2015,201503,5,60
2015,201503,6,441
2015,201504,1,29
2015,201504,2,11
2015,201504,3,48
2015,201504,4,35
2015,201504,5,12
2015,201504,6,219
2015,201505,1,26
2015,201505,2,18
2015,201505,3,64
2015,201505,4,39
2015,201505,5,18
2015,201505,6,186
2015,201506,1,96
2015,201506,2,12
2015,201506,3,44
2015,201506,4,89
2015,201506,5,29
2015,201506,6,428
2015,201507,1,203
2015,201507,2,29
2015,201507,3,68
2015,201507,4,333
2015,201507,5,34
2015,201507,6,471
2015,201508,1,16
2015,201508,2,19
2015,201508,3,60
2015,201508,4,55
2015,201508,5,4
2015,201508,6,342
2015,201509,1,30
2015,201509,2,21
2015,201509,3,74
2015,201509,4,35
2015,201509,5,26
2015,201509,6,349
2015,201510,1,58
2015,201510,2,87
2015,201510,3,119
2015,201510,4,215
2015,201510,5,23
2015,201510,6,903
2015,201511,1,12
2015,201511,2,22
2015,201511,3,58
2015,201511,4,65
2015,201511,5,19
2015,201511,6,259
2015,201512,1,13
2015,201512,2,9
2015,201512,3,84
2015,201512,4,65
2015,201512,5,9
2015,201512,6,284
2016,201601,1,20
2016,201601,2,19
2016,201601,3,76
2016,201601,4,212
2016,201601,5,79
2016,201601,6,389
2016,201602,1,11
2016,201602,2,13
2016,201602,3,86
2016,201602,4,274
2016,201602,5,21
2016,201602,6,407
2016,201603,1,8
2016,201603,2,6
2016,201603,3,85
2016,201603,4,87
2016,201603,5,31
2016,201603,6,345
2016,201604,1,21
2016,201604,2,34
2016,201604,3,239
2016,201604,4,139
2016,201604,5,24
2016,201604,6,594
2016,201605,1,37
2016,201605,2,36
2016,201605,3,59
2016,201605,4,103
2016,201605,5,37
2016,201605,6,424
2016,201606,1,19
2016,201606,2,14
2016,201606,3,85
2016,201606,4,95
2016,201606,5,34
2016,201606,6,413
2016,201607,1,14
2016,201607,2,29
2016,201607,3,89
2016,201607,4,61
2016,201607,5,44
2016,201607,6,357
2016,201608,1,38
2016,201608,2,51
2016,201608,3,65
2016,201608,4,99
2016,201608,5,37
2016,201608,6,595
2016,201609,1,71
2016,201609,2,33
2016,201609,3,98
2016,201609,4,156
2016,201609,5,25
2016,201609,6,745
2016,201610,1,29
2016,201610,2,25
2016,201610,3,88
2016,201610,4,45
2016,201610,5,31
2016,201610,6,322
2016,201611,1,7
2016,201611,2,50
2016,201611,3,90
2016,201611,4,146
2016,201611,5,21
2016,201611,6,312
2016,201612,1,21
2016,201612,2,13
2016,201612,3,53
2016,201612,4,50
2016,201612,5,9
2016,201612,6,294
2017,201701,1,19
2017,201701,2,26
2017,201701,3,107
2017,201701,4,48
2017,201701,5,23
2017,201701,6,295
2017,201702,1,12
2017,201702,2,32
2017,201702,3,68
2017,201702,4,46
2017,201702,5,44
2017,201702,6,299
2017,201703,1,6
2017,201703,2,10
2017,201703,3,108
2017,201703,4,49
2017,201703,5,20
2017,201703,6,326
2017,201704,1,9
2017,201704,2,13
2017,201704,3,40
2017,201704,4,56
2017,201704,5,31
2017,201704,6,319
2017,201705,1,27
2017,201705,2,10
2017,201705,3,68
2017,201705,4,68
2017,201705,5,16
2017,201705,6,184
2017,201706,1,20
2017,201706,2,19
2017,201706,3,78
2017,201706,4,82
2017,201706,5,29
2017,201706,6,254
2017,201707,1,29
2017,201707,2,51
2017,201707,3,83
2017,201707,4,59
2017,201707,5,18
2017,201707,6,526
2017,201708,1,22
2017,201708,2,93
2017,201708,3,82
2017,201708,4,72
2017,201708,5,61
2017,201708,6,287
2017,201709,1,6
2017,201709,2,28
2017,201709,3,70
2017,201709,4,60
2017,201709,5,83
2017,201709,6,445
2017,201710,1,39
2017,201710,2,21
2017,201710,3,50
2017,201710,4,73
2017,201710,5,74
2017,201710,6,363
2017,201711,1,21
2017,201711,2,26
2017,201711,3,64
2017,201711,4,53
2017,201711,5,74
2017,201711,6,244
2017,201712,1,31
2017,201712,2,3
2017,201712,3,54
2017,201712,4,24
2017,201712,5,43
2017,201712,6,248
2018,201801,1,24
2018,201801,2,34
2018,201801,3,56
2018,201801,4,60
2018,201801,5,41
2018,201801,6,292
2018,201802,1,33
2018,201802,2,10
2018,201802,3,43
2018,201802,4,32
2018,201802,5,40
2018,201802,6,407
2018,201803,1,12
2018,201803,2,15
2018,201803,3,38
2018,201803,4,32
2018,201803,5,36
2018,201803,6,240
2018,201804,1,16
2018,201804,2,18
2018,201804,3,40
2018,201804,4,38
2018,201804,5,45
2018,201804,6,319
2018,201805,1,14
2018,201805,2,52
2018,201805,3,55
2018,201805,4,23
2018,201805,5,18
2018,201805,6,322
2018,201806,1,59
2018,201806,2,28
2018,201806,3,36
2018,201806,4,77
2018,201806,5,59
2018,201806,6,196
2018,201807,1,24
2018,201807,2,18
2018,201807,3,66
2018,201807,4,44
2018,201807,5,28
2018,201807,6,254
2018,201808,1,6
2018,201808,2,11
2018,201808,3,61
2018,201808,4,26
2018,201808,5,18
2018,201808,6,211
2018,201809,1,24
2018,201809,2,13
2018,201809,3,86
2018,201809,4,45
2018,201809,5,30
2018,201809,6,369
2018,201810,1,20
2018,201810,2,13
2018,201810,3,87
2018,201810,4,75
2018,201810,5,37
2018,201810,6,328
2018,201811,1,20
2018,201811,2,14
2018,201811,3,86
2018,201811,4,68
2018,201811,5,39
2018,201811,6,211
2018,201812,1,32
2018,201812,2,11
2018,201812,3,106
2018,201812,4,169
2018,201812,5,48
2018,201812,6,632
2019,201901,1,17
2019,201901,2,32
2019,201901,3,42
2019,201901,4,94
2019,201901,5,34
2019,201901,6,427
2019,201902,1,104
2019,201902,2,12
2019,201902,3,56
2019,201902,4,44
2019,201902,5,44
2019,201902,6,447
2019,201903,1,38
2019,201903,2,26
2019,201903,3,94
2019,201903,4,39
2019,201903,5,74
2019,201903,6,398
2019,201904,1,38
2019,201904,2,6
2019,201904,3,102
2019,201904,4,97
2019,201904,5,57
2019,201904,6,447
2019,201905,1,81
2019,201905,2,37
2019,201905,3,83
2019,201905,4,92
2019,201905,5,80
2019,201905,6,645
2019,201906,1,55
2019,201906,2,196
2019,201906,3,106
2019,201906,4,108
2019,201906,5,52
2019,201906,6,576
2019,201907,1,64
2019,201907,2,198
2019,201907,3,96
2019,201907,4,289
2019,201907,5,51
2019,201907,6,1103
2019,201908,1,56
2019,201908,2,174
2019,201908,3,88
2019,201908,4,499
2019,201908,5,51
2019,201908,6,1025
2019,201909,1,19
2019,201909,2,77
2019,201909,3,107
2019,201909,4,71
2019,201909,5,17
2019,201909,6,585
2019,201910,1,126
2019,201910,2,90
2019,201910,3,135
2019,201910,4,615
2019,201910,5,39
2019,201910,6,521
2019,201911,1,14
2019,201911,2,106
2019,201911,3,167
2019,201911,4,441
2019,201911,5,36
2019,201911,6,1073
2019,201912,1,16
2019,201912,2,55
2019,201912,3,64
2019,201912,4,172
2019,201912,5,12
2019,201912,6,401
2020,202001,1,758
2020,202001,2,21
2020,202001,3,119
2020,202001,4,139
2020,202001,5,124
2020,202001,6,1108
2020,202002,1,836
2020,202002,2,22
2020,202002,3,145
2020,202002,4,148
2020,202002,5,91
2020,202002,6,697
2020,202003,1,104
2020,202003,2,19
2020,202003,3,68
2020,202003,4,30
2020,202003,5,66
2020,202003,6,456
2020,202004,1,48
2020,202004,2,22
2020,202004,3,123
2020,202004,4,103
2020,202004,5,51
2020,202004,6,867
2020,202005,1,138
2020,202005,2,59
2020,202005,3,138
2020,202005,4,169
2020,202005,5,53
2020,202005,6,1057
2020,202006,1,104
2020,202006,2,58
2020,202006,3,157
2020,202006,4,211
2020,202006,5,86
2020,202006,6,1383
2020,202007,1,537
2020,202007,2,204
2020,202007,3,429
2020,202007,4,328
2020,202007,5,689
2020,202007,6,3065
2020,202008,1,71
2020,202008,2,39
2020,202008,3,58
2020,202008,4,91
2020,202008,5,62
2020,202008,6,512
2020,202009,1,44
2020,202009,2,43
2020,202009,3,101
2020,202009,4,80
2020,202009,5,58
2020,202009,6,614
2020,202010,1,44
2020,202010,2,27
2020,202010,3,50
2020,202010,4,60
2020,202010,5,59
2020,202010,6,254
2020,202011,1,55
2020,202011,2,22
2020,202011,3,54
2020,202011,4,148
2020,202011,5,128
2020,202011,6,400
2020,202012,1,129
2020,202012,2,17
2020,202012,3,47
2020,202012,4,138
2020,202012,5,94
2020,202012,6,391
