YEAR,MonthYear,SubEventType,Record Count
2015,201501,经济冲突,1
2015,201502,经济冲突,5
2015,201503,经济冲突,29
2015,201504,经济冲突,31
2015,201505,经济冲突,73
2015,201506,经济冲突,55
2015,201507,经济冲突,37
2015,201508,经济冲突,54
2015,201509,经济冲突,35
2015,201510,经济冲突,34
2015,201511,经济冲突,52
2015,201512,经济冲突,36
2016,201601,经济冲突,72
2016,201602,经济冲突,27
2016,201603,经济冲突,40
2016,201604,经济冲突,77
2016,201605,经济冲突,50
2016,201606,经济冲突,35
2016,201607,经济冲突,39
2016,201608,经济冲突,198
2016,201609,经济冲突,66
2016,201610,经济冲突,88
2016,201611,经济冲突,54
2016,201612,经济冲突,36
2017,201701,经济冲突,30
2017,201702,经济冲突,44
2017,201703,经济冲突,21
2017,201704,经济冲突,40
2017,201705,经济冲突,74
2017,201706,经济冲突,59
2017,201707,经济冲突,54
2017,201708,经济冲突,45
2017,201709,经济冲突,29
2017,201710,经济冲突,50
2017,201711,经济冲突,30
2017,201712,经济冲突,12
2018,201801,经济冲突,30
2018,201802,经济冲突,53
2018,201803,经济冲突,34
2018,201804,经济冲突,19
2018,201805,经济冲突,16
2018,201806,经济冲突,41
2018,201807,经济冲突,52
2018,201808,经济冲突,46
2018,201809,经济冲突,41
2018,201810,经济冲突,30
2018,201811,经济冲突,90
2018,201812,经济冲突,14
2019,201901,经济冲突,50
2019,201902,经济冲突,24
2019,201903,经济冲突,28
2019,201904,经济冲突,113
2019,201905,经济冲突,27
2019,201906,经济冲突,48
2019,201907,经济冲突,24
2019,201908,经济冲突,39
2019,201909,经济冲突,32
2019,201910,经济冲突,33
2019,201911,经济冲突,14
2019,201912,经济冲突,31
2020,202001,经济冲突,22
2020,202002,经济冲突,47
2020,202003,经济冲突,33
2020,202004,经济冲突,101
2020,202005,经济冲突,34
2020,202006,经济冲突,254
2020,202007,经济冲突,234
2020,202008,经济冲突,85
2020,202009,经济冲突,122
2020,202010,经济冲突,38
2020,202011,经济冲突,55
2020,202012,经济冲突,30
2015,201501,6,13
2015,201502,6,410
2015,201503,6,742
2015,201504,6,577
2015,201505,6,2232
2015,201506,6,898
2015,201507,6,852
2015,201508,6,527
2015,201509,6,628
2015,201510,6,626
2015,201511,6,776
2015,201512,6,604
2016,201601,6,654
2016,201602,6,511
2016,201603,6,423
2016,201604,6,1005
2016,201605,6,1577
2016,201606,6,1673
2016,201607,6,1019
2016,201608,6,1279
2016,201609,6,917
2016,201610,6,1445
2016,201611,6,790
2016,201612,6,1035
2017,201701,6,880
2017,201702,6,862
2017,201703,6,1527
2017,201704,6,2873
2017,201705,6,1023
2017,201706,6,1760
2017,201707,6,4087
2017,201708,6,2237
2017,201709,6,1287
2017,201710,6,1157
2017,201711,6,1097
2017,201712,6,1283
2018,201801,6,772
2018,201802,6,615
2018,201803,6,972
2018,201804,6,1557
2018,201805,6,628
2018,201806,6,817
2018,201807,6,553
2018,201808,6,740
2018,201809,6,713
2018,201810,6,551
2018,201811,6,451
2018,201812,6,439
2019,201901,6,450
2019,201902,6,512
2019,201903,6,534
2019,201904,6,613
2019,201905,6,702
2019,201906,6,539
2019,201907,6,282
2019,201908,6,792
2019,201909,6,639
2019,201910,6,3202
2019,201911,6,529
2019,201912,6,526
2020,202001,6,1225
2020,202002,6,1609
2020,202003,6,581
2020,202004,6,583
2020,202005,6,966
2020,202006,6,3335
2020,202007,6,1529
2020,202008,6,852
2020,202009,6,1574
2020,202010,6,796
2020,202011,6,381
2020,202012,6,417
2015,201502,合作沟通冲突,3
2015,201503,合作沟通冲突,2
2015,201504,合作沟通冲突,1
2015,201505,合作沟通冲突,6
2015,201506,合作沟通冲突,16
2015,201507,合作沟通冲突,2
2015,201508,合作沟通冲突,3
2015,201509,合作沟通冲突,7
2015,201510,合作沟通冲突,8
2015,201511,合作沟通冲突,2
2015,201512,合作沟通冲突,4
2016,201601,合作沟通冲突,2
2016,201602,合作沟通冲突,1
2016,201603,合作沟通冲突,9
2016,201604,合作沟通冲突,73
2016,201605,合作沟通冲突,17
2016,201606,合作沟通冲突,32
2016,201607,合作沟通冲突,35
2016,201608,合作沟通冲突,20
2016,201609,合作沟通冲突,12
2016,201610,合作沟通冲突,116
2016,201611,合作沟通冲突,25
2016,201612,合作沟通冲突,18
2017,201701,合作沟通冲突,21
2017,201702,合作沟通冲突,6
2017,201703,合作沟通冲突,13
2017,201704,合作沟通冲突,36
2017,201705,合作沟通冲突,48
2017,201706,合作沟通冲突,20
2017,201707,合作沟通冲突,117
2017,201708,合作沟通冲突,56
2017,201709,合作沟通冲突,30
2017,201710,合作沟通冲突,8
2017,201711,合作沟通冲突,6
2017,201712,合作沟通冲突,9
2018,201801,合作沟通冲突,6
2018,201802,合作沟通冲突,4
2018,201803,合作沟通冲突,11
2018,201804,合作沟通冲突,12
2018,201806,合作沟通冲突,39
2018,201807,合作沟通冲突,2
2018,201808,合作沟通冲突,7
2018,201809,合作沟通冲突,23
2018,201810,合作沟通冲突,4
2018,201812,合作沟通冲突,8
2019,201902,合作沟通冲突,4
2019,201903,合作沟通冲突,5
2019,201904,合作沟通冲突,11
2019,201905,合作沟通冲突,5
2019,201906,合作沟通冲突,16
2019,201908,合作沟通冲突,10
2019,201909,合作沟通冲突,9
2019,201910,合作沟通冲突,54
2019,201911,合作沟通冲突,2
2019,201912,合作沟通冲突,3
2020,202001,合作沟通冲突,85
2020,202002,合作沟通冲突,185
2020,202003,合作沟通冲突,42
2020,202004,合作沟通冲突,17
2020,202005,合作沟通冲突,17
2020,202006,合作沟通冲突,158
2020,202007,合作沟通冲突,32
2020,202008,合作沟通冲突,38
2020,202009,合作沟通冲突,20
2020,202010,合作沟通冲突,11
2020,202011,合作沟通冲突,10
2020,202012,合作沟通冲突,9
2015,201502,政局变更冲突,16
2015,201503,政局变更冲突,26
2015,201504,政局变更冲突,19
2015,201505,政局变更冲突,22
2015,201506,政局变更冲突,6
2015,201507,政局变更冲突,10
2015,201508,政局变更冲突,10
2015,201509,政局变更冲突,5
2015,201510,政局变更冲突,11
2015,201511,政局变更冲突,7
2015,201512,政局变更冲突,3
2016,201601,政局变更冲突,6
2016,201602,政局变更冲突,9
2016,201603,政局变更冲突,35
2016,201604,政局变更冲突,16
2016,201605,政局变更冲突,10
2016,201606,政局变更冲突,17
2016,201607,政局变更冲突,10
2016,201608,政局变更冲突,9
2016,201609,政局变更冲突,5
2016,201610,政局变更冲突,42
2016,201611,政局变更冲突,13
2016,201612,政局变更冲突,7
2017,201701,政局变更冲突,34
2017,201702,政局变更冲突,16
2017,201703,政局变更冲突,43
2017,201704,政局变更冲突,85
2017,201705,政局变更冲突,17
2017,201706,政局变更冲突,58
2017,201707,政局变更冲突,64
2017,201708,政局变更冲突,10
2017,201709,政局变更冲突,3
2017,201710,政局变更冲突,20
2017,201711,政局变更冲突,20
2017,201712,政局变更冲突,12
2018,201801,政局变更冲突,10
2018,201802,政局变更冲突,32
2018,201803,政局变更冲突,21
2018,201804,政局变更冲突,35
2018,201805,政局变更冲突,3
2018,201806,政局变更冲突,3
2018,201807,政局变更冲突,2
2018,201808,政局变更冲突,4
2018,201809,政局变更冲突,4
2018,201810,政局变更冲突,7
