YEAR,MonthYear,SubEventType,Record Count
2015,201501,合作沟通冲突,2
2015,201502,合作沟通冲突,39
2015,201503,合作沟通冲突,107
2015,201504,合作沟通冲突,136
2015,201505,合作沟通冲突,243
2015,201506,合作沟通冲突,205
2015,201507,合作沟通冲突,239
2015,201508,合作沟通冲突,426
2015,201509,合作沟通冲突,619
2015,201510,合作沟通冲突,136
2015,201511,合作沟通冲突,181
2015,201512,合作沟通冲突,220
2016,201601,合作沟通冲突,153
2016,201602,合作沟通冲突,302
2016,201603,合作沟通冲突,168
2016,201604,合作沟通冲突,259
2016,201605,合作沟通冲突,178
2016,201606,合作沟通冲突,330
2016,201607,合作沟通冲突,146
2016,201608,合作沟通冲突,162
2016,201609,合作沟通冲突,318
2016,201610,合作沟通冲突,196
2016,201611,合作沟通冲突,232
2016,201612,合作沟通冲突,326
2017,201701,合作沟通冲突,265
2017,201702,合作沟通冲突,194
2017,201703,合作沟通冲突,402
2017,201704,合作沟通冲突,357
2017,201705,合作沟通冲突,203
2017,201706,合作沟通冲突,503
2017,201707,合作沟通冲突,727
2017,201708,合作沟通冲突,635
2017,201709,合作沟通冲突,372
2017,201710,合作沟通冲突,153
2017,201711,合作沟通冲突,242
2017,201712,合作沟通冲突,164
2018,201801,合作沟通冲突,267
2018,201802,合作沟通冲突,147
2018,201803,合作沟通冲突,372
2018,201804,合作沟通冲突,240
2018,201805,合作沟通冲突,546
2018,201806,合作沟通冲突,537
2018,201807,合作沟通冲突,442
2018,201808,合作沟通冲突,532
2018,201809,合作沟通冲突,1112
2018,201810,合作沟通冲突,757
2018,201811,合作沟通冲突,351
2018,201812,合作沟通冲突,496
2019,201901,合作沟通冲突,511
2019,201902,合作沟通冲突,552
2019,201903,合作沟通冲突,639
2019,201904,合作沟通冲突,359
2019,201905,合作沟通冲突,1572
2019,201906,合作沟通冲突,968
2019,201907,合作沟通冲突,746
2019,201908,合作沟通冲突,894
2019,201909,合作沟通冲突,704
2019,201910,合作沟通冲突,785
2019,201911,合作沟通冲突,392
2019,201912,合作沟通冲突,609
2020,202001,合作沟通冲突,1949
2020,202002,合作沟通冲突,3061
2020,202003,合作沟通冲突,973
2020,202004,合作沟通冲突,379
2020,202005,合作沟通冲突,886
2020,202006,合作沟通冲突,822
2020,202007,合作沟通冲突,2616
2020,202008,合作沟通冲突,1393
2020,202009,合作沟通冲突,960
2020,202010,合作沟通冲突,378
2020,202011,合作沟通冲突,348
2020,202012,合作沟通冲突,762
2015,201501,政局变更冲突,1
2015,201502,政局变更冲突,19
2015,201503,政局变更冲突,93
2015,201504,政局变更冲突,139
2015,201505,政局变更冲突,213
2015,201506,政局变更冲突,94
2015,201507,政局变更冲突,146
2015,201508,政局变更冲突,94
2015,201509,政局变更冲突,205
2015,201510,政局变更冲突,193
2015,201511,政局变更冲突,175
2015,201512,政局变更冲突,135
2016,201601,政局变更冲突,116
2016,201602,政局变更冲突,218
2016,201603,政局变更冲突,231
2016,201604,政局变更冲突,149
2016,201605,政局变更冲突,153
2016,201606,政局变更冲突,187
2016,201607,政局变更冲突,222
2016,201608,政局变更冲突,99
2016,201609,政局变更冲突,146
2016,201610,政局变更冲突,142
2016,201611,政局变更冲突,214
2016,201612,政局变更冲突,349
2017,201701,政局变更冲突,373
2017,201702,政局变更冲突,119
2017,201703,政局变更冲突,127
2017,201704,政局变更冲突,122
2017,201705,政局变更冲突,114
2017,201706,政局变更冲突,96
2017,201707,政局变更冲突,139
2017,201708,政局变更冲突,185
2017,201709,政局变更冲突,122
2017,201710,政局变更冲突,74
2017,201711,政局变更冲突,95
2017,201712,政局变更冲突,109
2018,201801,政局变更冲突,77
2018,201802,政局变更冲突,100
2018,201803,政局变更冲突,268
2018,201804,政局变更冲突,113
2018,201805,政局变更冲突,199
2018,201806,政局变更冲突,134
2018,201807,政局变更冲突,160
2018,201808,政局变更冲突,511
2018,201809,政局变更冲突,298
2018,201810,政局变更冲突,246
2018,201811,政局变更冲突,222
2018,201812,政局变更冲突,317
2019,201901,政局变更冲突,189
2019,201902,政局变更冲突,187
2019,201903,政局变更冲突,201
2019,201904,政局变更冲突,154
2019,201905,政局变更冲突,205
2019,201906,政局变更冲突,276
2019,201907,政局变更冲突,172
2019,201908,政局变更冲突,317
2019,201909,政局变更冲突,167
2019,201910,政局变更冲突,276
2019,201911,政局变更冲突,230
2019,201912,政局变更冲突,160
2020,202001,政局变更冲突,125
2020,202002,政局变更冲突,145
2020,202003,政局变更冲突,225
2020,202004,政局变更冲突,214
2020,202005,政局变更冲突,335
2020,202006,政局变更冲突,371
2020,202007,政局变更冲突,1250
2020,202008,政局变更冲突,520
2020,202009,政局变更冲突,344
2020,202010,政局变更冲突,131
2020,202011,政局变更冲突,74
2020,202012,政局变更冲突,223
2015,201501,战争武装冲突,14
2015,201502,战争武装冲突,215
2015,201503,战争武装冲突,479
2015,201504,战争武装冲突,521
2015,201505,战争武装冲突,495
2015,201506,战争武装冲突,720
2015,201507,战争武装冲突,563
2015,201508,战争武装冲突,848
2015,201509,战争武装冲突,971
2015,201510,战争武装冲突,856
2015,201511,战争武装冲突,643
2015,201512,战争武装冲突,546
2016,201601,战争武装冲突,664
2016,201602,战争武装冲突,757
2016,201603,战争武装冲突,836
2016,201604,战争武装冲突,769
2016,201605,战争武装冲突,827
2016,201606,战争武装冲突,988
2016,201607,战争武装冲突,886
2016,201608,战争武装冲突,725
2016,201609,战争武装冲突,748
2016,201610,战争武装冲突,695
2016,201611,战争武装冲突,717
2016,201612,战争武装冲突,999
2017,201701,战争武装冲突,1071
2017,201702,战争武装冲突,768
2017,201703,战争武装冲突,785
2017,201704,战争武装冲突,1170
2017,201705,战争武装冲突,731
2017,201706,战争武装冲突,559
2017,201707,战争武装冲突,725
2017,201708,战争武装冲突,958
2017,201709,战争武装冲突,605
2017,201710,战争武装冲突,577
2017,201711,战争武装冲突,680
2017,201712,战争武装冲突,490
2018,201801,战争武装冲突,555
2018,201802,战争武装冲突,526
2018,201803,战争武装冲突,1178
2018,201804,战争武装冲突,1478
2018,201805,战争武装冲突,877
2018,201806,战争武装冲突,1313
2018,201807,战争武装冲突,1494
2018,201808,战争武装冲突,1229
2018,201809,战争武装冲突,1310
2018,201810,战争武装冲突,1018
2018,201811,战争武装冲突,946
2018,201812,战争武装冲突,1167
2019,201901,战争武装冲突,946
2019,201902,战争武装冲突,814
2019,201903,战争武装冲突,944
2019,201904,战争武装冲突,718
2019,201905,战争武装冲突,1918
2019,201906,战争武装冲突,1468
2019,201907,战争武装冲突,768
2019,201908,战争武装冲突,1375
2019,201909,战争武装冲突,954
2019,201910,战争武装冲突,631
2019,201911,战争武装冲突,647
2019,201912,战争武装冲突,840
2020,202001,战争武装冲突,739
2020,202002,战争武装冲突,1061
2020,202003,战争武装冲突,1003
2020,202004,战争武装冲突,1255
2020,202005,战争武装冲突,1778
2020,202006,战争武装冲突,1253
2020,202007,战争武装冲突,2039
2020,202008,战争武装冲突,1381
2020,202009,战争武装冲突,1320
2020,202010,战争武装冲突,692
2020,202011,战争武装冲突,402
2020,202012,战争武装冲突,640
2015,201501,治安冲突,7
2015,201502,治安冲突,127
2015,201503,治安冲突,396
2015,201504,治安冲突,437
2015,201505,治安冲突,870
2015,201506,治安冲突,659
2015,201507,治安冲突,618
2015,201508,治安冲突,618
2015,201509,治安冲突,1049
