YEAR,Actor2CountryCode,GoldsteinScale,Record Count
2003,AFG,-212.3,40
2003,AGO,0,0
2003,ARE,0,0
2003,ARG,-18.8,6
2003,ARM,-4,2
2003,ATG,-5,1
2003,AUS,-676.8,160
2003,AUT,-62.6,11
2003,AZE,-37.6,9
2003,BEL,-170.9,48
2003,BGD,-39.6,16
2003,BGR,-23,5
2003,BHR,-34.4,6
2003,BIH,0,0
2003,BLR,-85,17
2003,BMU,-4,2
2003,BOL,0,0
2003,BRA,-127.19999999999999,31
2003,BRN,-109.80000000000001,18
2003,BWA,0,0
2003,CAN,-479.1999999999998,101
2003,CHE,-374.20000000000005,84
2003,CHL,-13,4
2003,CMR,0,0
2003,COD,-14.2,3
2003,COG,0,0
2003,COL,-2,1
2003,CRI,0,0
2003,CUB,-15,6
2003,CYM,0,0
2003,CYP,-20,2
2003,CZE,-151.3,34
2003,DEU,-613.2999999999998,154
2003,DJI,-10,1
2003,DNK,-116.90000000000003,30
2003,DOM,0,0
2003,DZA,-10,1
2003,ECU,0,0
2003,EGY,-164,37
2003,ESP,-95,22
2003,EST,0,0
2003,ETH,-25,5
2003,FIN,-13,4
2003,FJI,-93,14
2003,FRA,-1345.2999999999997,334
2003,FSM,-28.8,8
2003,GAB,0,0
2003,GBR,-1502.5000000000007,339
2003,GEO,0,0
2003,GHA,-70,9
2003,GIN,0,0
2003,GNB,0,0
2003,GRC,-97.60000000000004,18
2003,GUY,-9.5,1
2003,HKG,-9,3
2003,HND,0,0
2003,HRV,-132.5,23
2003,HTI,0,0
2003,HUN,-55.89999999999999,17
2003,IDN,-448.69999999999993,88
2003,IND,-813.0999999999995,167
2003,IRL,-5,1
2003,IRN,-176.60000000000002,40
2003,IRQ,-2367.7000000000044,652
2003,ISL,-5,1
2003,ISR,-429.29999999999984,132
2003,ITA,-129,23
2003,JAM,-39,7
2003,JOR,-11.9,3
2003,JPN,-7397.199999999988,1725
2003,KAZ,-428.99999999999994,69
2003,KEN,-41.199999999999996,10
2003,KGZ,-606.9999999999999,112
2003,KHM,-146.00000000000003,32
2003,KOR,-1997.0000000000014,485
2003,KWT,-128.40000000000003,22
2003,LAO,-111,20
2003,LBN,-30.599999999999994,12
