YEAR,Actor2CountryCode,QuadClass,GoldsteinScale,Record Count
2003,AFG,1,-0.8,2
2003,AFG,4,-167.5,23
2003,AFG,3,-36,11
2003,AFG,2,-10,5
2003,AGO,1,0,0
2003,AGO,2,0,0
2003,AGO,3,0,0
2003,AGO,4,0,0
2003,ARE,1,0,0
2003,ARE,2,0,0
2003,ARE,3,0,0
2003,ARE,4,0,0
2003,ARG,4,-10,2
2003,ARG,1,-0.8,2
2003,ARG,3,-8,2
2003,ARG,2,0,0
2003,ARM,3,-4,2
2003,ARM,1,0,0
2003,ARM,2,0,0
2003,ARM,4,0,0
2003,ATG,4,-5,1
2003,ATG,1,0,0
2003,ATG,2,0,0
2003,ATG,3,0,0
2003,AUS,1,-6.800000000000001,18
2003,AUS,3,-149.39999999999998,37
2003,AUS,2,-34,17
2003,AUS,4,-506.59999999999997,90
2003,AUT,4,-43.2,7
2003,AUT,3,-19.4,4
2003,AUT,1,0,0
2003,AUT,2,0,0
2003,AZE,1,-2,1
2003,AZE,4,-29.599999999999998,5
2003,AZE,3,-6,3
2003,AZE,2,0,0
2003,BEL,1,-1.6,4
2003,BEL,3,-59.3,24
2003,BEL,4,-110,20
2003,BEL,2,0,0
2003,BGD,4,-10,2
2003,BGD,3,-28.8,12
2003,BGD,1,-0.8,2
2003,BGD,2,0,0
2003,BGR,4,-8,2
2003,BGR,3,-15,3
2003,BGR,1,0,0
2003,BGR,2,0,0
2003,BHR,4,-34.4,6
2003,BHR,1,0,0
2003,BHR,2,0,0
2003,BHR,3,0,0
2003,BIH,1,0,0
2003,BIH,2,0,0
2003,BIH,3,0,0
2003,BIH,4,0,0
2003,BLR,4,-85,17
2003,BLR,1,0,0
2003,BLR,2,0,0
2003,BLR,3,0,0
2003,BMU,2,-4,2
2003,BMU,1,0,0
2003,BMU,3,0,0
2003,BMU,4,0,0
2003,BOL,1,0,0
2003,BOL,2,0,0
2003,BOL,3,0,0
2003,BOL,4,0,0
2003,BRA,1,-1.2000000000000002,3
2003,BRA,2,-2,1
2003,BRA,4,-62,10
2003,BRA,3,-62,17
2003,BRN,4,-109.4,17
2003,BRN,1,-0.4,1
2003,BRN,2,0,0
2003,BRN,3,0,0
2003,BWA,1,0,0
2003,BWA,2,0,0
2003,BWA,3,0,0
2003,BWA,4,0,0
2003,CAN,1,-3.2999999999999994,10
2003,CAN,4,-316,44
2003,CAN,2,-30,15
2003,CAN,3,-137.90000000000003,34
2003,CHE,1,-1.6,4
2003,CHE,3,-144.2,40
2003,CHE,4,-226.4,39
2003,CHE,2,-2,1
2003,CHL,4,-7,1
2003,CHL,3,-6,3
2003,CHL,1,0,0
2003,CHL,2,0,0
2003,CMR,1,0,0
2003,CMR,2,0,0
2003,CMR,3,0,0
2003,CMR,4,0,0
2003,COD,3,-2,1
2003,COD,4,-12.2,2
2003,COD,1,0,0
2003,COD,2,0,0
2003,COG,1,0,0
2003,COG,2,0,0
2003,COG,3,0,0
2003,COG,4,0,0
2003,COL,2,-2,1
2003,COL,1,0,0
2003,COL,3,0,0
2003,COL,4,0,0
2003,CRI,1,0,0
2003,CRI,2,0,0
2003,CRI,3,0,0
2003,CRI,4,0,0
2003,CUB,3,-10,5
2003,CUB,4,-5,1
2003,CUB,1,0,0
2003,CUB,2,0,0
2003,CYM,1,0,0
2003,CYM,2,0,0
2003,CYM,3,0,0
2003,CYM,4,0,0
2003,CYP,4,-20,2
2003,CYP,1,0,0
2003,CYP,2,0,0
2003,CYP,3,0,0
2003,CZE,3,-52.5,11
2003,CZE,1,-0.8,2
2003,CZE,4,-98,21
2003,CZE,2,0,0
2003,DEU,1,-13.500000000000002,14
2003,DEU,2,-30,15
2003,DEU,3,-342.20000000000005,94
2003,DEU,4,-237.6,36
2003,DJI,4,-10,1
2003,DJI,1,0,0
2003,DJI,2,0,0
2003,DJI,3,0,0
2003,DNK,4,-54.5,12
2003,DNK,2,-6,3
2003,DNK,3,-56.4,15
2003,DNK,1,0,0
2003,DOM,1,0,0
2003,DOM,2,0,0
2003,DOM,3,0,0
2003,DOM,4,0,0
2003,DZA,4,-10,1
2003,DZA,1,0,0
2003,DZA,2,0,0
2003,DZA,3,0,0
2003,ECU,1,0,0
2003,ECU,2,0,0
2003,ECU,3,0,0
2003,ECU,4,0,0
2003,EGY,4,-130,27
2003,EGY,3,-34,10
2003,EGY,1,0,0
2003,EGY,2,0,0
2003,ESP,3,-64,17
2003,ESP,4,-31,5
2003,ESP,1,0,0
2003,ESP,2,0,0
2003,EST,1,0,0
2003,EST,2,0,0
2003,EST,3,0,0
2003,EST,4,0,0
2003,ETH,4,-15,3
2003,ETH,3,-10,2
2003,ETH,1,0,0
2003,ETH,2,0,0
2003,FIN,4,-7,1
2003,FIN,2,-6,3
2003,FIN,1,0,0
2003,FIN,3,0,0
2003,FJI,3,-9,3
2003,FJI,4,-80,9
2003,FJI,2,-4,2
2003,FJI,1,0,0
2003,FRA,3,-1017.9999999999999,225
2003,FRA,1,-11.100000000000005,32
2003,FRA,2,-74,37
2003,FRA,4,-247.2,41
2003,FSM,4,-10,2
2003,FSM,3,-18.8,6
2003,FSM,1,0,0
2003,FSM,2,0,0
2003,GAB,1,0,0
2003,GAB,2,0,0
2003,GAB,3,0,0
2003,GAB,4,0,0
2003,GBR,4,-619,98
2003,GBR,2,-30,15
2003,GBR,3,-849.6999999999999,190
2003,GBR,1,-13.800000000000006,38
2003,GEO,1,0,0
2003,GEO,2,0,0
2003,GEO,3,0,0
2003,GEO,4,0,0
2003,GHA,1,-0.8,2
2003,GHA,4,-69.2,7
2003,GHA,2,0,0
2003,GHA,3,0,0
2003,GIN,1,0,0
2003,GIN,2,0,0
2003,GIN,3,0,0
2003,GIN,4,0,0
2003,GNB,1,0,0
2003,GNB,2,0,0
2003,GNB,3,0,0
2003,GNB,4,0,0
2003,GRC,1,-0.8,2
2003,GRC,4,-96.80000000000003,16
2003,GRC,2,0,0
2003,GRC,3,0,0
2003,GUY,4,-9.5,1
2003,GUY,1,0,0
2003,GUY,2,0,0
2003,GUY,3,0,0
2003,HKG,4,-5,1
2003,HKG,3,-4,2
2003,HKG,1,0,0
2003,HKG,2,0,0
2003,HND,1,0,0
2003,HND,2,0,0
2003,HND,3,0,0
2003,HND,4,0,0
2003,HRV,3,-16,6
2003,HRV,4,-108.5,13
2003,HRV,2,-8,4
2003,HRV,1,0,0
2003,HTI,1,0,0
2003,HTI,2,0,0
2003,HTI,3,0,0
2003,HTI,4,0,0
2003,HUN,4,-33.5,4
2003,HUN,3,-12,3
2003,HUN,1,-6.400000000000002,8
2003,HUN,2,-4,2
2003,IDN,3,-104.50000000000001,31
2003,IDN,1,-2,5
2003,IDN,4,-340.2,51
2003,IDN,2,-2,1
2003,IND,4,-505.49999999999994,59
2003,IND,2,-6,3
2003,IND,1,-8.4,17
2003,IND,3,-293.20000000000005,88
2003,IRL,4,-5,1
2003,IRL,1,0,0
2003,IRL,2,0,0
2003,IRL,3,0,0
2003,IRN,4,-118,17
2003,IRN,1,-5.1,5
2003,IRN,3,-77.9,20
2003,IRN,2,-4,2
2003,IRQ,1,-45.999999999999936,115
2003,IRQ,3,-1146.6,283
2003,IRQ,2,-250,125
2003,IRQ,4,-925.1000000000001,129
2003,ISL,4,-5,1
2003,ISL,1,0,0
2003,ISL,2,0,0
2003,ISL,3,0,0
2003,ISR,1,-10.300000000000004,29
