GLOBALEVENTID,MonthYear,QuadClass,Actor1CountryCode,Actor2CountryCode,SubEventType,GoldsteinScale,SOURCEURL
1040870922,202204,4,RUS,UKR,3,-7.2,https://southfront.org/another-ukrainian-provocation-reported-at-russian-border-checkpoint/
1040870943,202204,4,RUS,UKR,3,-7.2,https://southfront.org/another-ukrainian-provocation-reported-at-russian-border-checkpoint/
1040786333,202204,4,RUS,UKR,3,-7.2,http://www.hngn.com/articles/241783/20220422/russia-enters-second-phase-war-take-over-donbas-southern-ukraine.htm
1040786332,202204,4,RUS,UKR,3,-7.2,http://www.hngn.com/articles/241783/20220422/russia-enters-second-phase-war-take-over-donbas-southern-ukraine.htm
1040861467,202204,3,RUS,UKR,3,-4.0,https://www.nytimes.com/2022/04/23/world/europe/ukrainian-easter-traditions.html
1040861468,202204,3,RUS,UKR,3,-4.0,https://www.nytimes.com/2022/04/23/world/europe/ukrainian-easter-traditions.html
1038909887,202204,4,RUS,UKR,3,-7.2,https://www.unionleader.com/news/military/russian-regions-bordering-ukraine-step-up-security/article_bc749d41-541e-5103-9cf9-3b1f649a4d20.html
1040639345,202204,3,RUS,UKR,3,-4.0,https://www.aljazeera.com/news/2022/4/22/zelenskyy-says-russia-rejected-easter-truce
1040639360,202204,3,RUS,UKR,3,-4.0,https://www.aljazeera.com/news/2022/4/22/zelenskyy-says-russia-rejected-easter-truce
1037672765,202204,3,RUS,UKR,3,-5.0,https://www.ctvnews.ca/world/calm-in-kyiv-s-independence-square-as-russian-forces-retreat-from-capital-1.5847515
1037582495,202204,3,RUS,UKR,3,-5.0,https://www.newsweek.com/russia-withdrawing-ukraine-sumy-region-invasion-1694614
1037672764,202204,3,RUS,UKR,3,-5.0,https://www.ctvnews.ca/world/calm-in-kyiv-s-independence-square-as-russian-forces-retreat-from-capital-1.5847515
1037582494,202204,3,RUS,UKR,3,-5.0,https://www.newsweek.com/russia-withdrawing-ukraine-sumy-region-invasion-1694614
1037875383,202204,4,RUS,UKR,3,-7.2,https://www.brisbanetimes.com.au/world/europe/no-one-believes-hackers-fake-claims-of-ukrainian-surrender-so-what-s-their-goal-20220406-p5ab5g.html
1037875385,202204,4,RUS,UKR,3,-7.2,https://www.brisbanetimes.com.au/world/europe/no-one-believes-hackers-fake-claims-of-ukrainian-surrender-so-what-s-their-goal-20220406-p5ab5g.html
1037875386,202204,4,RUS,UKR,3,-7.2,https://www.brisbanetimes.com.au/world/europe/no-one-believes-hackers-fake-claims-of-ukrainian-surrender-so-what-s-their-goal-20220406-p5ab5g.html
1037733318,202204,3,RUS,UKR,3,-4.0,https://www.scotsman.com/news/opinion/columnists/russia-is-not-above-the-law-and-must-be-held-accountable-for-its-barbarity-angus-robertson-3639697
1037733357,202204,3,RUS,UKR,3,-4.0,https://www.scotsman.com/news/opinion/columnists/russia-is-not-above-the-law-and-must-be-held-accountable-for-its-barbarity-angus-robertson-3639697
1037837818,202204,4,RUS,UKR,3,-7.2,https://pressreleases.responsesource.com/news/102624/extrahop-urges-organizations-to-adopt-shields-up-guidance-offers-complimentary/
1037889718,202204,3,RUS,UKR,3,-5.0,https://www.ctpost.com/news/article/Ukraine-s-president-to-tell-UN-Security-Council-17057713.php
1037723304,202204,3,RUS,UKR,3,-4.0,https://jamestown.org/program/ukraines-deeply-flawed-blueprint-for-guaranteed-neutrality-part-two/
1037821834,202204,4,RUS,UKR,3,-7.2,https://www.aljazeera.com/news/2022/4/5/bucha-massacre-lets-set-him-afire
1037723302,202204,3,RUS,UKR,3,-4.0,https://jamestown.org/program/ukraines-deeply-flawed-blueprint-for-guaranteed-neutrality-part-two/
1037723303,202204,3,RUS,UKR,3,-4.0,https://jamestown.org/program/ukraines-deeply-flawed-blueprint-for-guaranteed-neutrality-part-two/
1038672134,202204,3,RUS,UKR,3,-5.0,https://www.tweaktown.com/news/85512/lone-ukrainian-tank-sneaks-up-on-and-ambushes-russian-convoy/
1040914580,202204,3,RUS,UKR,3,-4.0,https://www.nytimes.com/live/2022/04/24/world/ukraine-russia-war-news/bombs-in-kharkiv-and-a-kiss-of-reassurance-in-kyiv
1040914581,202204,3,RUS,UKR,3,-4.0,https://www.nytimes.com/live/2022/04/24/world/ukraine-russia-war-news/bombs-in-kharkiv-and-a-kiss-of-reassurance-in-kyiv
