GLOBALEVENTID,MonthYear,QuadClass,Actor1CountryCode,Actor2CountryCode,SubEventType,GoldsteinScale,SOURCEURL
1039568366,202204,4,RUS,UKR,3,-7.2,http://www.msn.com/en-us/news/world/cia-director-says-us-not-taking-russian-nuclear-threat-lightly/ar-AAWfLUb
1039568367,202204,4,RUS,UKR,3,-7.2,http://www.msn.com/en-us/news/world/cia-director-says-us-not-taking-russian-nuclear-threat-lightly/ar-AAWfLUb
1039568365,202204,4,RUS,UKR,3,-7.2,http://www.msn.com/en-us/news/world/cia-director-says-us-not-taking-russian-nuclear-threat-lightly/ar-AAWfLUb
1039565905,202204,4,RUS,UKR,3,-7.2,https://menafn.com/1104030430/The-big-showdown-Carthage-in-the-Donbas&source=24
1039539329,202204,4,RUS,UKR,3,-7.2,https://www.workers.org/2022/04/63341/
1039539458,202204,4,RUS,UKR,3,-7.2,https://www.workers.org/2022/04/63341/
1039539459,202204,4,RUS,UKR,3,-7.2,https://www.workers.org/2022/04/63341/
1039542804,202204,4,RUS,UKR,3,-7.2,https://www.msn.com/en-gb/news/world/russia-ukraine-war-latest-zelenskiy-praises-ukrainians-bravery-after-50-days-of-war-russia-says-moskva-warship-has-sunk/ar-AAWf7Lz
1039565904,202204,4,RUS,UKR,3,-7.2,https://menafn.com/1104030430/The-big-showdown-Carthage-in-the-Donbas&source=24
1039539457,202204,4,RUS,UKR,3,-7.2,https://www.workers.org/2022/04/63341/
1039573004,202204,4,RUS,UKR,3,-7.2,https://www.aljazeera.com/news/2022/4/15/russia-threatens-to-up-kyiv-strikes-over-cross-border-attacks
1039573005,202204,4,RUS,UKR,3,-7.2,https://www.aljazeera.com/news/2022/4/15/russia-threatens-to-up-kyiv-strikes-over-cross-border-attacks
1039526099,202204,4,RUS,UKR,3,-7.2,https://www.theguardian.com/world/live/2022/apr/15/russia-ukraine-war-latest-russia-says-moskva-warship-has-sunk-after-ukraine-claims-missile-strike-live?page=with:block-6259001c8f08a3f8f35eb5ff
1039625196,202204,4,RUS,UKR,3,-7.2,https://www.stltoday.com/opinion/editorial/editorial-short-takes-on-putins-lost-ship-and-zelenskys-honorary-degrees/article_3398851e-04bd-53ef-becb-02620bf0c63f.html
1039625195,202204,4,RUS,UKR,3,-7.2,https://www.stltoday.com/opinion/editorial/editorial-short-takes-on-putins-lost-ship-and-zelenskys-honorary-degrees/article_3398851e-04bd-53ef-becb-02620bf0c63f.html
1042004865,202204,3,RUS,UKR,3,-5.0,https://www.nbcnews.com/news/world/west-prepares-putins-moves-ukraine-war-enters-new-phase-rcna26424
1042004866,202204,3,RUS,UKR,3,-5.0,https://www.nbcnews.com/news/world/west-prepares-putins-moves-ukraine-war-enters-new-phase-rcna26424
1037405741,202204,3,RUS,UKR,3,-5.0,https://www.wbaa.org/2022-04-02/ukraine-latest-russian-forces-pull-back-from-kyiv
1037512774,202204,3,RUS,UKR,3,-4.0,https://weisradio.com/2022/04/03/russia-ukraine-live-updates-photos-appear-to-show-bodies-scattered-in-bucha-other-cities/
1037500561,202204,4,RUS,UKR,3,-7.2,https://www.gulftoday.ae/opinion/2022/04/03/ukraine-russia-wrong-advice-disastrous-results
1037500562,202204,4,RUS,UKR,3,-7.2,https://www.gulftoday.ae/opinion/2022/04/03/ukraine-russia-wrong-advice-disastrous-results
1040885880,202204,3,RUS,UKR,3,-4.0,https://www.yahoo.com/lifestyle/arming-ukraine-path-peace-225807760.html
1040885879,202204,3,RUS,UKR,3,-4.0,https://www.yahoo.com/lifestyle/arming-ukraine-path-peace-225807760.html
1040914580,202204,3,RUS,UKR,3,-4.0,https://www.nytimes.com/live/2022/04/24/world/ukraine-russia-war-news/bombs-in-kharkiv-and-a-kiss-of-reassurance-in-kyiv
1040914581,202204,3,RUS,UKR,3,-4.0,https://www.nytimes.com/live/2022/04/24/world/ukraine-russia-war-news/bombs-in-kharkiv-and-a-kiss-of-reassurance-in-kyiv
1040279174,202204,3,RUS,UKR,3,-4.0,https://www.wibc.com/news/international/zelensky-calls-out-west-for-more-weapons-in-order-to-end-fighting/
1040318024,202204,3,RUS,UKR,3,-4.0,https://www.newsx.com/world/russia-rejects-appeals-for-ceasefire-calls-it-attempt-to-rearm-ukrainian-fighters.html
1040318030,202204,3,RUS,UKR,3,-4.0,https://www.newsx.com/world/russia-rejects-appeals-for-ceasefire-calls-it-attempt-to-rearm-ukrainian-fighters.html
1040279175,202204,3,RUS,UKR,3,-4.0,https://www.wibc.com/news/international/zelensky-calls-out-west-for-more-weapons-in-order-to-end-fighting/
1040279176,202204,3,RUS,UKR,3,-4.0,https://www.wibc.com/news/international/zelensky-calls-out-west-for-more-weapons-in-order-to-end-fighting/
1040380230,202204,3,RUS,UKR,3,-4.0,https://newsinfo.inquirer.net/1585941/ukraine-seeks-mariupol-evacuation-talks-after-surrender-or-die-ultimatum-expires
1040354402,202204,4,RUS,UKR,3,-7.2,https://www.theage.com.au/world/europe/russia-test-fires-unique-missile-as-its-forces-tighten-noose-in-mariupol-20220421-p5aeyt.html
1040358560,202204,3,RUS,UKR,3,-4.0,https://www.gulftoday.ae/news/2022/04/20/many-civilians-still-trapped-in-mariupol-as-russian-deadline-expires
1040358561,202204,3,RUS,UKR,3,-4.0,https://www.gulftoday.ae/news/2022/04/20/many-civilians-still-trapped-in-mariupol-as-russian-deadline-expires
1040318023,202204,3,RUS,UKR,3,-4.0,https://www.newsx.com/world/russia-rejects-appeals-for-ceasefire-calls-it-attempt-to-rearm-ukrainian-fighters.html
1040318029,202204,3,RUS,UKR,3,-4.0,https://www.newsx.com/world/russia-rejects-appeals-for-ceasefire-calls-it-attempt-to-rearm-ukrainian-fighters.html
1040229945,202204,4,RUS,UKR,3,-7.2,https://www.dailyindependent.com/opinion/dr-keith-keeran-personal-perspective-on-the-war-in-ukraine/article_b7f28dec-c05e-11ec-b0b3-770abd53c229.html
1040204619,202204,3,RUS,UKR,3,-4.0,https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-april-19
1040204620,202204,3,RUS,UKR,3,-4.0,https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-april-19
1040358559,202204,3,RUS,UKR,3,-4.0,https://www.gulftoday.ae/news/2022/04/20/many-civilians-still-trapped-in-mariupol-as-russian-deadline-expires
1040369918,202204,4,RUS,UKR,3,-7.2,https://www.nowtolove.com.au/news/international-news/ukraine-war-human-cost-71776
1040279173,202204,3,RUS,UKR,3,-4.0,https://www.wibc.com/news/international/zelensky-calls-out-west-for-more-weapons-in-order-to-end-fighting/
1037609182,202204,3,RUS,UKR,3,-4.0,https://www.cjr.org/the_media_today/maks_levin_bucha_ukraine.php
1037672765,202204,3,RUS,UKR,3,-5.0,https://www.ctvnews.ca/world/calm-in-kyiv-s-independence-square-as-russian-forces-retreat-from-capital-1.5847515
1037563871,202204,3,RUS,UKR,3,-5.0,https://www.newstalkzb.co.nz/news/world/russia-ukraine-war-vladimir-putin-must-decide-whether-to-fully-mobilise-russians-expert-says/
1037563893,202204,3,RUS,UKR,3,-5.0,https://www.newstalkzb.co.nz/news/world/russia-ukraine-war-vladimir-putin-must-decide-whether-to-fully-mobilise-russians-expert-says/
1037582495,202204,3,RUS,UKR,3,-5.0,https://www.newsweek.com/russia-withdrawing-ukraine-sumy-region-invasion-1694614
1037521131,202204,3,RUS,UKR,3,-5.0,https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-april-3
1037672764,202204,3,RUS,UKR,3,-5.0,https://www.ctvnews.ca/world/calm-in-kyiv-s-independence-square-as-russian-forces-retreat-from-capital-1.5847515
1037609181,202204,3,RUS,UKR,3,-4.0,https://www.cjr.org/the_media_today/maks_levin_bucha_ukraine.php
1037582494,202204,3,RUS,UKR,3,-5.0,https://www.newsweek.com/russia-withdrawing-ukraine-sumy-region-invasion-1694614
1039788094,202204,3,RUS,UKR,3,-5.0,https://www.euronews.com/2022/04/17/ukraine-war-no-humanitarian-corridors-on-sunday-due-to-lack-of-agreement-with-russia-says-
1039814365,202204,3,RUS,UKR,3,-5.0,https://abcnews.go.com/Politics/mariupol-besieged-fallen-ukrainian-pm/story?id=84122574
1039842091,202204,4,RUS,UKR,3,-7.2,https://www.mirror.co.uk/news/world-news/five-dead-20-injured-russians-26732886
1039842092,202204,4,RUS,UKR,3,-7.2,https://www.mirror.co.uk/news/world-news/five-dead-20-injured-russians-26732886
1039842093,202204,4,RUS,UKR,3,-7.2,https://www.mirror.co.uk/news/world-news/five-dead-20-injured-russians-26732886
1039205731,202204,3,RUS,UKR,3,-5.0,https://abcnews.go.com/US/wireStory/editorial-roundup-united-states-84056191
1039205732,202204,3,RUS,UKR,3,-5.0,https://abcnews.go.com/US/wireStory/editorial-roundup-united-states-84056191
1038368592,202204,4,RUS,UKR,3,-7.2,https://www.heraldmailmedia.com/story/news/2022/04/08/ctv-news-journalist-and-hagerstown-native-talks-russia-ukraine-war-maryland-dc/9482739002/
1038368593,202204,4,RUS,UKR,3,-7.2,https://www.heraldmailmedia.com/story/news/2022/04/08/ctv-news-journalist-and-hagerstown-native-talks-russia-ukraine-war-maryland-dc/9482739002/
1038347804,202204,3,RUS,UKR,3,-4.0,https://news.yahoo.com/russia-admits-suffered-significant-losses-045416630.html
1038406173,202204,4,RUS,UKR,3,-7.2,https://www.dailymail.co.uk/news/article-10699689/Slovakia-sends-Ukraine-S-300-missile-Russia-warned-legitimate-targets.html
1038347803,202204,3,RUS,UKR,3,-4.0,https://news.yahoo.com/russia-admits-suffered-significant-losses-045416630.html
1038393195,202204,3,RUS,UKR,3,-4.0,https://www.msn.com/en-us/news/world/the-ukraine-war-in-maps-dozens-reported-dead-in-new-offensive-in-the-east/ar-AAW02fC
1038410248,202204,3,RUS,UKR,3,-5.0,https://www.nytimes.com/2022/04/08/world/europe/kyiv-ukraine-war.html
1038393196,202204,3,RUS,UKR,3,-4.0,https://www.msn.com/en-us/news/world/the-ukraine-war-in-maps-dozens-reported-dead-in-new-offensive-in-the-east/ar-AAW02fC
1038406172,202204,4,RUS,UKR,3,-7.2,https://www.dailymail.co.uk/news/article-10699689/Slovakia-sends-Ukraine-S-300-missile-Russia-warned-legitimate-targets.html
1038446440,202204,3,RUS,UKR,3,-5.0,https://www.theguardian.com/commentisfree/2022/apr/08/the-guardian-view-on-ukraine-same-war-new-dilemmas
1038368591,202204,4,RUS,UKR,3,-7.2,https://www.heraldmailmedia.com/story/news/2022/04/08/ctv-news-journalist-and-hagerstown-native-talks-russia-ukraine-war-maryland-dc/9482739002/
1041237589,202204,3,RUS,UKR,3,-4.0,https://www.fxstreet.com/news/forex-today-market-sentiment-remains-cautious-ahead-of-key-us-data-202204260738
1041219779,202204,3,RUS,UKR,3,-5.0,https://www.ctvnews.ca/world/top-russian-diplomat-warns-ukraine-against-provoking-world-war-1.5876149
1041351084,202204,4,RUS,UKR,3,-7.2,https://www.nytimes.com/2022/04/26/world/europe/explosions-transnistria-moldova-war.html
1041219780,202204,3,RUS,UKR,3,-5.0,https://www.ctvnews.ca/world/top-russian-diplomat-warns-ukraine-against-provoking-world-war-1.5876149
1041221322,202204,3,RUS,UKR,3,-5.0,https://www.bicesteradvertiser.net/news/20093249.russian-diplomat-warns-ukraine-provoking-third-world-war-city-falls/
1041221331,202204,3,RUS,UKR,3,-5.0,https://www.bicesteradvertiser.net/news/20093249.russian-diplomat-warns-ukraine-provoking-third-world-war-city-falls/
1041233641,202204,3,RUS,UKR,3,-5.0,https://www.cbc.ca/news/world/ukraine-war-russia-1.6430916
1041246690,202204,3,RUS,UKR,3,-5.0,https://www.irishnews.com/news/worldnews/2022/04/26/news/russian-diplomat-warns-ukraine-against-provoking-third-world-war-as-city-falls--2652502/
1041252855,202204,3,RUS,UKR,3,-5.0,https://geopoliticalfutures.com/the-ukraine-war-redefined/
1041300771,202204,3,RUS,UKR,3,-5.0,https://www.pressenza.com/2022/04/jeremy-corbyn-now-let-us-talk-peace/
1041310275,202204,3,RUS,UKR,3,-5.0,http://www.slguardian.org/search?updated-max=2022-04-26T09:07:00+05:30&max-results=6
1041351071,202204,4,RUS,UKR,3,-7.2,https://www.nytimes.com/2022/04/26/world/europe/explosions-transnistria-moldova-war.html
1041221323,202204,3,RUS,UKR,3,-5.0,https://www.bicesteradvertiser.net/news/20093249.russian-diplomat-warns-ukraine-provoking-third-world-war-city-falls/
1041221332,202204,3,RUS,UKR,3,-5.0,https://www.winnipegfreepress.com/world/top-russian-diplomat-warns-ukraine-against-provoking-wwiii-576434442.html
1041226559,202204,3,RUS,UKR,3,-5.0,https://pmnewsnigeria.com/2022/04/26/ukraine-can-provoke-world-war-iii-warns-russias-fm-lavrov/
1041362993,202204,3,RUS,UKR,3,-5.0,https://news.antiwar.com/2022/04/26/pentagon-chief-leaves-open-possibility-of-ukraine-reapplying-for-nato-membership/
1041869693,202204,4,RUS,UKR,3,-7.2,https://www.dailystar.co.uk/news/world-news/defence-expert-says-putin-could-26831603
1041833032,202204,3,RUS,UKR,3,-5.0,https://www.dailymail.co.uk/news/article-10766293/Ukraine-war-Russian-troops-came-minutes-killing-Zelensky-early-days-war.html
1041869692,202204,4,RUS,UKR,3,-7.2,https://hotair.com/jazz-shaw/2022/04/29/russian-state-television-seems-to-be-grooming-people-for-nuclear-war-n465775
1041937604,202204,3,RUS,UKR,3,-4.0,https://www.laprensalatina.com/russia-sustains-colossal-losses-in-ukraine-continues-mariupol-siege/
1041919791,202204,3,RUS,UKR,3,-4.0,https://www.efe.com/efe/english/portada/russia-sustains-colossal-losses-in-ukraine-continues-mariupol-siege/50000260-4795219
1041818988,202204,3,RUS,UKR,3,-4.0,https://www.ukrinform.net/rubric-ato/3470362-invaders-continue-offensive-in-ukraines-east-general-staff.html
1041833031,202204,3,RUS,UKR,3,-5.0,https://www.dailymail.co.uk/news/article-10766293/Ukraine-war-Russian-troops-came-minutes-killing-Zelensky-early-days-war.html
1038591566,202204,4,RUS,UKR,3,-7.2,https://www.theguardian.com/world/2022/apr/09/the-russians-are-trying-to-obliterate-us-you-think-that-wed-agree-to-half-measures-now
1038591560,202204,4,RUS,UKR,3,-7.2,https://www.theguardian.com/world/2022/apr/09/the-russians-are-trying-to-obliterate-us-you-think-that-wed-agree-to-half-measures-now
1038494622,202204,4,RUS,UKR,3,-7.2,https://www.antiwar.com/blog/2022/04/08/ray-mcgovern-corporate-media-deploys-the-big-guns-on-ukraine/
1038494621,202204,4,RUS,UKR,3,-7.2,https://www.antiwar.com/blog/2022/04/08/ray-mcgovern-corporate-media-deploys-the-big-guns-on-ukraine/
1038591559,202204,4,RUS,UKR,3,-7.2,https://www.theguardian.com/world/2022/apr/09/the-russians-are-trying-to-obliterate-us-you-think-that-wed-agree-to-half-measures-now
1038517308,202204,4,RUS,UKR,3,-7.2,https://www.washingtonpost.com/world/2022/04/09/russia-ukraine-war-news-putin-live-updates/
1038599970,202204,4,RUS,UKR,3,-7.2,http://www.msn.com/en-nz/news/world/the-russians-are-trying-to-obliterate-us-you-think-that-we-d-agree-to-half-measures-now/ar-AAW2Di5
1038672134,202204,3,RUS,UKR,3,-5.0,https://www.tweaktown.com/news/85512/lone-ukrainian-tank-sneaks-up-on-and-ambushes-russian-convoy/
1041627580,202204,3,RUS,UKR,3,-4.0,https://www.lightreading.com/satellite/eutelsat-caught-in-orwellian-fight-between-europe-and-russia/a/d-id/777104
1041675966,202204,3,RUS,UKR,3,-4.0,https://neweasterneurope.eu/2022/04/28/what-next-after-two-months-of-war/
1041675965,202204,3,RUS,UKR,3,-4.0,https://neweasterneurope.eu/2022/04/28/what-next-after-two-months-of-war/
1041675967,202204,3,RUS,UKR,3,-4.0,https://neweasterneurope.eu/2022/04/28/what-next-after-two-months-of-war/
1041629349,202204,3,RUS,UKR,3,-4.0,https://www.mdjonline.com/tribune/lifestyles/russia-takes-economic-aim-at-countries-aiding-ukraine-where-it-continues-shelling-the-east/article_5c7980fd-183a-5b88-9122-808bd4263cf9.html
1041629359,202204,3,RUS,UKR,3,-4.0,https://www.mdjonline.com/tribune/lifestyles/russia-takes-economic-aim-at-countries-aiding-ukraine-where-it-continues-shelling-the-east/article_5c7980fd-183a-5b88-9122-808bd4263cf9.html
