YEAR,Actor2CountryCode,QuadClass,SubEventType,GoldsteinScale,Record Count
2003,AFG,4,3,-108.5,11
2003,AFG,4,4,-55,11
2003,AFG,4,1,-4,1
2003,AFG,3,4,-4,2
2003,AFG,3,3,-14,2
2003,ARG,4,4,-10,2
2003,ATG,4,5,-5,1
2003,AUS,4,1,-18,3
2003,AUS,3,1,-17.4,3
2003,AUS,4,2,-5,1
2003,AUS,4,4,-378.4,72
2003,AUS,4,5,-29.2,5
2003,AUS,3,2,-52,8
2003,AUS,4,3,-76.00000000000001,9
2003,AUS,3,3,-6,3
2003,AUT,3,2,-5,1
2003,AUT,4,1,-16,4
2003,AUT,4,4,-27.2,3
2003,AZE,4,1,-8,2
2003,AZE,4,4,-21.6,3
2003,BEL,3,4,-20,10
2003,BEL,4,5,-5,1
2003,BEL,4,4,-48,8
2003,BEL,4,3,-10,1
2003,BEL,4,1,-47,10
2003,BEL,3,2,-6.5,1
2003,BGD,4,4,-10,2
2003,BGR,4,1,-8,2
2003,BHR,4,4,-14.4,2
2003,BHR,4,5,-20,4
2003,BLR,4,4,-85,17
2003,BRA,4,4,-20,4
2003,BRA,3,1,-12,3
2003,BRA,4,1,-42,6
2003,BRA,3,4,-2,1
2003,BRA,3,5,-12,3
2003,BRA,3,3,-14,2
2003,BRN,4,3,-47.2,5
2003,BRN,4,4,-32.2,6
2003,BRN,4,5,-30,6
2003,CAN,4,1,-84,17
2003,CAN,3,4,-10,5
2003,CAN,3,2,-27.5,5
2003,CAN,4,3,-197,20
2003,CAN,4,4,-30,6
2003,CAN,4,5,-5,1
2003,CAN,3,5,-8,2
2003,CHE,3,4,-10,5
2003,CHE,4,1,-67,12
2003,CHE,3,1,-10,2
2003,CHE,4,5,-80,16
2003,CHE,4,4,-39.400000000000006,7
2003,CHE,4,3,-40,4
2003,CHL,4,1,-7,1
2003,COD,4,3,-7.2,1
2003,COD,4,1,-5,1
2003,CUB,4,4,-5,1
2003,CYP,4,3,-20,2
2003,CZE,4,4,-70,14
2003,CZE,4,1,-28,7
2003,CZE,3,2,-32.5,5
2003,DEU,4,5,-67.6,11
2003,DEU,4,4,-65,11
2003,DEU,4,3,-57,6
2003,DEU,3,2,-49,8
2003,DEU,3,3,-7,1
2003,DEU,3,4,-6,3
2003,DEU,4,1,-48,8
2003,DJI,4,3,-10,1
2003,DNK,4,4,-14.5,2
2003,DNK,3,2,-13,2
2003,DNK,3,4,-5,1
2003,DNK,4,1,-40,10
2003,DZA,4,3,-10,1
2003,EGY,4,4,-110,22
2003,EGY,4,1,-20,5
2003,ESP,3,2,-13,2
2003,ESP,4,1,-16,2
2003,ESP,4,5,-5,1
2003,ESP,4,4,-10,2
2003,ESP,3,1,-20,4
2003,ETH,4,4,-15,3
2003,FIN,4,1,-7,1
2003,FJI,4,3,-70,7
2003,FJI,4,4,-10,2
2003,FRA,4,3,-67.2,7
2003,FRA,4,5,-35,7
2003,FRA,3,3,-14,2
2003,FRA,3,4,-2,1
2003,FRA,4,4,-85,15
2003,FRA,3,2,-71,10
2003,FRA,4,1,-60,12
2003,FRA,2,3,-6,3
2003,FSM,4,5,-10,2
2003,GBR,1,5,-0.6,2
2003,GBR,3,4,-11,4
2003,GBR,3,3,-21,3
2003,GBR,4,1,-87,21
2003,GBR,4,5,-70,14
2003,GBR,3,2,-205.5,32
2003,GBR,4,4,-241.09999999999994,40
2003,GBR,3,1,-5,1
2003,GBR,4,3,-220.89999999999998,23
2003,GHA,4,3,-60,6
2003,GHA,4,5,-9.2,1
2003,GRC,4,4,-20,4
2003,GRC,4,3,-64.80000000000001,9
2003,GRC,4,1,-12,3
2003,GUY,4,3,-9.5,1
2003,HKG,4,5,-5,1
