YEAR,Actor2CountryCode,QuadClass,SubEventType,GoldsteinScale,Record Count
2015,AFG,3,3,-91,13
2015,AFG,4,1,-79,13
2015,AFG,4,4,-202.1,31
2015,AFG,3,2,-18.5,4
2015,AFG,4,5,-28.4,4
2015,AFG,4,3,-460,46
2015,AGO,4,3,-87.60000000000001,11
2015,AGO,3,1,-5.8,1
2015,AGO,3,2,-26,4
2015,AGO,4,4,-50,6
2015,AGO,4,5,-18.4,2
2015,ARE,4,3,-219.5,22
2015,ARE,4,5,-18.4,2
2015,ARE,4,1,-4,1
2015,ARE,4,4,-374,72
2015,ARG,4,5,-15,3
2015,ARG,4,3,-77.6,10
2015,ARG,3,1,-17.4,3
2015,ARG,4,4,-40,8
2015,ARG,3,2,-19.5,3
2015,ARM,3,2,-19.5,3
2015,ARM,3,4,-6,3
2015,ARM,4,1,-8,1
2015,ARM,3,5,-4,1
2015,ARM,3,1,-15,3
2015,ARM,4,4,-50,10
2015,ATG,3,4,-5,1
2015,ATG,4,4,-5,1
2015,AUS,3,5,-76,23
2015,AUS,4,3,-3335.2999999999993,344
2015,AUS,3,1,-40,8
2015,AUS,4,2,-40,8
2015,AUS,4,4,-1413,265
2015,AUS,4,1,-577,96
2015,AUS,3,2,-576.5,88
2015,AUS,4,5,-600.8,100
2015,AUS,3,4,-166,41
2015,AUS,1,2,-0.6,2
2015,AUS,3,3,-65,25
2015,AUT,4,4,-29,4
2015,AUT,3,4,-5,1
2015,AZE,3,5,-12,3
2015,AZE,4,4,-20,4
2015,AZE,4,3,-40,4
2015,BEL,4,3,-119,12
2015,BEL,3,1,-10,2
2015,BEL,4,5,-10,2
2015,BEL,4,4,-72.2,10
2015,BEL,3,2,-13,2
2015,BEL,4,1,-12,3
2015,BGD,3,2,-30,5
2015,BGD,4,1,-8,2
2015,BGD,4,3,-220,22
2015,BGD,3,3,-28,14
2015,BGD,4,4,-294,53
2015,BGD,4,2,-5,1
2015,BGD,4,5,-24.2,4
2015,BGR,4,4,-30,6
2015,BGR,3,2,-26,4
2015,BGR,4,3,-40,4
2015,BHR,4,1,-39,6
2015,BHR,4,3,-20,2
2015,BHR,4,4,-10,2
2015,BLR,3,1,-5,1
2015,BLR,4,4,-15,3
2015,BLR,4,2,-5,1
2015,BLR,3,2,-123.5,19
2015,BLR,4,3,-240,24
2015,BOL,4,3,-50,5
2015,BRA,3,2,-84.5,13
2015,BRA,4,4,-129.4,19
2015,BRA,4,3,-198,21
2015,BRA,4,5,-30,6
2015,BRA,4,1,-36,5
2015,BRA,4,2,-5,1
2015,BRA,3,4,-10,5
2015,BRN,3,3,-77,11
2015,BRN,3,4,-34,11
2015,BRN,2,5,-14,7
2015,BRN,3,1,-55,11
2015,BRN,3,2,-173.5,29
2015,BRN,4,3,-784.6999999999999,91
2015,BRN,4,4,-209.60000000000002,31
2015,BRN,4,5,-102.6,18
2015,BRN,4,1,-100,24
2015,BWA,4,1,-5,1
2015,BWA,4,4,-5,1
2015,BWA,3,4,-6,3
2015,BWA,4,3,-19.5,2
2015,CAN,4,3,-1448.5,147
2015,CAN,4,1,-202,47
2015,CAN,4,4,-1305,230
2015,CAN,3,4,-154,47
2015,CAN,1,5,-0.3,1
2015,CAN,3,3,-21,8
2015,CAN,3,2,-173,27
2015,CAN,3,1,-96.6,19
2015,CAN,4,5,-1141.2000000000003,219
2015,CAN,3,5,-19,5
2015,CAN,4,2,-80,16
2015,CHE,3,4,-37,17
2015,CHE,4,3,-434.5,44
2015,CHE,3,2,-92,14
2015,CHE,4,2,-20,4
2015,CHE,3,3,-65,10
2015,CHE,4,1,-41,10
2015,CHE,4,4,-540.6,84
2015,CHE,3,1,-20,4
2015,CHE,4,5,-65,13
2015,CHE,3,5,-16,4
2015,CHL,4,3,-130,13
2015,CHL,3,4,-10,2
2015,CHL,4,1,-12,3
2015,CHL,4,4,-28.5,3
2015,CMR,4,4,-34,6
2015,CMR,3,3,-7,1
2015,CMR,3,4,-4,2
2015,CMR,4,5,-10,2
2015,COD,3,2,-127.5,17
2015,COD,3,3,-4,2
2015,COG,3,2,-7.5,1
2015,COL,4,3,-199,20
2015,COL,4,4,-165,33
2015,COL,4,1,-14,2
2015,COL,4,5,-27.599999999999998,3
2015,COL,3,2,-65,10
2015,CUB,4,4,-15,3
2015,CUB,4,1,-34,5
2015,CUB,4,5,-25,5
2015,CUB,4,3,-59,6
2015,CUB,4,2,-5,1
2015,CYM,4,4,-30,6
2015,CYM,4,5,-5,1
2015,CYM,3,4,-2,1
2015,CYP,4,4,-5,1
2015,CZE,3,1,-20,4
2015,CZE,4,3,-40,4
2015,CZE,4,4,-10,2
2015,CZE,3,2,-13,2
2015,DEU,1,5,-1.7999999999999998,6
2015,DEU,4,1,-8,2
2015,DEU,3,3,-42,6
2015,DEU,4,3,-604.5,63
2015,DEU,3,1,-5.8,1
2015,DEU,3,4,-60,18
2015,DEU,4,4,-296.2,56
2015,DEU,4,2,-20,4
2015,DEU,3,2,-201.5,31
2015,DEU,4,5,-134.2,26
2015,DJI,3,2,-6.5,1
2015,DJI,4,3,-28.8,4
2015,DJI,4,4,-10,2
2015,DNK,4,3,-50,5
2015,DNK,3,4,-32,13
2015,DNK,4,4,-83.8,15
2015,DNK,3,2,-13,2
2015,DNK,4,1,-44,11
2015,DNK,3,1,-5,1
2015,DNK,4,2,-15,3
2015,DOM,4,4,-5,1
2015,DZA,4,3,-47,5
2015,DZA,3,4,-5,1
2015,DZA,4,4,-15,3
2015,ECU,4,4,-35,7
2015,ECU,4,1,-16,4
2015,ECU,3,2,-6.5,1
2015,ECU,3,3,-7,1
2015,ECU,1,5,-0.6,2
2015,ECU,3,4,-10,2
2015,EGY,3,2,-7.5,1
2015,EGY,4,4,-109.6,19
2015,EGY,4,2,-5,1
2015,EGY,3,4,-10,5
2015,EGY,4,5,-10,2
2015,EGY,4,3,-157,16
2015,EGY,4,1,-8,2
2015,ESP,3,2,-39,6
2015,ESP,3,4,-4,2
2015,ESP,4,3,-248,25
2015,ESP,4,5,-52.599999999999994,8
2015,ESP,4,4,-448.5,82
2015,ESP,4,1,-13,3
2015,ESP,3,1,-5,1
2015,ESP,3,3,-4,2
2015,EST,4,4,-5,1
2015,ETH,3,2,-39,6
2015,ETH,4,4,-85,17
2015,ETH,4,1,-7,1
2015,FIN,4,1,-10,2
2015,FIN,4,4,-25,5
2015,FIN,4,5,-5,1
2015,FIN,4,3,-49.5,5
2015,FJI,3,2,-4,1
2015,FJI,3,3,-28,4
2015,FJI,4,4,-72.2,14
2015,FJI,4,3,-37,4
2015,FRA,4,5,-266.79999999999995,50
2015,FRA,4,1,-185,35
2015,FRA,3,4,-79,35
2015,FRA,4,3,-2228.2,226
2015,FRA,3,2,-248.5,37
2015,FRA,4,4,-729.8000000000001,123
2015,FRA,2,5,-2,1
2015,FRA,4,2,-55,11
2015,FRA,3,1,-20,4
2015,FRA,3,3,-147,36
2015,GAB,4,4,-10,2
2015,GAB,4,3,-20,2
2015,GBR,4,5,-642.4,110
2015,GBR,1,2,-2.6999999999999997,9
2015,GBR,3,3,-171,33
2015,GBR,3,2,-891,139
2015,GBR,4,1,-874,174
2015,GBR,1,5,-2.6999999999999997,9
2015,GBR,4,3,-3045.9,310
2015,GBR,3,1,-224.60000000000002,43
2015,GBR,3,5,-19,5
2015,GBR,4,4,-2647.7999999999997,487
2015,GBR,3,4,-148,62
2015,GBR,4,2,-55,11
2015,GHA,4,5,-10,2
2015,GHA,4,1,-4,1
2015,GHA,3,4,-20,4
2015,GHA,4,4,-210,42
2015,GHA,4,3,-347,35
2015,GHA,3,2,-42,6
2015,GRC,3,2,-63.5,10
2015,GRC,4,3,-189,19
2015,GRC,4,1,-84,16
2015,GRC,3,3,-7,1
